,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600690.SH,X600276.SH,X000568.SZ,X000651.SZ,X003816.SZ,X002475.SZ,X600104.SH,X000625.SZ,X300124.SZ,X000725.SZ,X000338.SZ,X002371.SZ,X002304.SZ,X000596.SZ,X000063.SZ,X600031.SH,X000100.SZ,X000157.SZ,X002179.SZ,X600089.SH,X300014.SZ,X600372.SH,X600741.SH,X600703.SH,X002236.SZ,X002463.SZ,X600066.SH,X000977.SZ,X002049.SZ,X002241.SZ,X002028.SZ,X000921.SZ,X000661.SZ,X600584.SH,X600522.SH,X601877.SH,X002129.SZ,X000800.SZ,X600566.SH,X601799.SH,X600183.SH,X002223.SZ,X600060.SH,X002007.SZ,X600177.SH,X600418.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.176904262705582,0,0.0666027216907047,0.166750060466952,0,0,0.0657434737790399,0,0.0272860758873168,0,0,0,0,0,0.0516157342392893,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604181418024285,0,0,0,0,0,0.068911608739898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.282700692662732,0,0,0,0,0,0,0,0,0,0,0.0741257183745234,0,0,0,0,0,0,0.0442492023127014,0,0,0,0,0,0,0,0.0468212127763991,0,0,0,0,0.0672758503364708,0,0,0.0461067860336295,0,0,0,0.0301050256799994,0,0,0,0,0,0,-0.044237150618691,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.134028461495865,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026427511335499,0,0.0876138540286911,-0.0712321611140645,0,0,0,0,0.0789420881659075,0,0,0,0.0294739303707801,0,0,0,0,0.0589017722298471,0,0,0,0.0854226145636657,0,2.16840434497101e-19,0.0483033775216615,0,0,0,0,0.0241922064672321,0,-0.0167441940002562,0,0,0,0,0,0,0
X600809.SH,0.426490694848866,0,0,0,0,0,0.0790768940209748,0,0.0515846087979776,0,0,0,0.0403031745000327,0,0,0,0.0311937968282752,0.209316965470426,0,0,0,-0.155564977799216,0,0,0.0600708354923035,0,0,0,0,0,0.107551113911408,0,0,0,0,0,0,0,0,0,0,0,0.0432163508664016,0,-0.0495219118022221,0,0,0.0398212824641058,0,-0.0161591795265965,0,-0.0262667310987892,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.0462339267518531,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0727388055344237,0.0165483515050265,0,0,0,0,-0.0255285152629952,-0.0440863430086497,0,0,0,0,0,0.164589269809398,0,0,0,0,0,0,0,0,0,0,0.0217151153269983,0,0,0.00928428815277474,0,0,0,-0.0440176150916409,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.033807455742275,0,0,0,0,0,0,0,0,0,0,0.15287922358003,0,0.027972119683729,0,0,0,0,0,0,0,0,0.0529050988504316,0,0,0,0.133018681032096,0,0,0.00276142540739282,0,0.112457780781096,0.166745269357718,0,0,0,0,0,0,-0.0466142084416742,0,0.0161630213067786,0,0,0,0,0,0
X000568.SZ,0,1.00976841882408,0,0,0,0,0,0,0,-0.0167240571611587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119931174383248,0,0,0,0,0,0,0,0,0,0,0.107885150936223,0,0,0,0,0,0,0,0,0,0,0.0164661336667744,0.0133316486066523,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.119792294576022,-0.12364193938577,0,0,0.0428971335340458,0,0,-0.0328971159190388,0.216268281661835,0,0.0532848010672828,0,0,0.0286522306643043,0,0,0.11732109151098,0,0,0.0534421061151742,0,0,0,0,-0.0170442726602341,0,0,0,0,0,0,0.139097328511987,-0.024340080295036,0,0,-0.0166881869880961,0,0,0,0,0.0732745244309551,0,0,0,0,-0.116744413329604,0,0.0173294503525314,0,0,0,0,0,0,0
X003816.SZ,0,0,0,-0.00522101966642325,0,0,-0.222813434731277,0,0,0,0,0,0,0,0,0,0,0,0.170660315597646,0,0,0,0,0,0.0539736080322011,0,0,0,-0.103768315702773,0,0,0,0,0,0,0.120545617308386,0,0,0,0,0,0,0.337988298619829,0,0,0,0.087729494399142,0,0,0,0,-0.0148445508113293,-0.0958070954206115,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325957983086841,0,0,0,0,0,0,0,-0.0250438910076894,0,0,0.396227197992045,0,0,0,0.0595084298695166,0,0,0,0,0,0.0583277776713614,0.0867308185250814,0,0,0,0,1.38777878078145e-17,0,0,0,-0.122791665629271,0,0,0,0,0
