,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000858.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X600031.SH,X600271.SH,X000559.SZ,X000100.SZ,X600066.SH,X600372.SH,X002236.SZ,X000157.SZ,X600741.SH,X002475.SZ,X002241.SZ,X600089.SH,X002292.SZ,X300124.SZ,X000338.SZ,X002465.SZ,X000568.SZ,X600177.SH,X300003.SZ,X600839.SH,X000977.SZ,X002129.SZ,X002294.SZ,X000547.SZ,X002074.SZ,X002506.SZ,X600867.SH,X002008.SZ,X000800.SZ,X000550.SZ,X600582.SH,X600498.SH,X002085.SZ,X000623.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0535968703088613,0,0,0,0.0698833754796049,0.155947240266744,0,0,1.73472347597681e-18,0,0,0.00641183776206894,0,0,0,0,0,0.0173196039150875,0,0,0,0,0,0,0,0,0,0,0.109766035018317,0,0,0,0,0,0,0,0,0.00537999212766724,0,0,0,0,0,0,0,0,0,0,-0.0275761903817865,0.0618344104271041,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.389537725439514,0.325433497917515,0,0.0507524100030075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201741553660418,0,0.0620185911910611,0.143550160923807,0,0,0,0,0,0,0.0472923713351718,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0830892613578594,0,0,0,0.00635027380223005,0,-0.0149587687512852,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010732003552597,0.0454005003086641,0,0,0.081514598631202,0,0.0229414110113025,0.0845882851708314,0,0,0,0,0,0,0.0303738385688073,0,0,0,0,0.0361871129977031,0,0,0,0.0475298591222055,0,0,0.0140008303309363,0,0.0790560977683424,0,0.0346675555214492,0,0,0,-0.00324691777729612,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0533475006930655,0,0,0.0719699770032218,0.00971097860038426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512598040941912,0,0,0,0.00380370655481892,0,0,0.0556189475017426,0,0.0848333340042178,2.71050543121376e-20,0,0.248527738410657,0,0,-0.0152765406672565,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0505671316062226,0,0,0.0145378573985454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270157605487876,0.0381012947368511,0,0,0,0.010664051728463,0,0,0,0,0,0.137977299132293,0,0,0,0.0666010280248058,0,0,-0.0172151948835814,0,0,0,0,0,0,0
X002304.SZ,0,0.114737999595308,0,0,0,0,0,0,0,0.0259203746949053,0.0824618612627328,0,0,0,0,0,0,0,0.0413450592975976,0.101159838157027,0,0,0,0,0,0,0,0,0,0.0490308186710641,0,0.0065653809681957,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0301252510171767,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0835943255723516,0.0439912467847519,0,0,0.0631111249369993,0,0,0,0,0,0.13405758613715,0,0,0,0,0,0.0508321212733894,0.103242692474697,0,0.0105174483074628,0,0,0.0516021634880931,0.0743632274457987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0320047719422979,0,0,0.236065136084315,0.169845400775187,0,0,0,0,0.0710783958486055,0,0,0,0,0,0,0.00848577130728357,0,0,0,0.0581063023542477,0,0,0.12496312228566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
