,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X300014.SZ,X600031.SH,X000725.SZ,X300124.SZ,X002241.SZ,X000063.SZ,X003816.SZ,X002371.SZ,X600703.SH,X000338.SZ,X002129.SZ,X002049.SZ,X000596.SZ,X000625.SZ,X601877.SH,X000661.SZ,X002179.SZ,X300142.SZ,X600741.SH,X000100.SZ,X600089.SH,X002074.SZ,X002180.SZ,X600460.SH,X600702.SH,X000157.SZ,X002236.SZ,X600884.SH,X000799.SZ,X000733.SZ,X601799.SH,X002414.SZ,X002007.SZ,X600779.SH,X600584.SH,X600183.SH,X002008.SZ,X000977.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.558446104835125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345028413966858,0,0,0,0,0,0,0,0.0829276515716238,0,0,0,0,0,0,0,0,0,0,0,0.0272321596713021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015402079059243,0,0
X000858.SZ,0.374993224644817,0,0,0.134038121185926,0,0,0,0,0.253935073331629,0,0,0,0,0,0,0,0,0,0,0.0781454315348243,0,0,0,0,0,0,0.0607947666369076,0,0,0,0,0.0178030474309801,0,0,0,0.0813023018872545,0,0,0,0.0409406611918248,-0.0024025165541881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0948226532792247,0,0.0972144837046935,0.180225343827781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094056272193099,0,0,-0.0107920007295225,0,-0.0479549442456592,-0.0349397200555208,0,0,0.0512768983124347,0,0,0,0.0787045200640347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0.419552218220899,0,0,0.20576978599896,0,0,0,0,0,0,-0.0165433308896495,0,0,0,-0.241362826390883,0,0,0,0,0,0,0,0,0,0,0.0230650329315063,0,0,0,0,0,-0.0417284736345324,0,0,0.193071329965808,0,0,0,0,0,0,0.0103747124641858,0,0.0188081636221122,0,0,0,0,0,0,-0.00582227174327036,-0.0413580279485042,0,0,0,0,0,0
X000568.SZ,0,0.0905632704685202,0,0,0,0,0,0,0,0,0.205050402408817,0,0,0,0,0,0,0,0,0,0,0,-0.0271780204767804,0.426289565647924,0,0,0.160842031241871,0,-0.0635790261733045,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232734165053384,0,0,0,0,0,0,0,0,0.0213103164428452,0,0,0,0,0.045533459330825,0,0
X002475.SZ,0,0,0.0501587003419928,0,0,0,0,0,0,0,0,0,0,0,0.0778445594424309,0.377260111082142,0,0,0,0,-0.11519776469302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559784795226425,0,0,0,0,0,0,0,-0.0455460599855164,-0.00461115809324307,0,0,0,0,0,0
X600276.SH,0,0,0.121277713176964,0,0,0.237982231989849,0,0.0925238377348609,0,0,0,-1.73472347597681e-18,0.0473402817645389,0,0,0,0,0,0,0,0,0.0395993537624068,0,0,0,0,0,0,0.0867694998451406,0,0,0,0,0,0,0,0,0,-0.109524259162759,0,0,0,0,0.22015445062174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.0435328988286132,0,0.0818770358135743,0,0.22211756921834,0,0.252350573745686,0,0,0,0,0,0,0,0,0,-0.0703482485931334,0.0332244259430267,0,0,0,0,0.0286353787716025,0,0.14635969919016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153558611450604,0,0,0,0.040925689534747,0,0
X002304.SZ,0,0.335411364946856,0,0.123232953321817,0,0,0,0.14531937060557,0,0,0,-0.068002027051412,-0.0595315980836599,0,0,0,0,0,0,0,0,0,0.00486896294053402,0.0583555369528293,0,0,0,0,0,0,0.0373203686037044,0,0,0,0,0,0,0,0,0,0.0835130567027693,0,0,0,0,0,0,0,0,0,0.057001615366052,1.73472347597681e-18,-0.014877684687554,0,0,0,-0.0679409052983126,0,0
X600104.SH,0,0,0,0,0.0714195345133859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135481292149066,0,0,0,0,0,0,0,-0.112589975810484,0,0,0,0.0109923620096659,0,0.0774450877975308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179680697545306,0.0100995231192959,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0967887479897271,0,0,0.138568674576073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0878532950540513,0,-0.0567389078738506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174677595566907,0.0254660098004557,0,0,0,0,0,0
