,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000858.SZ,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X002475.SZ,X600741.SH,X600703.SH,X000338.SZ,X000568.SZ,X300003.SZ,X600271.SH,X601877.SH,X002236.SZ,X600487.SH,X300124.SZ,X002008.SZ,X600809.SH,X002456.SZ,X000661.SZ,X000596.SZ,X000100.SZ,X600867.SH,X002179.SZ,X000977.SZ,X002007.SZ,X300142.SZ,X000625.SZ,X600566.SH,X600066.SH,X600498.SH,X002294.SZ,X300136.SZ,X000157.SZ,X002241.SZ,X002180.SZ,X300146.SZ,X600522.SH,X600177.SH,X600089.SH,X000869.SZ,X600372.SH,X002506.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.30261402857124,0,0,0,0,0,0,0,0,0,0,0,0.0902436064078719,0,0,0,0,0,0.0939544831361499,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0.0852247289827611,0,0,0,0,0,0,0,0.0468219175944987,0,0,0,0,0,0,0,0,0,0,0.00236916218561803,0.00361780201225125,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.141090067715683,0,0,0,0,0,0,0,0.363671619877834,0,0.216862560845785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604255944134154,-0.0319829012224249,0,0,0,0,0,0,0,0,0,0.0156034964180917,0,0,0,0,0,0,0,0,0.0120614425160992,0.00379518944550876,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,-0.0249359752267086,0.0799909794049209,0,0,0,0,0,0,0.0757548518390113,0,0.254782151520021,8.67361737988404e-19,0,0.16516337586156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369366324181146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193934018458349,0.0467679839537907,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192294304245277,0,0,0,0,0,0,0,0,0.0856483443092576,0.106727939519137,0,0,0,0,0,0,0,0,0,0,0.455303853036067,0,0,0,0,0.108224665088727,0,0,0,0,0,0,0,0,0.0277943042553286,0.0374539045168823,0,0,0,0,0,0
X000858.SZ,0.0612532277301643,0,0,0,0,0,0.221818743824898,0,0.0682674356510403,0,0,0,0,0,0,0.290401759402286,0,0,0.0243538805233614,0,0,0,0.00607053007654546,0,0,0,0.0312488555433513,0,0,0,0,0,0.0462711761470164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00730492086150117,0.000692679314025357,0,0,0,0,0,0
X000651.SZ,0.0205314153270365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293937832540073,0,0,0,0.00979078536790242,0,0.0263271860472524,0.209516730509968,0,0,0,0,0,0,0,0,0,0,0,0,0.014589181723917,0,0,0.00626058258914718,0,0,0,0,0,0,0,0,0.0143874470907585,0,0,0,0.0125430260687888,0.0230545265807529,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.494654279019224,0,0,0,0,0,0,0,0,0,0,0.325751867298909,0.0380216708894434,0,0,0,0,0,0,0.146053075101664,0,0,0.0421751524918636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573217572622023,0,0,0,0,0,1.73472347597681e-18,0,0,0.222181209896225,0,0,0.135065819605855,0,0.00532279466594644,0,0,0,0.111298012450238,0,0.0167696551328548,0,0,0,0,0.419340712445484,0,0,0.0214502227807376,0,0,0,0,0.0135115209083951,0.0258033462398304,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.190312863986848,0,0,0,0,-0.0642919594011593,0,0.179247890354092,0,0,0,0,0,0,0.0250877463259928,0.0942912880736945,0,0,0,0,0,0,0,0,0.173233215020105,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.111205645612391,0,0,0,0.0232169467596794,0.0175408737052302,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.221017938314506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583930954357672,0,0,0,0,0,0,0,0,-0.00902343696608955,0,0,0,0.0430472745525803,-0.0564488785162199,0,0,0,0,0,0
