,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X002304.SZ,X600276.SH,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600741.SH,X000568.SZ,X000338.SZ,X002475.SZ,X600066.SH,X002241.SZ,X000100.SZ,X002236.SZ,X600118.SH,X600271.SH,X601877.SH,X000157.SZ,X002456.SZ,X600177.SH,X600372.SH,X300124.SZ,X600522.SH,X002085.SZ,X002007.SZ,X600089.SH,X000981.SZ,X300003.SZ,X002294.SZ,X002508.SZ,X600699.SH,X600867.SH,X000559.SZ,X002180.SZ,X000066.SZ,X002292.SZ,X600498.SH,X002074.SZ,X000623.SZ,X002426.SZ,X300136.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.112483274215813,0.134984924093614,0,0,0,0,0,0,0,0,0,0.0804279542004454,0,0,0,0,0,0.209241696249703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000406638049744526,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,-0.0338091421956248,0,0,0,0.0338626697839463,0,0,0,0.585471984103673,0,0,0,0,0,0,0,0,0,0,0,0.0850026008734261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0645324554533849,0,0,0,0,-0.147088284372471,0,-0.0306689521927417,-0.00674600960455204,0.00202446512276361,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0554923045218367,0,0,0,0,0,0,0,0.0391091483625313,0,0,0,0.158274616054122,0,0,0,0,0,0,0,0,0,0,0,0.200873211457838,0,0,0,0,0,-0.0501997262751551,0.0508130700164608,0,0,0,0,0,0,0,0.113668688033146,0,-0.0126926730549448,0,0,0,0,-0.0558726505320029,0,0.00208582830567961,0,0,0,0,0,0
X000651.SZ,0,0.124114301063063,0,0,0,0,0,0,0,0.323401545637236,0,0,0.173764630529343,0,0,0,-0.0900604066432964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104097209559612,0,0,0,0,0.324873560908855,0,0,0,-0.0883049118225395,0.00268469609197735,0.0204607115344706,0,0,0,0,0,0
X000858.SZ,0.156106317352771,0,0,0,0,0,0,0,0.0301909424519648,0,0,0,0,0.193697924674672,0.255021915639399,0,0,0,0,0,0,0,0,0.124230409000065,0,0,0,0,0,0,0,0,0,-0.0855635645172879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533462355238843,0,0,0.00946063319551191,0.00101614341999266,0,0,0,0,0,0
X000725.SZ,0,0,0,0.171213376125498,0,0,0,0,0,0.00908123080901154,0,0,0.00926679962156976,0,0.0527839671741435,0,-0.0515249635448941,0,0,0.164800662012137,0,0,0,0,0.160036286584835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0985299579667308,0,0,0,0,0,0,0,0.0734305207664248,0.0172100674788879,-0.0359523068717703,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.0996377299166574,0,0,0,0.289334725491832,0.0821661342348075,0,0,0.0588185985765763,0,0,0,0,0,0.00537126681536886,0,0.0667093499260616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525531138313176,0,0,0,0.00985695257605409,0,0,0,-0.00808491065638297,0.00457680457412018,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.041667269068105,0.0674756147598099,0,0,0,0,0,0.184211903764759,-0.0619658713586486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416596423202892,0,-0.00986876655860351,0,0,0,0,0,-0.0871247071842721,0.0242835314990953,-0.00392825040993104,0,0,0,0,0,0
X000625.SZ,0.0692243563226646,0.0334463392333342,0,0.0499989748113762,0.0942364572099617,0,0,0,0,0,0,0,0.11641806051502,0.343006171533182,0,0,0,0,0,0,0,0,0,0,0,-0.0247374361313866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692646027315768,0,0,0,0,-0.00452706518690961,-0.00164752044541257,0,0,0,0,0,0
X000063.SZ,0.120826031770767,0,0,0.0638231137527001,0,0,0,0,0,0,0,0,0,0,0,0.126498676943351,0,0,0,0,0,0,0,0,0.148852611826485,0,0,0,0,0,0,0.0454099462298935,0,0,0,0,0,0,0,0.000605261717966843,-0.0188281245966285,0.0236606673805563,0.0223990972930279,0,0,0.141845956133481,0,-0.0937410802580106,0,0,-0.00912688658313909,0.0114459885221975,0,0,0,0,0,0
X600690.SH,0,0,0,0.219993402006539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118295538391189,0,0,0,0.00658421861456937,0,0,0,-0.00506275582294792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205243389276827,-0.0642512603514743,0,0.0102356271126086,-0.00574566062407542,0,0,0,0,0,0
X600703.SH,0,0,0.11363183649319,0,0,0,0.00722561700666131,0,0,0,0,0,0.180260100276683,0,0,0,0,0,0,0,0,0,0,0.224539725725726,0.0226929266548393,-0.181851786269255,0,0,0,0,0,0,0.323367157763625,0,0,0,0,0,0.261874861191618,0,0,0,0,0,0,0,0,0,0,0.283810258338731,0.0219234205143385,-0.0171038624207225,0,0,0,0,0,0
X600031.SH,0,0,0,-0.0104304364118734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667703279482975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00842051254346932,0,0.00941394076797201,0,0,0,0,0,0
