,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000596.SZ,X600031.SH,X003816.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X002129.SZ,X002371.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X002180.SZ,X000661.SZ,X300142.SZ,X601877.SH,X002241.SZ,X000733.SZ,X600741.SH,X000100.SZ,X002074.SZ,X600702.SH,X600460.SH,X600522.SH,X000157.SZ,X000799.SZ,X300003.SZ,X600584.SH,X600884.SH,X002007.SZ,X000800.SZ,X300146.SZ,X002414.SZ,X002236.SZ,X600487.SH,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.227339186010711,0.0367654532725444,0,0.31279259099227,0,0,0.0956705398679069,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0530196218513205,0,0,0,0,0,0,0,0,0.00785761398883071,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0155655757494688,0,0,0,0,0,0.0348619864445364,0,0,0,0,0,-0.00502421807954504,0,0,0,0,0,0,0
X000858.SZ,0,0,0.178154435428835,0,0.441466051472193,0,0,0,0,0,0,-0.0533342012437756,0,0,0.117365124878392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0150185683004736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00230251536947458,-0.0112389000389279,0,0,0,0,0,0
X600809.SH,0.290963266134152,0,0,0,0.485048377346404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950321825470015,0,0,0,0,0,0,3.46944695195361e-18,-0.046470848049889,0,0,0.040877403937803,0,0,0,0,0,0,0,0,0,0,0,0.00278090181173961,0.000337251671161564,0,0,0,0,0,0
X002415.SZ,0,0.0232298969466635,0,0,0.0460568959320752,0,0,0,0,0,0,0,0,0,0,0,0,0.0401702813120608,0,0,0,0,0,0,0.0711195762723212,0,0,0,0,0,0.182084104043992,0,0,0,0,0,0,0,0,0.0575187431428672,0,0,0,0.179379658330478,0,0,0,0.0555804953958179,0,0,0,-0.00357876503684159,0,0,0,0,0,0,0
X000568.SZ,0.376123790987973,0.257223736546669,0.560275391646415,0,0,0,0,0,0,0,0,0,0,0.0122569192712328,0,0,0,0,0,0,0,0,0,0,0,0,0.0740654280036591,0,0,0,0,0,0,0,0,0,0,0.0382264594013684,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0178335809295642,0.0151935537338714,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754457734735429,0,0,0,0,0,0,0.0160212454299561,0,0,0,0,0,0,0,0,-0.161759608344061,0,0.05586196676293,0.057565358247985,0,0,0.0890759059840679,0,0,0,0.0295512451124347,0,0,0,0,-0.0151384371268352,0,0,0,0,0,0
X002304.SZ,0.234807897839806,0,0.00599617696783272,0,0.303758543342313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110645651976321,0,0,0,0.0479170854744786,0,0,0,0,0,0,0,0,0,0,0,-0.00666863493321897,0,0,0,0,0,0,0
X600690.SH,0.0891483737898824,0,0,0,0.211595936901197,0,0,0,0,0,0,0,0,0,0.0996211534212649,0,0,0,0,0.0212085020951511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167700854559551,-0.0510778714912119,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.129335548764113,0,0,0,0,0,0,0,0,0.0782395283739754,0,0,0,0,0,0,0,0.0213779163878346,0.046026853171496,0.22289455833852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112701122184634,0,0,0.0248705322155974,0,0,-0.0172824463561074,0,0,0,0,0,0
X000651.SZ,0,0.143777737639208,0,0,0,0,0,0.274468356389318,0,0,0,0,0,0,0.121459044653564,0,0,0,0,0,-0.00780048393189854,0,0,0,0,0,-0.0522928072406489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583535171805644,0,0,0,0,0,0,0,-0.00481115252920489,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0241182308119019,0,0,0,0,0,0,0,0,-0.122766504429305,0,0,0,0,0,0,0,0,0.208824628332242,0.0223401542120073,0,0,0,0,0,0,0.0677839383541097,0,0,0,0,0,0,0,0,0,0,0,0.058551221088169,0,0.0121664270671882,0,0,0,0,0,0,0
X300014.SZ,0,0,-0.0482758112247055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00598494376698087,-0.162439814522783,0,0,0,0,0,0,0,0,0,0,0,0,0.635723725350868,0,0,0.222499189624566,0,0,0,0,0,0.025057119546608,0,-0.174420444701372,0.163780808996726,0,0,0,0,-0.0296430169886975,0.0565305767956179,0,0,0,0,0,0
