,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000063.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600031.SH,X600690.SH,X600276.SH,X600118.SH,X000100.SZ,X600372.SH,X600271.SH,X002129.SZ,X000338.SZ,X600703.SH,X000157.SZ,X600089.SH,X600741.SH,X002241.SZ,X600177.SH,X002236.SZ,X600582.SH,X600066.SH,X002292.SZ,X600060.SH,X300124.SZ,X000559.SZ,X600435.SH,X000977.SZ,X000800.SZ,X002456.SZ,X002465.SZ,X002475.SZ,X601877.SH,X600839.SH,X002294.SZ,X000623.SZ,X300003.SZ,X002276.SZ,X000581.SZ,X002007.SZ,X000568.SZ,X000869.SZ,X600867.SH,X002491.SZ,X000550.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,4.33680868994202e-19,0,0.0382246207081177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762479666346813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461656004175388,0,0.0281100280706935,0,0,0.177320445456715,0,0,0,0,0,-0.00114229406106305,0.000622773183780027,0,0,0,0,0,0
X600104.SH,0,0,0.0452415764770597,0.196430126364699,0.105284208602722,0.0377256353386455,0,0,0,0,0,0,0,0,0.0168188884195465,0.0315806035901689,0,0,0.0313422927230739,0,0,0,0,0,0,0,0.024571321152688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118828243877267,0,0,0,0,0,-0.000836193806599622,0.00244308846988763,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0514403117379849,0,0.00467968033697158,0,0,0,0,0,0,0,0,0,0.0477889852840522,0,0,0,0.166543221684697,0,0,0,0,0.0602494158088859,0,0,0.0101229515649691,0,0,0,0,0,0,0.0830534116631638,0,0,0,0,0,0.116919999545192,0,0,0,0,0,0,0,0,0,0,0,-0.0123792391052052,0,0,0,0,0,0
X000651.SZ,0,0.139154007695584,0.106940018759188,0,0,0.030548022153231,0,0,0,0,0,0,0,0.0666451279244114,0,0,0,0.0370681400632821,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.0217146814025468,0,0,0,0,0,0,0,0,0,0.00250049847160829,0,0.0584650951549563,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.207532992956216,0,0,0,0,0,0,0,0.158864295194165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646836189626824,0.15907583651635,0,0,0,0.0661994221130118,0,0,0,0,0,-0.0207688573808267,0,0,0,0,0,0,0
X000063.SZ,0,0,-8.67361737988404e-19,0.00550844699327975,0,0,0,0,0.0200389117963943,0,0,0,0,0.209744429147698,0,0,0,0,0,0,0.0893293642537943,0.0496789078505357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764986220111802,0,0,0,0,0,0,0.0885805754734158,0,0,0,-0.0121631026747951,-0.0139142686017822,0,0,0,0,0,0
X000625.SZ,0,0,0.282198449664045,0.135122096597325,0,0,0,0,0,0,0,0,-0.0413781810946941,0,0,0,0,0.0804459885526738,0,0,0.0180045354553919,0.0158774512772918,0,-0.031149173261332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117291924085068,-0.102116153747373,0,0,0,-0.107559849857473,0,0,0,0.0236584983796458,0,0,0,0,0,0
X000858.SZ,0,0,0.0286501333412398,0,0,0.102009948867961,0,0,0.0799015196730708,0,0.0158562556943758,0,0,0,0,0.00160789827540047,0,0.0539002700661402,0,0,0,0,0,0.054122436932661,0,0.0185453633693707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370348038815381,0,0,0,0,0.0924440920213323,0.0576380635681134,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.0212534442330732,0,0.426707271252219,0,0,0,0,0,0.0661451447081314,0,0,0,0,0,0,0,0,0,0,0.057742295364957,0,0,0,0,0,0.00032514879672636,0,0.0750549095983104,0,0,0,0,0.00120859312618552,0,0,0.00228668145109185,0,0,0,0,0,0,0,0,0,0,-0.0107417879656671,-0.0334185475581324,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305095289242995,-0.0465494149998484,0,0,0.0355750569038447,0.538655638405111,0.0392759734947801,0,0,0,0,0,0,0,0,0,0,0.0124665355915319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179821474467905,0,0,0,0,0,0
