,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X600276.SH,X600104.SH,X000651.SZ,X300124.SZ,X000725.SZ,X003816.SZ,X600031.SH,X002371.SZ,X002129.SZ,X300014.SZ,X002241.SZ,X000063.SZ,X002049.SZ,X000596.SZ,X000338.SZ,X002179.SZ,X300142.SZ,X600703.SH,X000625.SZ,X600089.SH,X601877.SH,X000661.SZ,X600741.SH,X000100.SZ,X002180.SZ,X600460.SH,X600522.SH,X000799.SZ,X000733.SZ,X600702.SH,X000157.SZ,X002236.SZ,X600884.SH,X002074.SZ,X600183.SH,X600584.SH,X000800.SZ,X002432.SZ,X600779.SH,X601799.SH,X002414.SZ,X002176.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.272050724020036,0.0220352968701434,0.0603400508184775,0,0,0,0,0,0,0,0,0,0,0,0,0.0343141116665127,0,0.139910378071149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024319407828841,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.178116496121786,0,0.0922148402057176,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0578049717647639,0,0.0550097338237996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122794594712547,0,0,0.10026619760508,0.0589309261859602,0,0,0,0,-1.38777878078145e-17,0.00226739136553258,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.176649530584594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0267105534828451,0,0,0,0,0,0,0,0,0,0.101014076952854,0,0,0.163437510464618,0,0.033721414810158,0.0552155804369769,0,0,0,0,0.0561864364649418,0,-0.0225798216468256,0,0,0.178260196076162,0.00621726199436577,0,0,0,0,0,0,0
X600809.SH,0,0,0.0452871540863921,0,0.424317432564297,0,0,0,0,0,0,0,0,0,0,0.193230627246959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031221166173809,0,0,0.187729901689836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00477951362675113,0.00596982783680925,0,0,0,0,0,0
X000568.SZ,0.184438096413416,0.244564151511842,0,0.0783369607709838,0,0,0,0,0,0,0,0,0,0,0,0.0233086154539958,0,0,0,0.0132809187505981,0,0.185423930947647,0,0,0,0,0,0,0,0,0,0,0.0133060421398049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763703486148689,0.0487223606811665,0,0,0,0,0,0
X600690.SH,0,0.203789014444379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0572466295174633,0,-8.67361737988404e-19,0,0,0.143051594953393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026878143932327,0,0,0,-0.0336127645650968,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0239706367130951,0,0,0,0,0,0,0.0403353631240546,0,0,0,0,0,0,0,0,0,0.269802223216916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859447295771638,0,0,0,0,0,0,0,0.0336551908415936,0.153734725879369,0,0,0,0,0,0.0084309237383491,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158362459667222,0,0,0.512673533621223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00626146929008022,0.0383636598109764,0,-0.0271512293268509,0,-0.0316906826876909,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323341224753882,0,0.116729991467909,0,0,0,0,0,0.0870735092442483,0,0,0.0155981501680988,0,0,0,0,0.161292009997734,0,0,0,0,0.17614466818503,0,0.0377116310548972,0,0,0,0,0.00472200946995678,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096166072009672,0.0310533127091898,0,0,0,0,0,0,0,0,0,0,0,0.152287266109534,0,0,0,0,0,0.0678491815366509,0,0.00761830542784291,0,0,0,0,0,0,0,0,0,0.0549001713057932,0,0,0.0458751329312872,0.0153006722821755,0,0.00891193812624247,0,0,0,0,0,0,0,0
