,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X000725.SZ,X002304.SZ,X000063.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X000661.SZ,X600703.SH,X600741.SH,X600809.SH,X002241.SZ,X300003.SZ,X000100.SZ,X000596.SZ,X002236.SZ,X601877.SH,X300014.SZ,X600183.SH,X300124.SZ,X000157.SZ,X000066.SZ,X300142.SZ,X002007.SZ,X002456.SZ,X002371.SZ,X000625.SZ,X300136.SZ,X002008.SZ,X002179.SZ,X002463.SZ,X000977.SZ,X600271.SH,X600584.SH,X002180.SZ,X600177.SH,X000050.SZ,X600066.SH,X002129.SZ,X600487.SH,X600498.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.232834369169619,0,0,0,0,0,0,0.162974151805599,0,0,0,0,0.0173903562778864,0,0.0136653100294012,0,0.162440838860094,0,0,-0.0309071960996262,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00958530346986025,0,0,0,0.0103069888700663,0,0
X000858.SZ,0,0,0,0,0,0,0.0646824400514278,0,0,0,0,0,0,0.391122917668595,0,0,0,0,0,0,0.000794028694188179,0,0.090479389234546,0.0315521508753082,0,0,0.0272110774403146,0,0,0.00952153457881211,0,0,0.0219762878339908,0,0,0,0,0,0,0.0605064767658547,0,0,0,0,0,0,0,0,0,0,0,0,-0.00960365652598539,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.137710461855701,0,0,0,-0.0732553668382003,0,0,-0.0484020232123314,0,0.125772256200635,0.0711964269171427,0,0,-0.0233461016306573,-0.0624122127049921,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.0356355572219488,0,0,0,0,0,0,0,0.283948868159361,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0
X600276.SH,0,0,0,0,0,0,0.0490689215044682,0,0,0,0,0,0,0,0,0.357122423540712,0,0,0,0.000471060316941996,0.032407975209253,0,0,0,0,-0.0296227785804534,0,0,0,0.020714631074086,0,0,0.035967419181771,0,0.044610398848606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294415172448729,0,0,0,0.0380256873859557,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.147351938686128,0,0,0,0,0,0,0,0.0322978259344455,0,0,0.596504578357468,0,0,0,0.0473127443214251,0,0,0.00450220323818601,0,-0.0774810369486369,0.0348654031142296,0,0,0.0251789860649624,0,0,0,0,0,0,0.0828477046181916,0,0,0,-0.0204389561172207,0,0,0,0.0346285811325665,-0.0519526390456616,0,0,0,-0.0198376277316673,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985676241611386,0,0,0,0,0,0,0,0,0.00427872988695465,0,0,0,-0.0345492568706995,0,0,0,-0.0477863864209007,0,0,0,0,0.0143173459974531,0,0,0,0,0,0,0,0.0656666378781358,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0309844248142282,0,0,0,0,0,0,0,0,-0.0339132280880577,0,0,0.15379771085717,0,0,0,0,0,0,0,0,0,0.160526942781045,0,0,0,0,-0.0339644201413633,0,0.400491674851798,0,0,-0.0233099202299036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0.142460174548036,0,0.0949960876845615,0,0,0,0.0154840621148674,0,0,0,0,0,0,0,0,0,0,0,0,-0.00996991327687337,0,0,0,-0.0888011031455358,0,0.0962241055128054,0,0,0,0,0,0,0,0,0.225678608824471,0,0,0.059660907125654,0,0,0,0.0361953163360402,0.0181215402725865,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311130449828451,0,0,0,0,0,0,0.230782202858851,0,0,0,0.0391524821238136,0,0,0,0.0503907567515711,0,0,0.025005699454378,0,0,0,0,0,0,0.00467626743242418,0,0.135439521913293,0,0,0,0,0,0,0,0,0,0.0277339476759642,0.0117827718537104,0,0,0,0,0,0
X002304.SZ,0,0,0.0426028868724426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0297338826535778,0,0,0.223870074754024,0,0,0,0,0,0,0,-0.00299732605174748,0,0,0,0,0,0.110466921095739,0,0,0.0603324695603696,0,0,0,0,0,0,0,0,0,0.0194534414090941,0,0,0.0272895946616968,0,0,0,-4.33680868994202e-19,0,0
