,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000596.SZ,X600031.SH,X000725.SZ,X003816.SZ,X000625.SZ,X002129.SZ,X002371.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X000661.SZ,X600089.SH,X002180.SZ,X601877.SH,X000100.SZ,X300142.SZ,X002241.SZ,X000733.SZ,X600702.SH,X600522.SH,X002074.SZ,X600741.SH,X000799.SZ,X000157.SZ,X600460.SH,X600584.SH,X300003.SZ,X002007.SZ,X600884.SH,X600779.SH,X300146.SZ,X600487.SH,X002294.SZ,X601799.SH,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0202532373359809,0.274353919362599,0,0,0,0,0.0289309948141892,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285516985836897,0,0,0,0,0,0,0,0,0,0,-0.0729514298632036,0.0978226870833894,0,0,0,0.185391795142711,0,0,0,0,0,0,0,0.0171623946275919,0,0,0,0,0,-0.0317742633837019,0.0261240060051582,0,0,0,0,0,0
X000858.SZ,0,0,0.126854857978391,0.467688835694973,0,0,0,0,0,0,0,0,0,0,0.109055668801094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.00693120410499661,0.010141993100902,0,0,0,0,0,0
X600809.SH,0,0,0,0.609054168205951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201390335101477,0.0103734043439162,0,0,0,0,0,0,0,0,0,0,0.0713918996947342,0,0,0,0,0,0,0,0.016298825440299,0,0,0,0,0,0
X000568.SZ,0,0.37072094408515,0.24734780726381,0,0,0.225610521860809,0,0,0,0,0,0,0,0.0280367504313379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210910500907467,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316425188201002,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0673315060042515,0,0,0,0,0.0276487667350012,0,0,0,0,0,0,0,0,0,0,0,0,0.147724567396048,0,0,0,0,0,0,0.0808425316549661,0,0,0,0,0,0.107891419976345,0,0,0,0,0.110401383629131,0,0,0,0,0.0333750413130323,0.0674024817243774,0,0,-0.0143433851673578,-0.0306364270365325,0,0,0,0,0,0
X002304.SZ,0,0,0,0.508995004804512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0315577532863214,0,0,0.0466680989674925,0,0,0,0,0,0,0.048440171449726,0,-0.0342077762593647,0,0,0,0,0,0.0159027582716002,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849044536508945,0,0,0,0,0,0.0112228495138682,0,0,-0.0633695153248605,0,0,-4.33680868994202e-19,0,0,0,0.127936257767348,0.0496169534836323,0,0,0,-0.06448091908525,0.129712835697905,0,0,0,0,0.00643040084042675,0,0,0,0,0,0
X600690.SH,0.0554861802827864,0,0,0.00998202474947956,0,0.202188485765727,0,0,0,0.0786986869441886,0,0,0,0,0.233424193620384,0,0,0.030439149117481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0323134664081255,-0.0120943381778328,0,0,0,0,0,0
X002475.SZ,0,0,0.052954811773415,0,0,0,0,0,0,0,0,0.0449794626843108,0,0,0,0,0,0,0.00571921399231468,0.101272574042421,0,0,0,0,0,0,0,0,0,0,0,0.261358757462561,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0115713827913364,0,0,0,0,0,0,0.100062462797184,0,-0.0056537064620994,-0.0281352023737146,0,0,0,0,0,0
X000651.SZ,0,0,0,0.132819612426926,0,0,0,0.225675372411771,0,0,0,0,0,0,0.0204384276320465,0,0,0,0,-0.0058158243441695,0,0,0,0,0,0.0819930261164179,0,-0.0630589096148347,0,0,0,0,0,0.073050706791067,0,0,0,0,0,0,0,0,0.0130921644619573,0,0,0,0,0,0,-0.00604924662355439,0,-0.0116798289126018,0.00744382381356911,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.277628287442663,0,0,-8.67361737988404e-19,0,-0.0711238256313742,0,0,0,0,0,-0.0884817144588058,0,0,0,0,0,0,0,0,0,0,0,-0.0132773520400473,0,0.104522887968104,0,0,0,0,0,-0.139175387157339,0,0,0.12312607592012,0,0,0.049138449085386,0.0121107287302314,0,0.031052565456741,0.0478231472394751,0,0.0144065604672368,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,-0.0391769552810784,0,0,0,0,0.0348391644684727,0,0,0,0,0,0,0.134937941006318,0,0,0,0,0,0,0,0,0,0.0285428332730272,-0.0385950063271203,0,0,0,0,0,0,0.326438208360346,0,0,0,-0.0765101682473076,0,0,0.0660122770249184,0.533075896169822,0,0,0,0,0,0,0,-0.0204435017435488,0,0,0,0,0,0,0
X600104.SH,0,0,0,8.67361737988404e-19,0,0,0,0.18154793376248,0,0,0,0,0,0,0.073649708063444,0.0433502408387071,0,0.0116692353234276,0.0775840332593866,0,0,-0.0266932326973691,0,0,0,0,0,0,0,0,0,0.00539427483579178,-0.0018864566825194,0,0,0,0,0.0323981319999711,0,0,0,0,0,0,0,0,-0.00645529335947543,0,0,0,0,0.0121400780287476,0,0,0,0,0,0,0
X000596.SZ,0,0,0.0825726156656205,0.181474816200173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108835292148443,0,0,0,0,0,0,-0.0190431275201787,0.0352775767133182,0,0,0,0,0,0
X600031.SH,0,0.0277464288678366,0,0,0,0.130340038316466,0,0,0,0.00992687752720641,0,0,0,0,0,0.481931623983471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114284423636377,0,0,0.0450540270501301,-0.00660228996047038,0,0,0,0,0.005229650772171,0.0166757478913402,0,0,0,0,0,0
