,X600519.SH,X002415.SZ,X600104.SH,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X000100.SZ,X600271.SH,X002236.SZ,X600809.SH,X002008.SZ,X300124.SZ,X300003.SZ,X600776.SH,X600487.SH,X000625.SZ,X002456.SZ,X000596.SZ,X600498.SH,X000661.SZ,X002007.SZ,X000977.SZ,X000050.SZ,X300142.SZ,X000157.SZ,X002179.SZ,X600066.SH,X600522.SH,X600177.SH,X300146.SZ,X600867.SH,X600089.SH,X300136.SZ,X002241.SZ,X002371.SZ,X600372.SH,X002180.SZ,X600566.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.140872637652884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244076557740634,0,0,0,0.0230166244403369,0,0,0,0,0,0.00597332945292667,0,0,0,0.0077127556867115,0,0,0,0,0,0,0.049601582373465,0.0109112277029173,0,0.0542837880060066,0,0,0,0,0,0.0848600050227713,0,-0.00893638345235949,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0167672549069625,0,0,0.0252518124633773,0,0,0.0913452257056589,0,0,0.135308542579128,0,0,0.375354373090606,0,0,0,0.0287235619824369,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0232192615196716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010895043992312,0.0213585924646713,0,0,0,0,0,0
X600104.SH,0,0,0,0.144791821941271,0,0,0,0,0,0.175764638162203,0,0,0.0294218765400889,0,0.212000481702158,0,0,0,0,0.0392972358937304,0.015648396183552,0,0,0,-0.0150139400242748,0,0.0508429850256377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106525784347595,0,0,0,0,0,0,-0.018521221677575,0,0
X000858.SZ,0,0,0,0,0,0.0475737950895033,0.108175489882812,0,0,0,0,0,0,0.319675855520235,0,0,0,0,0,0.0705531471510566,0.0556475473991793,0,0,0.00576547206717167,0,0,0,0,0,0,0,0,0,0.0160084000643464,0,0,0,0,0,0,0,0,0,0,0,0.0307851340800615,0,0,0,0,0,-0.0117389026428042,0,0,0,0,0,0,0
X000651.SZ,0,0,0.0161183113501714,0.0706389851187694,0,0,0.0346921950238035,0,0,0.229332746029264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392136349430662,0,0,0,0,0,0,0,0.0624840136934371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101171030589659,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24168758466838,0,0,0.490434371344543,0.057490890879328,0,0,0,0,0,0,0,0,0.0157319506151929,0,0,0,0,0,0,0,0.0312400701512583,0,0,0,0,0,0,0,0,0,0.0121052842322588,0.0311076931021096,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.03350902518951,0,0,0,0.358901154902954,0,-0.0731946457388693,0,0,0,0,0,0,0.228186277662414,0.116742975451927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00474395781205609,0,0,0,0,0,0,0,0,0,0,0.0172971978251964,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0711417358904948,0,0.111370074303693,0,0,0,0,0,0,0.117449260156716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854497866362062,0,0.265286529238113,0,0,0,0,0,0,0,0,0,0.054074157589258,0,0,0,0,0,0,-0.0521761136997067,-0.0254315091778071,0.0235120290924658,0,0,0,-0.0619717898864737,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0228690182161114,0,0,0,0.0838634882898367,0,0,0.0354208846987533,0,0,0,0,0,-0.00956811274288186,0.208779786257056,0,0,0,0.417150240857856,0,0,0,0,0,0,0,0,0,0,0.028094786867901,0,0,0.0510203221871452,0,0,0,0,0,0,0,0.0062794538469661,0,0,0,0,0.0473911953578211,0,0
X600690.SH,0,0,0.237453391846697,0,0.289891194234688,0,0,0,0,0,0,0,0.0295798226554288,0,0.0696689368067327,0,0,0,0,0.00292432072091542,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0101923055808964,0,0,0,0.0109645193047591,0,0,0,0,0,0.0847247971674011,0,0,0,0,0.0113539131073045,0,0,0,-0.0200018810503368,0,0,0,0,0,0
