,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X601877.SH,X600271.SH,X300003.SZ,X002236.SZ,X300124.SZ,X002008.SZ,X600809.SH,X000100.SZ,X600487.SH,X600498.SH,X002007.SZ,X000625.SZ,X000661.SZ,X002179.SZ,X600867.SH,X300142.SZ,X000596.SZ,X000157.SZ,X600566.SH,X300146.SZ,X600177.SH,X002456.SZ,X600066.SH,X600089.SH,X002506.SZ,X600372.SH,X600522.SH,X002180.SZ,X600699.SH,X002294.SZ,X002241.SZ,X000977.SZ,X300136.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.65879307534333,0.0014577320179239,0,0,0,0,0,0,0,0,0,0,0,-0.00362942754403187,-0.0379145031088267,0,0,0,0,0.0808169528809733,0,0,0,0,0,0,0,0.224146725501931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00828802345965672,-8.67361737988404e-19,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0280849318472336,0,0.191084646977783,0,0,0,0.0857480065766269,0,0.271039121942827,0,0,0,0,0.0596825772552418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.000546619868855233,0,0,0,0,0,0
X002415.SZ,0,0.00267356754569355,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.654554161778917,0,0.165323127475813,0,0,0.0193525342385577,0,0,0,0,0,0,-0.0207814934229759,0,0,0,0,0,0.0714794496588839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104318243179791,0,0
X000651.SZ,0.225822047406996,0,0,0,0,0,0.165052690372823,0,0,0,0,0,0,0,0.151239370206677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0.136648247842258,0,0,0,0,0,0,0.0257250059292595,0,0,0,0,0,0.0437252295367678,0,0,0.416098428857762,0,0,0,0,0,0,0,0,0,0.0134512763567823,0,0.061433640355608,0.0199349579243339,0,0,0,0.0478020520783536,0,0,0,0,0,0,0,0,0,0.0495803933280341,0,0,0,0,0,0.00627628023981911,0,0,0,0,0,0,0
X000858.SZ,0.187192849343784,0,0,0,0,0,0.361357742842613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161091513375248,0,0,0,0,0,0,0,0,0,0.0301679175218778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020067572800239,0,0,0,1.73472347597681e-18,0.0240126660289581,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.0376754469024466,0,0,0,0,0,0,0.324477703917112,0,0,0,0,0,0.0815283447901867,0,0,0,0.366804533706111,0,0,0,0,0,0,0,0,-0.0409662004508991,0.194257744951405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471536714118325,0.0379626683932343,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0661728709926766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151213602712678,0,0,0.0387302943685774,0,0,0,0,0,0,0,0,0,0.308689032118334,0,0,0,0,0,0.0910492106318237,0,0,0,0,0,2.71050543121376e-20,0,-0.0250821067084873,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.0995320503404835,0.117218570572395,0,0,0,0,0,0.0384376427967595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494572097262129,0,0,0,0,0,0,0,0,0,0,0.109634845007146,0,0,0,0,0,0,0,0,0.343732552143195,0,0,0,-0.00557322663100866,-0.0497308049773436,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067847647081039,0.598181657364944,0,0,0,0,0,0.0847834690223197,0,0,0,0,0,0.0746140401385961,0,0,0,0,0,0,0,0,0,0,0.0713880905882172,0,0,-0.00885000738429294,0,0,0,0,0,0,0
