,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X000625.SZ,X600104.SH,X000725.SZ,X300124.SZ,X002371.SZ,X000338.SZ,X002304.SZ,X000596.SZ,X000063.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X000157.SZ,X002179.SZ,X002236.SZ,X600703.SH,X000977.SZ,X002463.SZ,X600741.SH,X600372.SH,X002241.SZ,X002049.SZ,X000661.SZ,X002028.SZ,X600066.SH,X600584.SH,X002129.SZ,X600522.SH,X000921.SZ,X601877.SH,X000800.SZ,X601799.SH,X600183.SH,X600418.SH,X002074.SZ,X600566.SH,X002007.SZ,X002223.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0.265661354674447,0,0,0,0.0546785664057167,0,0,0,0.0592078312574013,0,0,0.293405018450121,0,0,0,0,0,0,0,0,0,0,0.285524397442465,0,0,0,0,0,0,0,0.210104109921404,0,0,0,0,0,0,0,0,0,0.114000101842507,0.0449156046936129,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116548807000047,0,0,0,0,0,0,0,0,0,0.122058205991019,0,0,0,0,0,0,0.0750179523028797,0.0777493864932779,0,0,0,0.274654236940033,0,0,0.0163304724229695,0,0,0,0,0,0
X000921.SZ,0,0,-0.126390579500552,0,0,0,0,0.501347327936139,0.0648999140209559,0,0,0,0,0,0,0,0,0,0.0764949371719681,0,0,0,0,0.00708040056756109,0,-0.0583591903302645,0,0,0.0723586450162384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000743360909895795,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0.0978444390274009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053775323879813,0,0,0,0,0,0,0,0,0,0,0.171719632874285,0,0,0,0,0.101821725152336,0,0,0,0,0,0.0119979384767776,0,0,0,0,0,0,0,0.0224681407127638,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0.0895771324625899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22069623541074,0,0,-0.0672668267830012,0,0,0,0,0,0,0,0.00741606167785997,0,0,0,0,0,-0.0383501508354878,0,0.246087652728684,0,0,0.0297709184097218,0,0.114206729517064,0,8.67361737988404e-19,0.00948554967211442,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0.122723931637676,0,0,0,0,0,0,0,0,0,0,-0.0684179199408572,0,0,0.0218987113225392,0,0,-0.00489634364806082,0,0,0,0,0,0,0,0.0194444643337739,0.0379295544266028,0,0,0,0,0,0,-0.0421040061785171,0.0920935364873152,0,0,-0.16046916273048,0,0,0,0.0459702143862354,0,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0.168606887428589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146254394197358,0,0,0,0.236649936504028,0,0,0,0.0782581187195322,0.228432857287675,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0154228512597836,0.0571251639956096,0,0,0,0,0,0
X600418.SH,0,0,0,0,0,0,0,0,0,0,0.102849179996961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076056212119483,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0787822506892602,0.34571595315433,0,0,0.239677748553706,0,0,0,0,0,0,0,0,0,-0.00735222782880462,0,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,-0.00682770209158714,0,0,0,0,0,0,0,0,0,0,0,0.623388581606249,0,0,0,0,0,-0.00228197826522625,0,0,0,0,0,0,0,0,0,0.0329662361071909,0,0,0,0,0,0,0.0795983414605797,0,-0.0443200310684922,0,0,0,0,0.0189585256722698,0,0,0,0,0,0,0
X600566.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177467169037519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234430683514586,0,0,0,0,0,0,0,0,0.100736366351591,0.0490420709468188,0,0,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0.186302766067631,0,0,0,0.0112576412748725,0,0,0,0,0,0,0,0,0.094310671637104,0,0,0.0202293037328663,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.0621531290249779,0,0.0312079715774318,0,0,0,0,0,0,0,0,0,0.165584792012107,0,0,0.05471881533807,0,0,0,0,0,0,0
X002223.SZ,0,0,0,0,0,0.0473033281291097,0,0,0,0.0375681676079462,0.00665649019971601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245234270063231,0,0.101241337979972,0,0,0,0,0.0105842560514879,0,0.260420961966384,0.033253118565611,0,0.0175392826239023,0,0,0,0,0,0,0,0,0
X002180.SZ,0,0,-0.032824236087043,0,0,0,0,0,0,0,0.182170420024115,0,0,0,0,0,0,0,0,0,0,0,0,0.178459276778932,0,0,0,0,0,0,0,0,0.324184247730578,0,0,0.0945095877738052,0,0,0,0,0,0,0,0,0.0563514250905556,0,0.0165133681840268,0,0,0,0,0,-0.0597413233325978,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927979971371285,0,0,0.199526579883748,0,0,0.0457075079431127,0,0,0,0,0,0,0,0.0346432407024763,0,0,0,0,-0.0286805585533599,0,0,0,0.0483054174635523,0,0,0,0,0,-0.0343116152148261,0,0,0,0,0,-0.00407235185011832,0,0.0337344061572755,-0.148116958833862,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.227938244284079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14660841120533,0,0,0,0,0,0,0,0.0168357237116032,0,0,0,0,0.0329096569756046,0.0964049782047878,0,0,0,0,0.018996530877182,0,0.747755034749368,0.0754711479339372,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308661676447845,0,0,-0.144205893088182,0,0,0,0.072353169601928,0,0,0,0,0,0,0,0,0,-0.181825348936122,0,0,0,0,0,0,0,-0.0261891391000496,0.659108219590603,0,0,0,0,0,0,0
RealEstate_excess,0,0,0.0920016165550715,-0.0645164517594675,0,0,-0.0717769368856343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21213573395363,0,-0.0737215081326321,0,0,-0.0365755466621415,0,0,-0.0641419325287007,0,0,-0.110726054212485,0,0,0,0,0,0,0,0,0,0,-0.0480471847706035,0,0,0,0,0,0.191478212670695,-0.151682403846444,0,0.205784522992539,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150469819181243,0,0,0,0.0308825164431672,-0.0206085994057024,0,0,0,0,0,0.0215535261860932,0,0.0306221513703018,0,-0.045646384210301,0,0,0,0,0.0224013752973689,0,-0.0628337280856613,0,0,-0.0653235956801222,0,0,0,0,0,0.0508524293015366,0,0,0,0,0,0,0.0427721725573274,0,0.0554143900679648,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43131055866206e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000555083546657536,-0.000659963462848082,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206791238845766,0,-0.00792096822675413,0,0,0,0,0,0,0,0,0,0,0.0105280136890428,-0.00668633640598443,0,0,0,0,0,0,0,0,0,0,0,-0.00258535915678567,0.0368777574932793,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00370929211462658,-0.00191827188475268,0,0,0,0,0,0
