,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X600031.SH,X002304.SZ,X000338.SZ,X600690.SH,X000568.SZ,X600703.SH,X000661.SZ,X600741.SH,X000100.SZ,X600809.SH,X600183.SH,X002241.SZ,X002371.SZ,X300014.SZ,X300003.SZ,X002007.SZ,X000596.SZ,X002236.SZ,X601877.SH,X000977.SZ,X002456.SZ,X000157.SZ,X300124.SZ,X000625.SZ,X002129.SZ,X002463.SZ,X300136.SZ,X002414.SZ,X600271.SH,X300142.SZ,X000066.SZ,X002180.SZ,X002179.SZ,X600584.SH,X600118.SH,X002008.SZ,X600498.SH,X002185.SZ,X002049.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19137864575183,0,0,0,0,0,0,0,0,0.00187013300182824,0.0610022089199269,0,0.198377645850555,0,0,0,0,0,0,0,0,-0.0657981596263849,0,-0.00548338068890353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285716172956128,0,0
X000858.SZ,0,0,0,0.00484312367216074,0,0,0,0,0,0,0.0225933069055765,0,0.0321998081611811,0,0.429309998623383,0,0,0,0,0.0960696076136832,0,0,0,0.0466501185051996,0,0,0.0377774500080247,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.012183026564762,0,0,0,0,0,0,0,0,0.0273057838437401,0,0
X600276.SH,0.113301617676838,0,0,0,0,0,0,0,0,0,0,0,0,0.0126553185507362,0,0,0.0551079753390674,0,0,0.241606856840909,0,0.0971148434895187,0,0,0,0.0519047098993008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155033310559547,0,0,0,0,0,0,0,0.00328999496540124,0,0,0,-0.0457398705764443,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0.21643136194935,0.189380978346797,0.0502758791014729,0,0,0,0,0,0,0,0,0,0.0293847423918797,0,0,0,0,0.0434460180873388,0,0,0,0,0.0268047055600208,0.000499367741003692,0,0,-0.00606157377804575,0,0,0,0.0311665669444195,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0128113121228984,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198465625999261,0,0.0136625387688196,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0.0159976259800285,0.207693968103895,0,0,0,0,0,0.175711608779381,0,0,0,0,0.101501842314827,0,-1.73472347597681e-18,0,0,0,0,0.0191926298459927,0,0,0,0,0,0,0.00682217026843588,0,0,0,0.00370180664726867,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.209827761645301,0.0478895435094096,0,0,0,-0.0103641475632385,0,0,0,0,0,-0.0241621242978993,0,0.0462737114418039,0,0,0,0,0,0,0.293077594923508,0,0.031930342240028,0,0.213236210337463,0,-0.0307841241873113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00553680349039635,0,0,0,0.0385025235207339,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04549201126435,0,0,0,0,0.281231322603895,0,0.0290383910849155,0,0,0,0,0,0,0,0,0,0,0,0,0.0538869334900915,0,0,0,0,0,0,0,0,0.255964446857011,0,0.0322739582933449,0,0,0,0,-0.0056294289588697,0,0,0,-8.67361737988404e-19,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142264841280048,0,0,0.0817781212288052,0,0,0,0,0,0,0,0,0,0.106343529568292,0,0,0,0,0,0,0,0,0,0,0,0,0.234921784296941,0.26354034032941,0,0,0,-0.00413033176304658,0,0,0,0,0.00269281499711945,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.102647780770449,0,0,0,0,0,0.0417117138355603,0,0,0.442633480976271,0,0.0200740127204426,0,0,0.0331309556806323,0,0,0,0,0,0,0.00723817285587757,0,0,0,0,0,0.122712144365332,0,0,0.0548722701695975,0,0,0,0,0,0,0.0291731871612008,0,0,0,0,0,-0.00256080129771448,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0.0417275182269639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879200435208774,0,0,0,0,0,0,0,0,0.0513867274745104,0,0,0,0,0.160698477353494,0.0634999900156226,0,0,0,0,0,0,0,0,0,0,-0.00567937622932145,0,0,0,0.0300045142035364,0,0
