,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002475.SZ,X600690.SH,X002304.SZ,X600276.SH,X000651.SZ,X300014.SZ,X600104.SH,X002371.SZ,X002129.SZ,X300124.SZ,X003816.SZ,X000625.SZ,X002049.SZ,X000725.SZ,X600031.SH,X000596.SZ,X000063.SZ,X600703.SH,X002241.SZ,X002179.SZ,X000338.SZ,X600089.SH,X600522.SH,X000661.SZ,X300142.SZ,X601877.SH,X002180.SZ,X000733.SZ,X002074.SZ,X600741.SH,X000100.SZ,X600460.SH,X600884.SH,X000157.SZ,X600702.SH,X002414.SZ,X600487.SH,X600584.SH,X601799.SH,X000799.SZ,X002236.SZ,X600563.SH,X600418.SH,X000800.SZ,X002056.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.267359156832158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00711683137221564,0,0.0249636783180155,-0.0183176366788931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135000326773519,0.052503116974054,0,0,-0.017914928300599,0,0,0,0.0368596981767491,0.0170856026681458,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.121179916112498,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0536318229251023,0,0,0,0,0,0,0,0,0,0,0.00157807176485079,0,0,0,0,0,0,0,0.323448547675633,-0.0521514801221966,0,0,0,0,0,0,0,0.0294674140310548,0,-0.00910171167448119,0.00515044673691746,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494946950535587,0,0,0,0,0,0,0,0.0440506176607845,0,0,0,0,0.0562130079376298,0,0,1.73472347597681e-18,0,0,0.237637065203698,0.0412202125002051,0,0,-0.109468070235651,0,0,0,0,0,-0.0105285899606552,0.10669340527885,-0.002394325259904,0,0,0,0,0,0,0
X000568.SZ,0,0,0.245503181547911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00735645803644113,0,0,0,0,0,0,0,0,0,0,0,0,0.322523202607294,0,0,0,0,0,0,-0.00579955470194034,0,0,0,0,-0.0089461911779712,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,-0.101824797098606,0,0,0,0,-0.124813166991497,0,0,0,0,0,0,0,0,0.162557455368734,0,0,0.0964271907525555,0,0,0,0,0,0,0.00440863727009426,0,0,0,0,0,0,0,0,0,0,0,0,0.186097228456322,0,0.205960092857348,0.49941502536191,-0.0481895201949786,0,0,0,0,0,0.0233880308943656,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0523846760075436,0,0.0373834684761963,0,0.154545513795872,0,0,0,0,0,0,0.341986230675135,0,0,-0.0780978536855033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910834719287265,0,0,0,0,0,0,0,0,0,0,-0.15332042875972,0.0216458916477665,0,0,0,0.0250808480608272,0,0
X600690.SH,0,0,0.143482198233003,0,0,0,0,0,0,0.245973102379057,0,0,-0.0542873791305325,0,0,0,0,-0.000676250618140539,0,0,0,0,0,0,0,0,0.218273334186569,0,0,0,-0.206448103912678,0,0,0,0,0,0,0,0,0.0464762809535431,-0.0334913223913588,0,0,0,0,0,0,-0.0248491011927823,0,0,0,-0.0248499430943948,0,0,0,0,0.0209277970949391,0,0
X002304.SZ,0,0.226665870169294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043937325125455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697725763108616,0,0,0,0,0,0,0,0.130147939881172,-0.0176421770218188,0,0,0,0,0,0,0.0208324691378127,0,0,0,0.00925024505779612,0.0429631699780363,0,0,0,0.0317185614148214,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111993507349118,0,0,0,0,0,0,0,0,0.181430166054061,0.258429298673345,0,0.057628931687439,0,-0.0152767874722877,0,0.0026290822281387,0,0,0,0,0,0,0,0,0,0,0.0830839656362355,0.0115611983419137,0,0,0,0,0,0,0,0,0.051278442021542,0,0
X000651.SZ,0,0,0,0,0,0.0390723467523357,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0.155151707697361,0,0,0,0.104535007809732,0,0,0,0,0.0206690505974042,0.0556297226519282,-2.16840434497101e-19,0,0,0,0,0,0,-0.0656048227156621,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.0414633425497924,0,0,-0.0468284721876403,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114050000157039,0,0,0,0,0,0,0,0,0,0,0.139402573190668,0,0.199113074885899,0.0390267445407472,0,0,0.302829227006867,0,0,0,0,0,0,0.0482698382927838,-3.46944695195361e-18,0,0.145823377498964,0,0,0.0466445465042574,0.0190701133901381,0,0,0,-0.00881120546442264,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482621949932524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599391240571764,0,0,0.0105894469223114,0,0.0617454259815265,0.320814954224996,0.0690096043861453,0,0,0,0,0,0,0,0,0,0,0,0,0.114979890871755,0,0,0.0225807196876629,0,0,0,0,-0.0291087633933855,0,0
