,X600519.SH,X002415.SZ,X600104.SH,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X600271.SH,X000100.SZ,X002236.SZ,X000661.SZ,X600809.SH,X300003.SZ,X002008.SZ,X300124.SZ,X000596.SZ,X600487.SH,X600776.SH,X002007.SZ,X002456.SZ,X600498.SH,X000625.SZ,X000050.SZ,X002179.SZ,X000157.SZ,X300142.SZ,X002180.SZ,X002371.SZ,X002241.SZ,X300146.SZ,X000977.SZ,X600118.SH,X600522.SH,X600089.SH,X600372.SH,X600867.SH,X600177.SH,X300136.SZ,X600066.SH,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.107498898379433,0,0,0,0,0,0,0,0,0,0.0774071681201387,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00322037441170925,0,0,0,0,0,0,0,0,0,0,0,0.0444407911151056,0,0,0,0,0,0,0,0,0,0,0,-0.0145324720404127,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0231200297222446,0,0,0,0.100161927115442,0.0538865920442847,0,0.0885344404889368,0,0,0.0421748123966041,0,0,0.266992636438904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166934436290437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252811460853646,0.0389014100824374,0,0,0,0,0,0
X600104.SH,0,0,0,0.0154638421052095,0,0,0,0,0.0800834103750189,0.155792454734752,0,0,0.138940891585499,0,0.0188035093364418,0,0,0,0,0.0841549207290506,0.0753346348814975,0,0,0,0,0,0,0,0,0,0,0,0.0602813570548654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174988439497848,0,-0.00167643093450289,-0.0755548404011746,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0837824625878773,0,0,0,0,0,0,0.322586327071234,0,0,0,0,0,0.0400281208345905,0,0.127261133535127,0,0,0.0133474635240269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459276013770337,0,0,0,-0.0223965222072034,0.0142399897093439,0,0,0,0,0,0
X000651.SZ,0,0.0481813625497751,0,0.32397498269133,0,0,0,0,0,0.0803276977910254,0,0,0,0,0.0393943142522413,0,0,0,0.0347825250657596,0.0308123484027281,0,0,0,0,0,0,0,0.00809078583304387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00471410470978114,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1347488081718,0.108101240406803,0.45002309172026,0,0,0,0,0,0,0,0,0,0.0981734753324521,0,0,0,-0.0226956735609443,0,0,0,0,0,0,0,0,0,0,0,0,0.0190734114179558,0,0.0147068457352844,0.036876450311543,0,0,0,0,0,0
X002304.SZ,0,0,0.0526421261993496,0,0,0,0,0,0,0.0307044929042705,0,0,0,0.344282170809816,0,0,0,0,0,0,0,0,0.0714406164656606,0,0.122252579757698,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0621217040144435,0,0,0,0,0,0,0,0,0,0,0,0.00527034904971458,-0.0121490447656678,0,0,0,0.0692625239791466,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003672389929678,0.092796503670695,0.0325534530152384,0,0,0.0766896120417379,0,0,0,0,0,0,0.113772317164235,0,0.0621064472461833,0.113952331393047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303594761079923,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108144455919479,0,0,0,0,0.0381002440863618,0,0,0.390357834541301,0.00638425516378599,0,0.0928708844335703,0.0353906367403515,0.109760046271121,0,0,0,0,0,0,0,0.00804387669609185,0.066179873706361,0,0,0,0,0,0,0.0527540911462655,0,0,0,-0.00823816155383439,0,0,0,0,0,0,0
X600690.SH,0,0,0.204885866344722,0.13094013692459,0.0856811376470698,0,0,0,0,0,0,0,0.141651995003031,0,0,0,0,0.0230518337392556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222741448128913,0.0117526566671911,0,0,0,0,0,0,0.175627386139482,0,0,0,0,0,0,0,0,0,0,-0.032472567318381,0,0,0,0,0,0,0
