,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X002475.SZ,X600031.SH,X002241.SZ,X000338.SZ,X600066.SH,X002456.SZ,X300124.SZ,X000100.SZ,X601877.SH,X002508.SZ,X300136.SZ,X300003.SZ,X600271.SH,X002008.SZ,X600177.SH,X600089.SH,X002294.SZ,X002085.SZ,X600522.SH,X000157.SZ,X002007.SZ,X600118.SH,X600487.SH,X000981.SZ,X600809.SH,X600867.SH,X600699.SH,X600566.SH,X600372.SH,X002074.SZ,X000559.SZ,X300115.SZ,X600498.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.00966964440575144,0,0,0,0.0584382573482959,0,0,0,0,0.176882072286573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044963877373698,0,0,0,0,0,0,0.0640715313628861,0,0.314655123579473,0,0,0,0,0,0,0,0,0,0,2.15982326878351e-05,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.250653544325493,0,0,0,0,0,0.133364102700083,0,0.322526425524538,0,0.0412456817038636,0,0,0,0,0,0,0,0,0,0,0,-0.170627475865892,0,-0.0463794481214716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259884186112166,0,0.0263194258055072,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.199129667103379,0.102712025914644,0,0,0,0,0,0.0746895860615299,0.0660822067051734,0,0.392814488241396,0,0,0,0,0,0,0,0,0,0.172945543552105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172098886782064,0,-0.0785791368597203,-0.000706401852421257,-0.194048623887445,0,0,0,0,0,0.0091472754226517,0,0,0,0,0,0
X000651.SZ,0,0.054463862434706,0,0,0.108619224423428,0,0,0,0,0.0830382146260329,0,0,0.0857260361983446,0,0.131790507523062,0,0,0,0,0.130736818060448,0,0.0220889291323725,0,0,0.0605551386041843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00630521864197032,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0341857888366927,0,0,0,0,0,0,0.612904259703797,0,0,0,0,0,0,0,0,0,0,0.0323992553243727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410554075734045,0,0,0,0,0,0,0,0,0.0518973084039429,0,0.00711743484461918,0,0,0,0,0,0,0
X000725.SZ,0,0,0.190923121953576,0,0,0,0,0,0,0,0,0,0,0,0,-0.124723511487002,0,0,0.187215124528287,0,0,0,0,0,0,0,0,0.342611079796852,0,0,0.101946605662135,0,0.207072183480062,0,0,0,0,0.138545395225003,0,0,0.0780718381659096,0,0,0.148321244975863,0,0,0,0,0,0,0,0.0412459762362761,0,0,0,0,0,0
X600276.SH,0,0.0754709022243521,0.118629379112269,0,0.097467245065668,0,0,0.000607920503012327,0,0,0,0.196286237868316,0,0,0,0,-0.280727017686163,0,-0.0822333860574736,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0313243323149787,0,-0.0843682229374893,-0.00946740951767011,0,-3.46944695195361e-18,0,0.00802424630335053,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.45622306762511,-0.0352972215238843,0,0,0,0.0901179193963066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236013478939654,0,0,0,0,0,0,-0.0663609280621394,0,0,0,-0.00931733581926878,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0186331084824237,0,0,0,0,0.188402606576238,0,0,0,0,0,0,0,0,0,0.133735973112476,0.142248903254431,0,0,0,0,0.032703057588582,0,0,0,0,0,0,0,0,0,0,0.0658549035220238,0,0,0,0,0,0,0,0,0.0912690459727432,0,0.135534208549738,0,-0.0169171777967115,-0.00411146799288929,0,0,0,0,0,0
X600690.SH,0,0.298140867100228,0,0.0693156622095149,0,0,0,0.0409629994197442,0,0,0,0.278178512241999,0,0,0.178848061971612,0,0,0,0,0,0,0,0,0,0,0,-0.155807650996973,0,0,0,0,0,0,0.00687122564969492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00111206930434149,0,0.0202395156911666,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0630287373919293,0,0,0.112308642399494,0,0,0,0,0,0.00678312603258747,0,0,0,0,0,0.100088290123175,0,0,0,0,0,0,0,0,0,0.0038205629547438,0,0,0,0,0,0,0.160987737118955,0,0,0,0,0,0,0,0,0,0,0,0,0.0264121394903849,0.0171846088749168,0,0,0,0,0,0
X600741.SH,0,0.365618033356149,0,0,0,0,0,0.101064247908097,0,0.0899020380333044,0,0,0,0,0.177734056042327,0,0,0,0,0,0,0,0,0,0,-0.0744971999917491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00259639301886166,0,0,0,0,0,0
X000568.SZ,0.15674465260522,0,0,0.106964869053583,0.653308764895694,0,0,0,0,-0.0543012683861062,-0.0480546263115416,0,0,0,0,0.0765983793947582,0,0,0,0,0,0,0,0,0,0.0770447000537999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363555506265946,0,0,0,0,0,0,-0.076386606932779,0,0.0136468951553523,-0.00704285738057314,0,0,0,0,0,0
X000625.SZ,0,0.166165038593491,0,0,0,0,0,0,0,0,0,0.213374588021337,0,0,0,0,0,0,0,0,-0.0852808291869179,0,0,0.111340616662801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185445392011147,0,0,0,0,0.0356347931260095,0,0,0,0,0,-0.0150047253209591,0.0155767425673313,0,0,0,0,0,0
X002236.SZ,0,0,0.513088646429275,0,0,-0.390564280023196,0,0,0,0,0,0,0,0,0,0.0642391442899143,0,0,0,0.03745523503926,0,0,0,0,0,0,0,0,0.218733292858323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955352812697197,0,0.422292961743216,0.0255690543581384,0.0221143228744187,0,0.0120899549908756,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0130933888991065,0,0,0,0,0,0,0,0,0,0,0,0.037683971120503,0,0,0.124751525631384,0,0,0,0,0,0,0,0,0,0.0655651556009043,0.413397003929671,0,0,0,0,0.00888902466853938,0,0,0,0,0,0,0,0,0,0,0.0210361432522916,0.00159062873257021,0,0,0,0,-0.00878182747897911,0.00842149237539288,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210729153626557,0,0,0,0,0,0,0,0,0,0.034282731862219,0,0,0,0,0,0,0,0,0,0,0.228031469932628,0,0,0,0,0,0,0.162782545176579,0.0922142438395105,0,0,0,0,0,0.0736839967745487,0,-0.00789389097329527,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341009138368505,0,0,0,0,0,0,0.1818011822018,0.191012021508602,0,-0.279631116832122,0.244839818109745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338745939268996,0,0.0122287364644694,0,0,0.0256043236701781,0,0,0,0,0,0
