,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600031.SH,X600741.SH,X002475.SZ,X002241.SZ,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X601877.SH,X002456.SZ,X002085.SZ,X600271.SH,X600118.SH,X600522.SH,X000157.SZ,X300124.SZ,X600089.SH,X600177.SH,X600372.SH,X002007.SZ,X002508.SZ,X300136.SZ,X000066.SZ,X600487.SH,X300003.SZ,X600699.SH,X000981.SZ,X600867.SH,X002294.SZ,X002180.SZ,X000559.SZ,X002074.SZ,X000050.SZ,X002008.SZ,X002292.SZ,X000623.SZ,X300115.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0318218303941156,0,0,0,0,0,0,0,0,0.211618088795085,-0.111637196778423,0,0,0,0.0837656908414099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064991444302006,0,0.0412339665858064,0,0,0,0,0,0,0,0,0,0,0,0.0297832495300868,0,0,0.00627777602348919,-0.00117943763111968,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00139941197192562,0.17983945854577,0,0,-0.0686349847390532,0,0,0,0,0,0,0,0,0,0,0,0.22913954676378,0,0,0,0.015287120309598,0,-0.121900318432439,0.239751192308621,-0.02834939987361,0,0,0,0,0,0,0,0,-0.0967564664263072,0,0,0,0,0.0121918705490452,-0.00983187525549768,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.176467988542187,0,0,0,0,0,0,0.0471374726540725,0.00716235628064763,0,0,0,0,0.0667386784799523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251922392457978,0.0481719368432983,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140935915773307,0,0,0,0,-0.0235071181321561,0.0108833472647208,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.275953662680121,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00870544654362152,0,0,0,0.0144891067393514,-0.00271799486374339,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0455169551839838,0,0.0915051998470957,0,0,0.0412295530220438,0,0,0,0.309709415027091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0793748076868914,0.0877558933318533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105902353485406,0.000468424049863445,0,0,0,0,0,0
X002304.SZ,0,0,0,0.146899100589694,0,0,0,0,0,0,0,0,0.336813038553213,0.119969178272597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431930929031485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00235501976638099,-0.00279846531853757,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,6.93889390390723e-18,0,-0.00709896259523307,0,0.1185241144549,0,0,0,0,0,-0.0344201203065767,-0.231450418960298,0,0.0214640278159568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689440961321021,0,0.144608140194547,0,0.0260790630743963,0,0,0,0,0,0,0,0,-0.0285924199471837,-0.0804453843224352,-0.00913239632309271,0.00625109088051634,0,0,0,0,0,0
X000725.SZ,0,0,0,0.183378594498996,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0726635832947012,0,0,-0.0529078064428522,0,-0.00765979199223361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163375568393581,0.159302346375768,0,0,-0.0400108632447321,0.0133315196476407,0,0,0,0,0,0
X000625.SZ,0,0.149704357907582,0,0,0.0619858544681478,0,0,0.0346529811433426,0,0,0,0,0,0,0.252954586576748,0,0,0.13918589358544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000281962324952399,0.00117867961532547,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119143035754612,0,0,0.00791945821438712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155557562978406,0.0033900602958208,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.235077189721625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00781857196234799,0,0,0.0451346633712139,-0.0518055003615204,0,0.065050778264923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114410752412382,-0.00816536799313596,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.104498263921276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0775898528526486,0.251380840936117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022001712062316,0,0,0,0,0,0
X000568.SZ,0.151965101062571,0,0.0755872025506694,0.045737770925825,0.694514256909627,0,0,0,0,0,0,0,0,0,0,0,0,0.0126433169911459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0372123542127029,0,0,0,0,0,0,0,0,0.0928837443939604,0,0,0,0.0455501498163919,0,0,0,-0.00584999881121467,0,0,0,0,0,0
