,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000625.SZ,X000568.SZ,X002475.SZ,X600741.SH,X002241.SZ,X002236.SZ,X600031.SH,X000100.SZ,X600066.SH,X002456.SZ,X000338.SZ,X601877.SH,X002508.SZ,X002085.SZ,X300124.SZ,X600177.SH,X300136.SZ,X600271.SH,X300003.SZ,X600118.SH,X002008.SZ,X000157.SZ,X600522.SH,X002007.SZ,X600089.SH,X002294.SZ,X600867.SH,X000066.SZ,X600487.SH,X600372.SH,X600699.SH,X002180.SZ,X000559.SZ,X300115.SZ,X600566.SH,X600809.SH,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0645881408253378,0,0,0,0.0790978822870836,0,0,0,0,0.237270652856955,0,0,0,0,0,0,0,0.0754745960201718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027640955613031,0,0,0,0,0,0,0,0,0,0,0.0785594562703949,0,0,0,0.000285678323632166,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.190444493532631,0,0,0.00548173025825823,0,0,0.221285389869437,0,0,0,0,0.317994833180025,-0.0127556582525365,0,0,0.0142999508440364,-0.00882766931724402,0,0,-0.142703121661985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00906899710458121,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,-6.93889390390723e-18,0.114878414397138,0,0,-0.054121233198752,0,0,0,0,0,0,0,0.28690708514206,0,0,0,0,0,0,0.103523167484976,0,0,0,0,0,0,0,0,0,0.00867576939878017,0,0.049257912023037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276326103793685,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.103467917814949,0,0,0,0,0,0,0.151252589436054,0,0,0,0,0,0,0,-0.0692103652538899,0,0,0.0525899844001694,-0.0278257622673967,0,0,0,0,0,0,0,0,0,0,0,0,-0.0587113436776032,-0.0287085232810761,0,0,0,0,0,0,0,0.086786004910198,0.0701438231691489,0,0.0323499206325188,-0.00189637055170827,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0951528278528656,0,0,0,0,0,0,0,0,0.454582896318629,0,0,0,0.0588947093095061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327661612019326,0,0,0,0.0374393549149996,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104807607478963,0.00585046603557792,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0558098891061065,0,0,-0.203588330130197,0,0,0,0,0,0,0,0.145085183831375,0,0,0,0,0,0,0.395259500512976,0,0,0,0,0,0,0.0136974817158986,0,0,0.0714040440264028,0.00248563578877799,0,0,0,0,0,0.28358333638044,0,0,0,-0.00580811906983849,0.00181217873424333,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0449976669494358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890125830194811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292049911433856,0,-0.0698022540129092,0,0,0,-0.051964659023507,0,0,0,0,0.00751230365312722,0.010104742502915,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0431630876947025,0.212128280525453,0,0,0,0,0,0,0,0.147258093919307,0,0,0,0,0.102538221752743,0,0,0,0,0.0206924148818592,0,0,0,0,0,0,0,0,0.0310216272684784,0,0,0,0,0,0,0,0.0312395776331339,0,0,0.181211413417518,0,0,0,0.184899074003636,0,0,0.00433233455256198,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.226183550711978,0,0,0,0,0,0,0,0,0.0460301037573487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.088872051308722,0,0,0,0,0,0.0094984210816434,0,0,0.110435265484898,0,0.00920429561474912,-0.015637552959169,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0814426400251152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120033294677282,-0.0427693740325773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041004641650562,0.190103404093314,0,0,0,0.176168702554456,0,0,0,0,0.0136087408787577,-0.0126564671332941,0,0,0,0,0,0
