,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600031.SH,X000100.SZ,X600276.SH,X000338.SZ,X600372.SH,X600741.SH,X000157.SZ,X002241.SZ,X600703.SH,X600089.SH,X600066.SH,X600271.SH,X600118.SH,X002236.SZ,X601877.SH,X000550.SZ,X000581.SZ,X600177.SH,X002475.SZ,X600582.SH,X000568.SZ,X002129.SZ,X000800.SZ,X300124.SZ,X000623.SZ,X002294.SZ,X000559.SZ,X002292.SZ,X600060.SH,X300003.SZ,X000050.SZ,X600839.SH,X002465.SZ,X002456.SZ,X000400.SZ,X000977.SZ,X000869.SZ,X300146.SZ,X002038.SZ,X000727.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0.133371773293701,0,0.187958132533173,0,0,0,0.103178369403001,0.0734618726864777,0.0950444770594691,0,0,0,0.195551193353712,0,0,0,0.192699908629221,0,0,0,0,0,0,0.0322337346124094,0.00437956675793771,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00576119750036595,0,0,0,0,0,0
X600519.SH,0,0,0,0.0783134537422141,-0.00349289998795545,0,0.182839032839639,0.0969379820487289,0,0,0.0623795103847488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180871284735033,0,0.00501110644418961,0.0417929410698911,-0.066717777180505,0,0.0157916253521101,0,-0.0416388739229152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00452831020899477,0,-0.0371546058701075,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0100665549205885,0,0,0.314022374740255,0,0.26160398133019,0,0,0.0808403686257792,0,0,0,0,0,0.0666511108401403,0,0,0,0,0.0659947824242022,0,0,0.0142768065220506,0,0,0.0162133243851442,0,0,0,0,0,0,0.020911063021065,0,0,0,0,-0.0241672385218792,0,0,0,0,0,0.0285627656271732,0.00269738265586087,0,0,0,0,0,0
X000651.SZ,0.285625759667297,0,0,0,0,0,0,0,0,0.100623017805399,0,0.0461353000137774,0,0.0239170245221005,0,0,0,0,0,0,0,0,0,0,0,0.170469793865661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416737823849312,-0.00767213850760478,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.291943654077221,0,0,0,0,0,0.0818656966756984,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.192479926855288,0,0.116438026602552,0,0,0,0,0,0,0.0580721815178075,0.0252271387297564,0,0,0,0,0,0.0517948893142437,0,0,0,0,0.0600353273061667,0,0,0,0,0,0,0,0.00136977519438661,0,0,0,0,0,0
X000625.SZ,0.191933955690964,0,0,0,0.176371795875767,0,0,0,0,0,0,0,0,0,0,0.110061195366309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897106191796594,0.0203943702133719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142809730466645,0,0,0,0,0,0
X000858.SZ,0,0,0.0040410862978002,0,0,0,0,0.123149774694445,0.0418798814636517,0.163985436907677,0.217462793490155,0.0640829098480283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149889808411814,0,0.0424984401369565,0,0,0,0,0,0,0,0.0390525605049996,0.0412608281496714,0,0,0,-0.0179207507808303,0,0,0,0,0,0.0265628461161226,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.14757780578631,0,0.0304373981094011,0,0,0,0.24789706986194,0,0,0,0,0,0,0,0.0531989466262805,0,0,0,0,0,0,0.0560194961326988,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.0752494897482124,0,0,0.318536624642644,0,0,0,0,0.00587895373781739,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.078436143235445,0,0,0.202276012795467,0,0,0,0,0.0300540757650254,0,0,0,0,0,0,0,0,0.0621543272179399,0,0,0,0,0.00895566012101284,0,0.123598689504501,0,0,0,0.0467692878751561,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00592463672044718,0,0,0,0,0,0
X600690.SH,0.0318588830189161,0,0.0399262427635491,0,0,0,0.0865457363563824,0,0,0,0,0.175242605113414,0,0.0799422821234549,0,0,0,0,0,0,0,0,0,0,0,0.163964074507389,0,0.10641150124034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
