,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X600104.SH,X300014.SZ,X000651.SZ,X600031.SH,X000725.SZ,X300124.SZ,X002371.SZ,X002241.SZ,X000338.SZ,X600703.SH,X000063.SZ,X003816.SZ,X000596.SZ,X002129.SZ,X002049.SZ,X000625.SZ,X000661.SZ,X601877.SH,X002179.SZ,X300142.SZ,X002074.SZ,X000100.SZ,X600089.SH,X600741.SH,X600702.SH,X600460.SH,X000799.SZ,X002236.SZ,X000157.SZ,X600779.SH,X601799.SH,X002180.SZ,X600522.SH,X000733.SZ,X002414.SZ,X600584.SH,X600884.SH,X002008.SZ,X600183.SH,X002007.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.543611372212438,0,0,0.103898087063157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253575692912621,0,0,0,0,0,0,0.03294203097806,0.0067686658370448,0,0,0,0,0,0,-0.000136778295988791,0,0,0,0.00813986142342692,0,0,0,0,0,0,-0.0017542780709055,0,0,0,0,0,0
X000858.SZ,0.0239251671099327,0,0,0.426884760537274,0.0236072819842084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522522839974282,0,0,0,0.269465890320594,0,0,0,0,0,0,0,0.0853684516501882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0176679294120706,0.133101725484101,0.188784292254816,0,0,0,0,0,0,0,0,0.0474277351828437,0,0,-0.0290723450623281,0.0218881699687657,0,0,0,0,0,0,0,0,0,0,0,-0.0289121393182037,0,0,0,0,0,0,0,-0.00109433268561491,0,0.0347944029095788,0,0,0,0,0,0,0,0.010659402768224,0,0,0,0,0,0,0
X600809.SH,0,0.188613471502551,0,0,0,0,0,0,0,0,-0.126656095182246,0,0,0,0,0,-0.0898523136498719,-0.0765827058626029,0,0,-0.183758002729486,0,0,0,0,0,0,-0.199235913540573,0,0,-0.0804449580378598,0,0,0.0638807601538369,0.240425178729801,0.467828047186211,0,0,0.0481704785913251,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00886856642934968,0,0,0,0,0,0
X000568.SZ,0,0,0,0.0270117011868606,0,0,0,0,0,0,0,0,0,0,0.0548280437218579,0,0,0,0,0,0,0.228220560295629,0,0,0,0.267087547486467,0,0,0,0,0,0,0,0,0,0,0,0,0.150018855914535,0,-0.000481906864408258,-0.102109004584612,0,-0.0982650420392149,0,0,0,0,0,0,0,0,0.0354843062595018,0,0,0,0,0,0
X600276.SH,0,0,0.127564858452757,0,0,0,0,0,0,0,-0.0679641535235746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488527122335642,0.14199278272875,-0.138271905347693,0,0,0.0600009118582385,0,0,0,0,0,0,0,0,0,0,0.00448554787199323,0,0,0,-0.0948739325950554,-0.104843834030645,0,0.193895815092632,0,0,-0.00502883511583819,0,0,0,0,0,0,0
X002475.SZ,0,0.16996653567891,0,0,0,0.158262105256556,0,0,0,0,0,0,0,0,0.0706176949201461,0,0.0748615643447575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19489112041044,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.0888614048205596,-0.0174095131816685,0,0,-0.0115713588215622,0,0.0225027024299402,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.0335240678013596,0,0,0,0,0,0.0236503759548256,0,0,0,0,0,0,-0.0965722910777623,0,0,0,0,0,0,0,-0.101812990932021,0,0,0,0,0,0,0.155092420929135,0,0,-0.0211214302259863,-0.0108150894945769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00282150508324792,0,0,0,0,0,0,0
X002304.SZ,0,0.344336790701529,0,0,0,0,0,0.214102857444357,0,0,0,0,-0.101993796701951,0,0,0.0305230177851419,0,0,0.0972625514889306,0,-0.120891576524937,0,0,0,0,0,0,0,0.019146655603021,0,0,0,0,0,0,0,0,0,0.186735793140311,0,0,-0.102073737470016,0,0,0,0,0,0,0,0,0,0,-0.00094307833501072,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,-0.0522955288452017,0,0,0,0,0,0,0,0,0.0192543967178837,0,0,0.175709142101588,0,0,0.0100819629853364,0,0,0,0.0239448746489353,0,0,0,-0.0168751995641483,0,0,0.0153824618444188,0,0,0.0299138270239211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236925194668544,0,0,0,0,0,0,0
