,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000100.SZ,X002241.SZ,X600066.SH,X600741.SH,X002292.SZ,X600118.SH,X002506.SZ,X002049.SZ,X600031.SH,X002236.SZ,X002475.SZ,X600372.SH,X000157.SZ,X000559.SZ,X002465.SZ,X000568.SZ,X300124.SZ,X000338.SZ,X600867.SH,X600089.SH,X002294.SZ,X300003.SZ,X002007.SZ,X600177.SH,X002074.SZ,X002456.SZ,X601877.SH,X002085.SZ,X600498.SH,X002008.SZ,X000050.SZ,X300146.SZ,X600584.SH,X000869.SZ,X600582.SH,X000547.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111295707910768,0,0,0.00835991607412076,0,0,0,0,0,-0.00961563821922891,0,0,0,0,0,0,0,0,0,0,0,0,-0.00239663996223743,0,0,0,0,0,0.00618926935337863,-0.0145354169667431,-0.00895203803372974,0,0,0,-0.0229725174675864,-0.00586327776741139,0,0,0,-0.397231909849581,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607512274601834,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230116456515247,0,0.0585532657398728,0.172888834328009,0.142709997061938,0,0,0,0,0.0445058100892936,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0.0327938221327479,0,0,0,0,0.207882179854709,0,0,0.0151135535010982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613478843132017,0,0,0,0,0.0256212107172602,0,0.0802166617933372,0,0,0,0.0657793967858161,0,0,0,0,0,0,0,0,-0.0336505341944176,0,0,0,0,0,0
X002241.SZ,0,0,0.0703557613713227,0,0,0,0,0,0.165462045514073,0,0,0.0694078680948358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688012442089778,0.054052248850114,0,0,0,0,0.439439573467881,0,0,0.01490016190176,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0.177744484625685,0,0,0,0,0,0,0,0,0.222155886585952,0,0,0,0,0,0,0,0.0634501600992347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419539215292114,0,0,0,0.0587454549827314,0,0,0,0,0,0,0,0,0,0,0,0,0
X600741.SH,0,0,0,0.0472188342404027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120200544618673,0,0,0,0,0,0,0,0,0,0.131843919584317,0.0029599583387179,0.0436674187099182,0,0,0,0.129243658649721,0.158328634093768,0,0,0,0,0,0,0,-0.0116409116363141,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089856932681879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37651281029275,0.364975619778144,0,-0.165905726291895,0,0,0.201625770054784,0,0,0,0,-6.93889390390723e-18,0,0,-0.0815382075061259,0,0.171051997200933,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999872946126937,0,0,0,0,0,0,0.0768213183977403,0,0.0211809528504402,0,0,0,0,0,0,0,0,0,0.0320617628088098,0,0.278524165413033,0,0.0229352502840714,0,0,0,0,-0.0195189343942751,0,0,0.21791672917751,0,0,0,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954329862453887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618611803585585,0.0606463445996566,0.222572473860247,0,0,0,0,0.166969480660124,0,0,0.0185327716671641,0,0,0,0,0,0.215608140071886,0.0306328569855834,0,0,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159086819846796,0,0,0.0384742117655969,0,0,0.140097391777949,0,0,0,0,0,-0.157358284541579,0.0787991083108517,0,-0.0192995493044451,0,0,0,0,-0.0181568849597527,0.515307666462398,0,0,0,0,-0.0462392076312022,0.110803519057786,0,0,0,0,0,0
X600031.SH,0,0,0.0662306689844234,0,0,0,0,0,0,0.132340572974874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157366290910601,0,0,0,0,0.0536583334644728,0,0,0,0,0,0.237109955789273,0.0135533041396363,0.111325208455172,0,0,0.0311657125751835,0,0,0,0,0,0,0,0,0,-0.0214648885249797,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107328167335955,0,0,0,0,0,0,0,0,0,0,0,0,0.239963990999206,0,0,0,0.00682427379679715,0.0964620683774023,0,0.099389619337327,0,0.141721139275448,0.0523726579451202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580374554435694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079123357287219,0.100054836951777,0.0123973312373962,0.128511646794201,0,0,0,0.153395046377789,0.027671486979395,0,0,0,-0.015784647325715,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447885961068953,0.0396631003688269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599849652379816,0,0,0.0763312158237528,0,0.0069557957733811,0,0,0,0,0,0.175689229859579,0,0,0.0132866948422661,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00785273780862583,0,0,0,0,0,0,0.371888799108443,0,0,0,0,0,0,0,0,0,0,0.146659066453326,0,0,0,0.158917726334915,0,0.00315332508068588,0,0,0,0,0,0,0,0,0,0.10080254636953,0,0,-0.0149795849888592,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165840387851586,0,0.105946567744422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864296033361337,0.0100370179036173,0,0.0658785406431101,0,0,0.0798389320221498,0.122012305445138,0.216739688914728,0,0,0,0,0,-0.00451395448074186,0.0245582732599713,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,0,0.0447317377540139,0,0,0,0,0,0,0,0.0985750247493002,0,0.120496203932481,0.0278672808579286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2442971141207,0,0,-0.00820159459479623,0,0,0.123644793616207,0,0,-0.0794407779979148,0,0,0,-0.127381866257974,0,0,0,0,0,0,0
X000568.SZ,0,0,0.0953506594820739,0,0,0,0,0,0,0.122844766315841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277288142282888,0,0,0,0,0,0.000646681582871321,0.0349700922778726,0,0.0417182467350153,0,0.0144435304405683,0,0.0215822178104959,0.0636044662867104,0,0,0,0,0.099424085547434,0,0,-0.0112777949395895,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209855549058574,0,0.0696082022751656,0,0,0,0,0,0,0.0241916230042037,0,0,0,0,0,0,0,0,0.119190122038178,0,0,0,0,0,0.0597613287009065,0.339888378642244,0.0641427106218293,0.22093132586321,0.00580575139534872,0,0,0,0,0,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549401891924388,0,0,0,0,0,0,0,0,0.129152433302156,0,0,0,0,0,0,0,0,0,0.15955714806851,-3.46944695195361e-18,0.134274543533654,0,0,0.0960572699801523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600867.SH,0,0,0.0814457281420999,0.0911170778656711,0,0,0,0,0,0,0,0,0,0.0631366545448093,0,0,0.0445594435628456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223492435903255,0,0,0,0,0.0875079475214954,0,0.0579501602039879,0.0574477952468042,0,0,0,0,0,0,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00662239576200384,0,0,0,0,0,0,0.0422056654104004,0,0,0.0380601814253182,0,0,0,0,0,0,0.325099983647541,0,0.16169265093923,0,0,0,0.0309778995939083,0,0,0,0,0,0.029592040361122,0,0,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795978681363782,0,0,0,0,0,0,0.0326845896885263,0,0,0,0,0,0,0,0,0.190880398643719,0,0,0.0830744360743496,0,0,0,0,0.0392400405943255,0.123142337356408,0,0,0,0,0,0,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625126846644047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929312726997621,0,0.198755267287448,0,0.0787751333548252,0.0493463970934351,0,0,0,0,0,0,0,0.00180035560745918,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0.0829072703071878,0,0,0,0,0.00832574591856152,0,0,0.0286225565347267,0,0,0,0,0,0,0,0.0815409456313664,0,0,0,0.135261797770008,0,0,0,0,0,0,0.304588836489452,0,0.118733988153799,0,0.00281644967163574,0,0,0,0,0,0,0,0,0,0,-0.00719663733789371,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0.257306874873529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196117667445932,0,0.16005217804794,0,0.0595919449000579,0,0.00996632823213826,0,0,0,0,0,0,-0.00997502633491448,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118288208357564,0,0,0,0,0,0,0,0,0.591704276385739,0,0,0,0,0,0,0,0,-0.275125094894556,0,0,0,0,0,0,0.259438512043376,0.139362488096196,0,0,0,0,0,0,-0.0465095027145331,0.0601204514336379,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363193545166103,0,0,0.0208521761262558,0.0619639758547085,0.130708497790238,0,0,0,0,0.268556242616274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274244702538471,0.133598589638931,0,0,0,0.0261133316009993,0,0,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182267608292648,0,0,0,0,-8.67361737988404e-19,0,0,0,0.494487420919532,0,0,0,0,0,0,0,0,0,0,0.0360726215143864,0,0,0,0,0,0,0,0,0,0,0.0986299943653922,0,0,0.0880675034429089,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550932302966827,0.0779707578179413,0.135236333165425,0,0,0,0,0,0,0.21726355136209,0,0,0.123581459289259,0,0,0,0,0,0.0430682608826939,0,0,0,0,0,0,0,0.156626771793852,0,0,0,0,0,0,0,-0.024229494465317,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0.10084139805296,0,0,0,0,0,0,0,0,0.0460416960113847,0,0.115988131240426,0,0,0,0,0,0,0.0676815472086317,0,0,0.108672550489695,0,0,0,0,0,0,0,0,0,0.142806582888746,0,0,0,0,0,0,0,0,0.210110810720629,0,0.0135373733658501,-0.0551728623550558,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0.192603236756324,0,0,0.0975581506504349,0,0,0,0,0.128262933205621,0,0,0,0,0,0,0.0592000280550375,0,0.0280428072852767,0,0,0.20300628222319,0,0,0,0,0,0,0,0,0.143804540255039,0,0.0573646182485827,0.00826556614896862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938695155996802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524736216112214,0.0276049692027133,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0
