,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600031.SH,X600703.SH,X600271.SH,X000100.SZ,X000559.SZ,X600118.SH,X600066.SH,X000157.SZ,X002236.SZ,X002475.SZ,X600372.SH,X002292.SZ,X600741.SH,X600089.SH,X000338.SZ,X002241.SZ,X300124.SZ,X000568.SZ,X600839.SH,X002465.SZ,X600177.SH,X002294.SZ,X000977.SZ,X002074.SZ,X000869.SZ,X600867.SH,X000800.SZ,X300003.SZ,X600582.SH,X002129.SZ,X600525.SH,X002085.SZ,X600498.SH,X000581.SZ,X000550.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.179470587332953,0,0,0,0,0.0726182848994994,0,0,0,0,0,0,0,0,0,0,0.211506658143961,0,0,0.00774134220787661,0,0,0,0.17484794032931,0,0,0,0,0,0,0,0.00551886105893043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.219871665401326,0,0.233873617902937,0,0,0,0,0,0,0,0,0,0,0.16858180508975,0,0,0,0,0,0.052037220264834,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863337834936136,0,0,0,0.0115783799257883,0,0,0,0,-0.0758617727361307,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206844263202137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296388256107641,0,0,0,0,0.0533624056186685,0.0569164229871497,0,0,0,0,0,0,-0.0223019370652642,0.0296247392138255,0,0,0,0,-0.0377268809001873,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.197422911972422,0,0,0.183430728348427,0,0,0.187027686475451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675518376324401,0,0,0,0,0,0,0,0,0.0148357729072414,0,0,0,0,-0.0256654466479382,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.143508614026304,0.197161309240813,0,0,0,0,0,-0.0795021201879743,0,0,0,0,0.0347760118877681,-0.0953372547525429,0,0,0,0.170620786327946,0,0,0,0,0.0539699234859048,0,0,0,0,0,-0.0650823083623657,0,0,0.0698215727433045,0,0,0,0,0,0,0,0,0,-0.0755221513715053,-0.0357442490134231,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258111435817142,0,0,0,0.0573635379788245,0,0,0,0,0,0,0,0,0,0.293303183191685,0.0130172653538888,0,0,0,0.0176733591237677,0,0.000738887403283699,0,0.0197291083908424,0,0,0,0,0.0649862170690939,0,0,0,0,-0.0447627600408391,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.149235263033759,0,0,0,0,0,0,0,0.0305523925345277,0.107768812994876,0.0715931789532537,0.0613971174326817,0.0347957235258928,0,0,0,0,0,0.147801050210595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110883767407933,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.213145270721759,0,0,0.0335073433492857,0,0,0,0,0,0.254435216747741,0,0,0,-0.0231755886341913,0,0,0,0,0,0,0,0,0.262299371541512,0,0,0,0,0,0,0,0,0,-0.0993218188802196,0,0.11798047279514,0,0,0,0,0.090627915473946,0,0,0,0,0,-0.18111044763162,-0.0605875928778579,0.0679466679600204,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122312011125741,0,0.232975594550579,0.0422326914425361,0,0,0,0,0,0.0581245248815005,0,0.33055300333388,0,1.73472347597681e-18,0,0,0,0.0456285975003477,0,0,0,0,0,0,0,0,0,0,0,0.0147880830403228,0,0,0,0,0,-0.011805361015944,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375282320800338,0.124701501364804,0,0,0,0,0,0,0.0225566604553362,0,0.245761578385588,0,0.305582184686019,0,0,0.0315867925808092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00908795021572628,0,0,0,0,0,0,0
