,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002129.SZ,X000725.SZ,X600031.SH,X003816.SZ,X002371.SZ,X002049.SZ,X000596.SZ,X000625.SZ,X000063.SZ,X002179.SZ,X600703.SH,X000338.SZ,X600089.SH,X002180.SZ,X000661.SZ,X600522.SH,X300142.SZ,X002241.SZ,X000733.SZ,X601877.SH,X000100.SZ,X002074.SZ,X600741.SH,X600460.SH,X000157.SZ,X600702.SH,X600584.SH,X600884.SH,X300003.SZ,X600487.SH,X002223.SZ,X000799.SZ,X002414.SZ,X002236.SZ,X600563.SH,X601799.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.186572313087855,0.0807818339772095,0,0.203754043785836,0,0,0.0286463022811865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252158881448437,0,0,0,0,-0.0927555139620152,0,0,0,0,0,0,0,0,0,0,0,0,0.0910381497670648,0,0,0,0,0,0,0.00788686581050901,0,0,0,0,0,0,0
X000858.SZ,0.346473459866401,0,0,0,0.284127035099811,0.0421358589557547,0,0,0,0,0.0127515039465956,0,0,0,0,0,0,0.0268715828933328,0,0.010382578069149,0,0,0,0,0,0,0.0457136405496582,0.0789367672125514,0,0,0,0,0,0,0,0,0,0,0.0929128544567141,0,0,0,0,0,0,-0.0810903962821225,0,0,0,0,0,-0.0144699836414693,0,0,0,0,0,0,0
X600809.SH,0.32753873798909,0,0,0,0.427340825927838,0,0,0,0,0,0,0,0,0.0342818719023854,0,0,0,0,-0.184670937108833,0.0248205256265201,0,0,0,0,0,-0.0603863770728195,0,0,0,0,0,0,0,0,0,0.121515957565779,-1.0842021724855e-19,0,0.158436892279655,0,0,0,0,0,0,-0.0125357625549738,0,0.0153501257016738,-0.0487512557883469,0,0,0.0176018070161235,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.00796409766452883,0,0,0,0,0,0,-0.0410949956220862,-0.0182560529830813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454484201690242,0,0.209296861539612,0,0.0453975800817871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109195259609588,-0.0271686775353303,0.131595331282552,0.203262295777169,0.271127085612893,-0.0356333188581468,0,0,0,0,0,0,0
X000568.SZ,0.460478569315054,0.143726836984558,0.660474702738834,0,0,-0.0693879668577338,0,0.00420119323981769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581295605885622,0.0836461546455957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0377909397813767,0,0,0,0.0295994491909658,0,0,0,0,0,0
X600276.SH,0,0.0888390446808682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482015614029848,0,0,0,0,0,0,-0.151499967192422,0.0359491098332947,0,0,0,0,0,0,0,0,0,0,0,0.0956333331959798,-0.0411373037937465,0.105626028450875,0.0432736195765988,0,0,0,0,0,0,0,0.00393483149491166,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0312460013149804,0,0,0.128657836327022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414950581785016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103392584232592,0,0,0,0,0,-0.0716298774098241,0,0,0,0,0,0,0
X600690.SH,-1.73472347597681e-18,0,0,0,0.203914873076394,0,0,0,0,0,0.529268990206972,0,0,0.0409501222565513,0,0,0,0,0,0,0,0,0,0.0706950174182734,0,0.0166253423984236,-0.150618311285196,0,0.0566801085460468,0,0.0682242291374693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0383630045776316,0,0,0,0,0,0.00161395538736519,0,0,0,0,0,0,0
X002304.SZ,0.0715470830497454,0.287325171373835,0,0,0,0,0,0,0,0.0319460760831046,0,0,0,0,0,0,0,0,0,0.0627477903296573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.224608149939002,0,0,0,0,0,0,-0.0682995653388644,0,0,0.058085459695737,0,0,0,-0.0674932595420762,0,0,0,0,0,0
X300124.SZ,0,0,-0.0165069298821761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00085436640467272,0,-0.0587638281877378,0,0,0,-0.131356513798406,0,0,0,0,0.0574978061676149,0,0,0,0,0,0.423546568045082,0,0,0,0,0,0,0,0,0,0,0,0,0.0121536808172072,0,0,0,-0.0463261969888388,0,0,0,0,0,0,0
