,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X600690.SH,X000725.SZ,X000568.SZ,X600741.SH,X600703.SH,X000338.SZ,X002475.SZ,X600031.SH,X002236.SZ,X000063.SZ,X300003.SZ,X300124.SZ,X002008.SZ,X600809.SH,X600867.SH,X601877.SH,X600066.SH,X600271.SH,X000596.SZ,X002456.SZ,X000625.SZ,X002294.SZ,X600487.SH,X600566.SH,X000100.SZ,X000661.SZ,X002508.SZ,X002241.SZ,X300142.SZ,X000157.SZ,X000981.SZ,X002179.SZ,X002007.SZ,X000050.SZ,X300136.SZ,X002180.SZ,X600177.SH,X000869.SZ,X002038.SZ,X600522.SH,X600498.SH,X600707.SH,X600884.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.271626203637367,0,0,0,0,0,0.0169286886922413,0,0,0,0,0,0,0,0,0,0,0.0445905682416263,0,0,0,0,0,0,0,0,0.0720828467081057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625651687938836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0767393237642349,0,0,0,0.239177080566818,0,0,0,0,0,0,0,0,0,0,-0.159912868478875,0,0,0,0,0,0,0,0.0329581117465949,0,0,0,0,0,0,0,-0.0523094876168634,0,0,0,0,-0.0313800537025276,0,0,0,0,0,0,-0.0438821838821115,0,0.000491178391946606,-0.0406813050984979,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0562281549323794,0.101806911744292,0,0,0,0,0,0,0,0,0.206392626089258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117118018103569,0.122744970610121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226509020082861,0,0,0.0271338513750458,0,0,-0.0295647626797295,0,0,0,0,0,0
X000858.SZ,0.241447689361701,0,0,0,0,0.210548609081938,0.0498725554179357,0.0601854725355494,0,0.11711889423742,0.00688453848800819,0,0,0,0,0,0,0,0,0,0.148020284111138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136997197123787,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.176195216220015,0,0,0,0,0,0,0,0.126395479334979,0,0,0.0473837612316718,0,0,0,-0.0886789045917346,0,0,0,0.185906338420493,0,0.245400924320423,0,0.0921153865098674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017466850607018,0,0,0,0,-0.0401585735235538,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.547117956221305,0,0,0,0.455991662985485,0,0,0,0.0296661885177694,0,0.0372305218456969,0,0,-0.0386578400659134,0,0,0,0,0,0,0,0,0,0.0446380337363572,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.0324511558923952,0,0,0,-0.0410694462894218,0.0107375716864007,0,-0.0662505649279712,0,0,0,0.0685695577524292,0,-0.0342565619393837,0.01949116271028,0,-0.0322369719335127,0.0444930741663394,0,0,0,0,0,0
X002304.SZ,0,0,0.172734520654216,0,0,0,0,0.128470869784603,0,0.0375107992679917,0,0,0,0,0,0,0,0,0.0323310419812215,0,0.167236762576396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217139002020225,-0.0219735070216763,0,0,0,0,0,0
X600690.SH,0,0,0,0.334514751757649,0,0,0.104075505328994,0,0,0,0.00372409756353042,0,0,0,0,0,0,0,0.0162638822578173,0,0.0561056351301387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105923255807973,-0.0246599974331055,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236454776155003,0,0,0,0,0,0,0,0,0,0,0,0,0.0214322037547552,0,0,0,0,0.261583224582273,0,0,0,0,0,0.204942115614797,0.181423970462416,-0.156534240635473,0,0,0,0,0,0,0,0,0.0209340228361454,0.0593785769170038,0,0,0,0,0,0
X000568.SZ,0,0,0,0.0801337888279597,0.146836165712101,0.0550090643886926,0.127171169667362,0.181234161299114,0,0,0,0,0.0257628635274827,0.0445485878539581,0,0,0,0,0,0,0,0,0,0,0,0.165546005779532,0,0,0,0,0,0,0,0,0,-0.173474856849628,0,0,0,0,0,0,0,0,0,0,0.0471434299990953,0.06689757844398,0,0,0,0,-0.0197571945698655,0,0,0,0,0,0
