,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X002304.SZ,X600276.SH,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600741.SH,X600031.SH,X002475.SZ,X002241.SZ,X002236.SZ,X600066.SH,X000338.SZ,X601877.SH,X000100.SZ,X002508.SZ,X600271.SH,X002456.SZ,X600089.SH,X300124.SZ,X600118.SH,X002085.SZ,X000157.SZ,X600522.SH,X600177.SH,X600372.SH,X002007.SZ,X300003.SZ,X300136.SZ,X000981.SZ,X600487.SH,X002294.SZ,X600867.SH,X600699.SH,X002074.SZ,X000066.SZ,X002008.SZ,X600809.SH,X000596.SZ,X600566.SH,X002180.SZ,X300115.SZ,X002426.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0725335865462402,0,0,0,0,0,0,0,0,0.186026998662416,0,-0.000142476916873025,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0132079902356646,0,0,0,0,0,0,0,0,0.148410706383375,0,0,0,0,0,0,0,0.00761868142951785,0,0,0,0,0,0
X600104.SH,0,0,-0.0561878794880843,0,0,-0.06771182088227,0,0,0,0,0,0,0,0.186474041090615,0,0,0,-0.0172821011043078,0.0430241542840228,0,0,0,0.0522218209640274,0,0,0.143836413608426,0,0,-0.0377804509745845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243882246844804,-0.00753840438912349,-0.013955256039494,0,0,0,0,0,0
X002415.SZ,0,0,0,0.203310612914996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143524366391375,0,0,0,0,0,0,0,0,0,0,0.0176112997456641,0,0,0,0,0,0,0,0,0,0,0.171345374427959,0,0,0.0391148535724339,-0.0752854713597833,0.00392596289699687,0,3.46944695195361e-18,0,0,0,0,-0.0107511495246854,0.000812246159380245,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0583096368954215,0,0,0,0,0,0,0.211472468403794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233366860942427,-0.00176793496427202,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0351218759967868,0,0,0.192721878412124,0,0,0,0,0,0.241252454720441,0,0,0,0,0.132899088373748,0,0,0,0.0576091096227545,0,0,0.0182609466014482,0.0121570739288355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142132622122226,0,0.00772013450901675,0,0,0,0,0,0,0.00285002104694168,0.00473292570021469,0,0,0,0,0,0
X000725.SZ,0,0,0,0.159251497439241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100458198376085,0,0,0,0,0,0,0,0,0,0,0,0,0.158078789878134,0,0,0,0,0,0,0,0,-0.022432283009665,0.0184938773618125,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.118565829452815,0,0,0,0,0,0,0,0.292124175435292,0,0,0,0,0,0,0,0,0.111285667501466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744572629106013,0,0,0,0,0.060713391468809,0,0.0906131071963316,0,0,0,0,0,0,0.0208046032329398,-0.00391078195815548,0,0,0,0,0,0
X600276.SH,0,0,0,0.10852129466826,0,0,0,0,0,0,0,0.219626789196142,0,0,0,0,0,-0.0648996080230416,0,0,0,0,0,0,0.0249320202352649,0,0,0,0,-0.0990918029522548,0,0,0,0,0,0,0,0.0457138928909164,0,0,0,0,0,0,0.111636346148971,0,0,0.0737800325323077,-0.0156367192908204,0,-0.0152537931954269,0,0.00443745989592068,-0.0944116517257448,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118357217464731,0,0,0,0,0,0,0,0.0297201202639274,0,0,0,0.100670962056921,0.14811477470801,0,0,0.0600848446347002,0,0,0,0,0,0,0,0,0,0,0,0.0581286609330383,0,0,0,-0.133244318111879,0,0,0,0,0,-0.00269244635550921,-0.00699477280420242,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.0861985725531059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0561349547184411,0,0,0,0,0,0,0.0568614299966278,0,0,0,0,0,0,-0.0331479140084939,0.0517565320878587,0.0562790466431177,0,0,0,0.000787202378013443,0,0,0.00378811895662542,-0.00632492894052809,0,0,0,0,0,0
