,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X000100.SZ,X600703.SH,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X600839.SH,X600066.SH,X000016.SZ,X000559.SZ,X002236.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X002475.SZ,X002129.SZ,X000066.SZ,X300124.SZ,X000547.SZ,X000568.SZ,X600435.SH,X002465.SZ,X600582.SH,X002506.SZ,X000800.SZ,X600177.SH,X600312.SH,X300003.SZ,X600006.SH,X600525.SH,X002294.SZ,X300142.SZ,X000977.SZ,X600867.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.201650596569673,0,0,0,0,0,0.0408402962535624,0.0391815514635396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217286619891042,0,0,0,0,0,0,0,0.0351719743641067,0,0.00333261800741453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.172006699687083,0,0.0440048354233105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170718511307734,0,0.0305281230120368,0.106625070564591,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.0475716216604693,-0.0083055916174378,0,0,0,0,0,0
X002415.SZ,0.110324374778698,0,0,0,0,0,0,0,0.0341546076221391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0791924457975819,0,0,0,0,0,0,0,0,0,0.0238824428871614,0,0,0.223592593887967,0,0,0.336147462735795,0,0,0,-0.0658808971765467,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.198413571095061,0,0,0,0,0.0209864658151189,0,0,0.057227804048583,0,0,0.0734916755828351,0.0967309018764088,0,0,0,0,0,0,0,0,0,0,0,0.0283243628032515,0,0.305306286554714,0,0,0,0,0,0,0,0,0,0.00408295101714412,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0557071560275721,0,0.151511288903726,0,0.0934569627845158,0,0,0.01198583759934,0,0,0.13571004086628,0,0.09102684228255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0972631822478628,0,0,0.00068416829958441,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0990358682496965,0,0,0,0,0,0,0,0,0,0.0934450978145484,0,0,0,0,0,0.0581118601616425,0,0,0,0,0,0,0,0,0.485408877336181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0330685788506943,0,0,0,0,0,0
X600276.SH,0,0,0,0.0247118880909803,0,0,0,0,0,0.144746899996327,0,0.157711544905911,0,0,0,0,0,0,0,0.159933032788095,0,0,0.0161413527628386,0,0,0,0.146509791237906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0887031230042456,0,0,0,0,0,0,-0.00442453021074484,0,0,0,0,0,0,0
X002304.SZ,0,0.268115939843994,0,0,0,0.224421546485089,0,0,0,0,0.0121450603734024,0,0,0,0,0,0,0,0.0195885658527838,0,0,0.0184968063518643,0,0,0,0,0,0,0.0372443546878279,0,0.132554914016258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148928042668445,0,0.0166049481188075,0.0328436574883564,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0254281125819313,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0.0267337449776597,0,0,0,0.389631166962831,0.0092821687094025,0,0,0,0,0,0,0.266106186976104,0,0,0,0,0,0,0,0,0,0,0,0.00758619651089666,0,0,0,-0.00593499631608054,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0.0850860411489135,0,0.120213096407263,0,0,0.00257321577373519,0,0.0471200383720716,0,0,0,0,0,0,0,0.0825038894747145,0.0917414543304367,0,0,0,0,0,0.233766531884927,0,0,0,0,0.0853823138176562,0.0432266465672639,0,0,0,0,0,0,0,0,0,0.00127280545681415,0,0,0,0,0,0,0
