,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X600031.SH,X000063.SZ,X600690.SH,X600276.SH,X000338.SZ,X000157.SZ,X600372.SH,X600741.SH,X002241.SZ,X600703.SH,X600089.SH,X000100.SZ,X600066.SH,X600271.SH,X000550.SZ,X600118.SH,X601877.SH,X000581.SZ,X002236.SZ,X000623.SZ,X300124.SZ,X000568.SZ,X002475.SZ,X000800.SZ,X600177.SH,X002294.SZ,X002129.SZ,X000559.SZ,X000869.SZ,X600582.SH,X002456.SZ,X000400.SZ,X000050.SZ,X600839.SH,X002465.SZ,X002007.SZ,X002292.SZ,X600252.SH,X000977.SZ,X600809.SH,X300003.SZ,X002038.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.113586769730134,0,0,0.170815470188613,0,0,0,0,0,0,0.475025922868085,0,0,0,0,0.0510761916774298,0,0.145474133784964,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0567637570722378,0,0,-0.0701901846323769,0,0,0,0,0,0,0.00645589013389495,0,0,0,0,0,0,0,0,0,0,-0.00588818370739489,-0.084928472403877,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0.157655847080749,0.110436899240142,0,0,0.153850208384852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827950779130324,0,0,0,0,0,0,0,0,0,0,0,-0.0406909163966229,0,-0.00759260320805573,0,0,0,0,0,0,0,-0.0154954674246068,-0.0113441901769673,-0.131840142100123,0,0,0,0,0
X000651.SZ,0.138721454412558,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102120215865294,0.135752935464884,0,0,0,0,0,0.0577497068448309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194061651579652,0,0,0,0.0429884803470755,0,0,0,0,0,0,0,0,0,-0.0559506493088134,-0.021484771219827,0,0,0,0,0,0
X000725.SZ,0,0,0.0299129322628734,0,0,0,0,0,0,0,0,0,0,0.0795185612057958,0,0,0,0,0,0.400937919505963,0,0,0,0.117196722703412,0,0,0,0,0,0.0714535052146894,0,0.0459595275749225,-8.67361737988404e-19,0,0,0,0,0.0104692456076859,0,0,0,0,0,0.0377655915483567,0,0,0,0,0,0,0,0,-0.00197869600276369,0,0,0,0,0,0
X002415.SZ,0,0,0.184049924387409,0,0,0.0312400013280414,0.0613169688490084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933930881420332,0,0.00510330100415546,0,0,0,0.212075971438083,-0.0499054060482249,0,0,0,0,0,0,0,0,0,0.0197080111667157,0,0.126776595622854,0.0976378173588215,0,0,0,0,0,0,0,0,0,0,-0.0234576628685337,-0.00627523473159346,0,0,0,0,0,0
X000625.SZ,0.243702010803313,0,0,0,0,0,0.139604666229636,0,0,0.134815588486908,0,0,0,0,0,0.0945534453530822,0,0,0.0106262389061879,0,0,0,0.0181808002051831,0,0,0,0,0.0967114692733535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128106018585481,0,0,0,0,0,0,0,-0.0215221653030565,-0.0103701616450578,-0.0233174629772895,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.0470031233487246,0,0,0,0,0,0,0,0,0,0,0,0.0618254806644747,0,0,0,0,0,0,-0.0299129810763895,0,0,0,0,0,0,0,0,0.0520676900275664,0,0,0,0,0,0,0,0,0,0,0.381140675158447,0,0.0431422748184145,0,0,0.00791147091244692,0,0,0,0,0,0
X000858.SZ,0,0.149115516676672,0.0818825531859746,0,0,0,0,0,0,0,0,0,0.0526822622747751,0.0431595292248477,0,0.0629167237258053,0,0,0,0.0966392838576134,0,-0.0484690833380969,0,0,0,0,0,0,0,0.0646806105273343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153924419319502,0,0,0,0,-0.0129973643377103,0,0,0,0,0,0
X600031.SH,0.0847086627917261,0,0,0,0,0,0,0,0,0,0,0,0,0.97632792919419,-0.0241749126770916,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.00578490734872887,0,0,0,0,0,0
X000063.SZ,0.0268666098953303,0,0,0,-0.0164967340053652,0,0,0,0,0,0,0,0,0.111641849614113,0,0.0237258957709923,0,0,0,0,0,0,0,0.0523951932443117,0,0,0,0.0107693091638733,0,0,0,0,0.0881131650242168,0,0,0.0430009442691317,0,0,-1.0842021724855e-19,0,0,0.0327150411347615,0,0.0697778041544085,0,0,0,0,0,0,0,0,-0.00603852488187508,0,0,0,0,0,0
X600690.SH,0.0146931149203244,0.104574686202367,0,0,0,0.0608690325085081,0,0.239354311023664,0,0,0,0,0.0715718845230281,0,0,0.155748743178249,0,0,0,0,0,0,0,0.0147323293419053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169417066347084,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0396007599695915,0,0.0782512659366175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164291792837382,0,0,0,0,0,0,-0.095469147431695,0,0,0,0,0,0,0,0.123952876895162,0,0.0590157446601513,0,0,0,0,0,0.0787634995237625,0.114276350488747,0,0,0,0,0,0,-0.0389544109609098,0.00824633379663795,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450029615006304,-0.0989898952444902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368288614717674,0,0,0,0,0.0103332974883386,0.0153400448152217,0.111248938403804,0,0,0,0.157374136505932,0,0,0,0,-0.0230900073065355,-0.00425172555936453,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0.290357919055421,0,0,0,0.227083690665214,0,0,0,0,0,0.0509432287490376,0,0,0,0,0.0739763552939324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182130333140359,0,0,0,0.0188052536131726,0,0.010594421930329,0,0,0,0,0,0,0,-0.0165881863358036,-0.0271052164527736,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125072602074186,0.0159303659517638,0.0414483574405824,0,0,0,0.16743859753081,0,0,0.148622873005655,0.00566672991245116,0,0,0,0,0,0,0,0,0,0.0540602242032492,0.0397015810465915,0,0,0,0,0,0,0,0,-0.101508540660247,0.00424147648356443,0,0,0,0,0,0
X600741.SH,0.177784806477859,0,0.0145718921491772,0,0,0,0,0,0,0,0.0764719253353265,0,0.0127544345853387,0,0,0,0,0,0.151321927872492,0,0,0,0.00766615703201278,0,0,0,0,0.225549380306074,0.0281443125762748,0,0,0,0,0,0,0,0,0,0,0,0.0181172585310754,0.0572357427194833,0,0,0,0,0.0936257832254703,0,0,0,0,-0.0657079052596497,-0.0239107821739414,0,0,0,0,0,0
