,X600519.SH,X002415.SZ,X600104.SH,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X600741.SH,X002475.SZ,X000338.SZ,X002241.SZ,X000625.SZ,X002456.SZ,X600031.SH,X000100.SZ,X002008.SZ,X600066.SH,X601877.SH,X600487.SH,X600809.SH,X300136.SZ,X300124.SZ,X002508.SZ,X300003.SZ,X600522.SH,X002294.SZ,X600867.SH,X600699.SH,X600498.SH,X600089.SH,X002085.SZ,X000596.SZ,X600271.SH,X000157.SZ,X600177.SH,X600566.SH,X000050.SZ,X600118.SH,X600584.SH,X000559.SZ,X002180.SZ,X000661.SZ,X300142.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.213012070679266,0,0,0.196359772654931,0.11394928542034,0,0,0,0.0559197237911505,-0.0717540584343347,0,0,0,0,0,0,0,0,0,0,0,0,0.0237157045161786,0,0,0,0,0.0864316372543549,0,0.0247849400657402,0,0,0,0,0,0.0438290122626809,0,0,0,0,0,0,0.133604681671699,0,0,0,0,0,0.00831204266016302,0.00520466748591724,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0577560951736597,0,0,0,0.00673776662260797,0,0,0,0,0.0125533456337852,0,0,0,0,0.0460492478860926,0.154221664752484,0.0699301632744707,0.052507451761716,0,0,0.055941190213848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776175281095285,0,0,0.000652608792429691,0,0.00351954351930893,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.0630470181621993,0,0,0,0.0860704831185577,0,-0.0267277724963251,0,0.270819426488808,0.078956418271138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0369359048352684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335355416770138,0.0422063509208606,0,0,0,0,0,0
X000858.SZ,0,-0.012576174750388,0,0,0,0,0,0.11769582983668,0,0,0,0.297527386291205,0,0,0,0,0,0,0,0,0,0,0,0.0409206185573847,0,0.218059170472498,0,0,0,0,0.021225425056981,0,0,0,0,0.0352902986042574,0,0,0,0,0,0,0,0,0,0.110695069337768,0,0,0,0,0,-0.0223313009939539,0,0,0,0,0,0,0
X000651.SZ,0,-0.0860939582993006,0,0.118522137045905,0,0,0,0,0,0,0,0,0.0923975353015981,0,0,-0.114249907034149,0,0,0,0.0895924112560524,0,0,0,0,0,0.035569226581607,0,0,0.05345470600982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375374697809685,0,0,0,0,0.00508190944880264,0.0016750915380744,-0.0252486756069427,0,0,0,0,0
X000725.SZ,0,0.00580767185973449,0,0,0,0,0,0,0.106492299167094,0,0,0,0,0,0.0893955249022887,0,-0.0638474385840294,0,0,0,0,0,0,0.149813499759521,0,0,0.274870257842044,0,0,0,0,0,0.153764573225212,0,0,0,0,0,0,0,0,0,0.31564924632512,0,0,0.0344614837297028,0,0,0,0,-0.0131969896716571,0,0.0127219217639809,0,0,0,0,0,0
X600276.SH,0.0393467606921299,0,0,0,0,0,0,0,0,0.0712454063357826,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242847976167184,0.0695523602157716,0,0,0,0,0,0,0,0,0,-0.0714582527117694,0,0,0,0,0,0,0.0043675058023962,0,0,0,0,0,0,0
X002304.SZ,0.0294526915541323,-0.0337785750109592,0,0.487624334613126,1.73472347597681e-18,0,0,0,0,0,0,0.088396016570793,0,0,-0.119893562798277,0,0,0,0,0,0.0226059176587912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693281664419329,0,0,0,0,0,0,0,-0.109879597468374,0,-0.0719631434164592,0,0,0,0,-0.0396964978053893,0.0395916425509989,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.175537955639023,0,0,0,0,0,0,0,-0.0116928741881138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155763509843981,0,0,0,0,0,0,0,0,0.0762690046182144,0,0.297958449151261,0,0,0,0,0,0,-0.0315804861126865,0.0476801247323043,0,0,0,0,0,0
X600703.SH,0,0,0.0482296081470673,0,0,0.0685079862529957,0.157045434146418,-0.122379365193151,0,0,0.150411936325695,0,0.00413864358182393,0,0,0,0,0,0,0,0,0,0,-0.121244062228613,0,0,0,0,0,0,0,0,0,0.286081524943076,0.0316564044752743,0,0,0,0,0,0,0,0,0,-0.160266972430138,0,0,0,0,0,0,0.0188406420175371,-0.0218704339080451,0,0,0,0,0,0
