,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X000338.SZ,X002236.SZ,X600031.SH,X300003.SZ,X002008.SZ,X600809.SH,X300124.SZ,X600867.SH,X002456.SZ,X601877.SH,X600271.SH,X600066.SH,X000625.SZ,X600487.SH,X000596.SZ,X002294.SZ,X000100.SZ,X600566.SH,X000981.SZ,X002241.SZ,X000661.SZ,X002508.SZ,X300142.SZ,X000050.SZ,X300136.SZ,X002180.SZ,X000157.SZ,X002179.SZ,X002038.SZ,X002007.SZ,X600522.SH,X000977.SZ,X000869.SZ,X600498.SH,X600177.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.361551272101165,0,0,0,0,0.00335511569362536,0,0.0333913520013499,0,0,0,0,0,0,0,0,0,0.0270179826195556,0,0,0,0,0,0,0.0239569417519978,0,0,0,0.0378341968639329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249735607376274,0.0527384529656244,0,0,0,-0.0085458588923208,-5.42101086242752e-20,0,0,0,0,0,0
X600104.SH,0,0,0,0.140710325623815,0,0,0.306471116197082,0,0,0,0,0,0.0658617445573043,0,0,0,0,0,0,0,0,0,0,0,0.0708659070485732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379701660421417,0,0,-0.0104445161969415,-0.0139207122839061,0,0,0,0,0,0,-0.0700390546391171,0,0.00300850775128833,-0.0330342820445608,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.13579129052568,0,0,0,0,0,0,0,0,0.17957560008052,0,0,0,0,0.000484849299462357,0,0,0,0,0,0,0.0977704630918575,0,0,0,0.208205767045183,0,0.0998783090939656,0,0.226121539931221,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.00450086078113044,0,-0.0069008499109949,-0.0203870125110391,0,0,0,0,0,0
X000858.SZ,0.209761760932069,0,0,0,0.214891454412815,0,0.0128335238628114,0,0.0902545485603565,0,0.265888466981956,0,0,0,0,0,0,0,0,0.0890972853101311,0,0,0,0,0,0,0,0,0,-0.0590876310628262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114431004519197,-0.0194239002997606,0,0,0,0,0,0
X000651.SZ,0,0,0,0.231604338468042,0,0,0,0,0.634351434786375,0,0,0.0605606581849852,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0468143523958947,0,0,0,0,0,0,0,0,0,0,0,0.158732599739588,0,-0.00816250446831188,0,0,0,-0.024728737281974,0,-0.0848085456869916,0,0,0,0,0,0.0234279370330571,0.0596136515021889,0,0,0,0,0,0
X600276.SH,0.129023086423168,0,0,0,0,0,0,0,0,0,0.112934104876677,0,0,0,0,0,0,0.315836580717207,0,0.0208088134651146,0,0,0,0,-0.0927350528353943,0,0,0,-0.0313069174168724,0.0974675017504276,0,0.0590134053630425,0,0,0.204256643636648,0,0,0,0,0,0,0,0,0,0,0,0.15211967549035,0,0,0,0,-0.0288341085994535,0.0219276910948345,0,0,0,0,0,0
X002304.SZ,0,0,0.171434542898665,0,0,0,0,0,0,0,0,0,0,0,0,0.019922941925894,0,0,0,0.154976775067536,0.040746530492089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200741614309117,-0.0279281193287241,0,0,0,0,0,0
X000725.SZ,0,0,0.000840621159524444,0,0.0724336767502752,0,0,0,0,0,0,0,0,0,0,0.039226453462705,0,0,0,0,0,0,0,0,0,0.126183860596891,0,0.110914142004364,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.0483806835866587,-0.0518724278465009,0,0,0,0,0.0526929166827664,0,0,0,0,0,0,-0.0103344691012853,0.00942785417171714,0,0,0,0,0,0
X600690.SH,0,0,0,0.363644742875118,0,0,0.0992774265741745,0,0,0,0,0,0.0223377984119071,0,0,0,0,0,0,0.0713139347048772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00821710920282823,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274220260455276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319726089624041,0,0,0,0,0,0.132611379051705,0.0750158675602481,0.081219949806366,0,0,0,0,0,0,0,0,0,0,0,0.0316560445852607,-0.0279013600542704,0,0,0,0,0,0
