,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X600066.SH,X600271.SH,X000568.SZ,X002292.SZ,X002236.SZ,X000100.SZ,X002241.SZ,X600118.SH,X600031.SH,X000559.SZ,X600372.SH,X600177.SH,X002074.SZ,X002456.SZ,X300003.SZ,X002506.SZ,X002475.SZ,X000338.SZ,X000157.SZ,X002180.SZ,X002007.SZ,X002426.SZ,X300124.SZ,X002085.SZ,X002508.SZ,X600522.SH,X002294.SZ,X600867.SH,X000050.SZ,X000869.SZ,X000981.SZ,X600498.SH,X600089.SH,X002249.SZ,X601877.SH,X002465.SZ,X600435.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.00899157344669631,0,0,0,0.321075914841292,0,0,0,0,0,0,0,0,0,0,0,0,0.0913847305415578,0,0,0,-0.10993818895502,0,0,0,0,0,0.0240639621961727,0.0297894245177052,0,0.14159741625062,0,0,0,0.11680696428876,0,0,0,0,0,0,0,0,0,0,0,0.0521370242566393,0,0,0,0,0,0,0
X600104.SH,0.00181714969318143,0,0,0.0687063289366792,0,0,0,0,0.179696520835806,0,0,0.0715779943535913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875841628055014,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444197605654419,0,0,0,0,0,0.0886494837713431,0,0.0863985798304599,0,0,0,0.0876538843869359,0,0,0,0.0746557114255895,0,0.0201450378254992,0,0,0,0,0,0,0.0549868105683965,0,0,0,0,0,0,0,0,0.014393567401679,0.00531730839443007,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.170528849635339,0,0,0,0.0810502410957689,0,0,0,0,0.0229946936495499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168787535260297,0.0183746234199539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554638830066272,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.716695966388684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0494467211519147,0.0846616160961149,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248431917706988,0,0,0,0,0,0,0,0,0,0.0405339120491839,0.0131649183775367,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0131264962755951,0.0198015379998708,0,0,0,0.138142105769367,0,0.0223102334916311,0,0,0,0,0,0,0,0.0472284554433236,0,0.0569330206578844,0.0439256604978165,0,0,0,0,0,-0.0581870732307153,0,0,0,-0.0346073936034588,0,0,0,0,-0.0243862184799066,0,-0.0192315333844719,0.130901057363374,0,0,0,0,0,0,0,0,0,0,0,0.0492643539297687,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0713676791013901,0,0,0,0,0.0433588481624427,0,0.295505349778369,0,0,0.0213061548718199,0.112093145226129,0,0,0,0,0,0,0,0.023640896848501,0,0,0,0,0,0,0.00422325308777964,0,0,0,0.120877232082978,0,0.00744015688897766,0,0,0,0,0.0726183652481929,0,0,0,0.0419105775970592,0,0,0,0,0,0
X000625.SZ,0,0.0648694260326207,0,0,0,0,0,0,0,0,0,0.268696340306249,0,0,0,-8.67361737988404e-19,0,0,0.0291264822714557,0,0,0,-0.100037192430285,0,0,-0.00841236032121275,0.0632208628830678,0.00848299035263817,0,0,0,0,0,0,0,0,0.089346498801904,0,0,0,0,0,0,0,0,0,0.12867589648574,0,0.0388313160114801,0,0,0.00344856796821193,0,0,0,0,0,0
X600690.SH,0,0,0.0951869660947414,0.0804701046713403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505994052254255,0,0,0,0,0,0,0,0,0,0.0142024609535891,0.0589396591241384,0,0,0,0.0890055278483079,0,0,0,0.104988243652677,0,0,0,0,0,0,0,0.0314280307592325,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0364429374431876,0,0,0,0,0.106676348508187,0,0,0,0,0,0,0.139906843987863,0,0,0.126871836460787,0,0,0.0217728358194595,0,0,0,0.0525192562349489,0,0,0,0,0,0,0.0675858254944365,0,0,0,0,0,0,0,0,0,0.0175366199836629,0,0,0,0,0,0.0789938719666754,0,0,0,0,0,0,0,0,0
