,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X300124.SZ,X600104.SH,X000063.SZ,X003816.SZ,X000725.SZ,X002371.SZ,X000625.SZ,X000596.SZ,X600031.SH,X300014.SZ,X002129.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X002049.SZ,X000100.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600741.SH,X002241.SZ,X601877.SH,X600584.SH,X000157.SZ,X000661.SZ,X600522.SH,X002180.SZ,X002074.SZ,X000733.SZ,X600702.SH,X300142.SZ,X600460.SH,X000800.SZ,X002463.SZ,X002007.SZ,X601799.SH,X002028.SZ,X000066.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.324675659496832,0.0386476414611195,0,0,0.0108931572792607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00915149830693123,0,0,-0.0277473863659667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135933008222577,0,0,0,-0.0488091234462022,0,0,0,0,0,0,-0.00348744007326802,0,0,0,0,0,0,0
X000858.SZ,0,0,0.58290927610013,0,0,0,0,0.0570222754107283,0.163444179550466,0.0304114364225918,0,0,0,0,0,0,0.00489489898905552,0,0.0129943343362929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193403528588674,0,0,0,0,0,0,0.0344987474826746,0,0,0,0,0,0,0,0.0323792759124602,0,0,0,1.0842021724855e-19,0,0,0,0,0,0
X000568.SZ,0.16336115015656,0.490637899919092,0,0,0,0,0,0,0,0,-0.0567632560966815,0,-0.0260423984066795,0,0,0,0,0.210215219860414,0,0,0,0,0,0,0,0,0,0,-0.0293343280780558,0.00528633510233115,0,0,0,0,0,0,0,0,0,0,0.174751656022628,0,0,0,0,0,-0.0179655415609842,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.280464562307433,0,0,0,0,0,0,0,0,0,0,0,-0.00411726506148779,0,0,0,0,0,0,0.137540481569714,0,0,0,0,0.3216325459861,-0.0217757025162782,0,0,0,0,0,0,-0.332214836892278,0.325707474727527,0,0,0.0273825545158176,0,0,0,-0.0935038648817867,0,0,0,0,0,0,0,-0.0427078120777724,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,-0.0103326795692136,0,0.174619020492879,0,0,0,-0.0261939674628722,0,0,0.0319992235392069,0,0,0.302844214229439,0,0,0,0,0,0,0,0,0,0,0.0289068011020804,0,0,0,0,0,-8.67361737988404e-19,0,-0.0588210124302875,0,0,0.166062225675576,0,0,0,0,0,0,0,0,0,0,0.115919333189311,0.078337792765774,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.158131524425726,0,0,0,-0.0184749157010331,0,0,0,0,0,0,-0.327997042679229,0,0,0,0,-0.0585654926361574,0,0,0,0,0,0,0.188883795286225,0.126717407063166,0,0,0,0,0,0,0,-0.0916149517753666,0,-0.0178598895191012,0,0,0,0,-0.0631455962220028,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0274608449626041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959771611224876,0,0,0.14393252545453,0,0,0.412529615769029,0,0.148800621075495,0,0,0,0,0,0,0,0,0,0,0,0,0.0694759709820689,0,0,0,0,-0.0120938323327707,-0.0199287380562645,0,0,0,0,0,0
X600690.SH,0,0.154031291292286,0,0,0,0.0243195046539849,0,0,0,0.107675364052244,0,0,0,0,0.11087354366869,0,0,0,0,0,0.0518629102832192,0,0,0,0,0.0237931495367257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0171219413725768,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0
X002304.SZ,0,0.120632338446342,0.349319380629911,0,0.0352823424519439,0,0,0.017007348664078,0,0,0,0,0,0,0.0431563284165667,0,0,0.0898492115838235,0,0,0,0,0,0,0,0,0,0,0.00675694832164792,0.00270862717426924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136501669407798,0,0,0,0,0,0,0
X000651.SZ,0,0.199424178275753,0,-0.0820069776125039,0,0,0,0.302996116205166,0,0,0,0,0,0,0,0,0.0738309987095459,0,0,0,0,0,0,0,0,0,0,0,-0.0109185726319171,-0.0231925388821755,0,-0.0601771613461085,0,-0.015317798353846,0,0,-0.0182992356384701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30216047902833e-05,0,0,0,0,0,0,0
