,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X002475.SZ,X600031.SH,X002241.SZ,X000338.SZ,X002456.SZ,X600066.SH,X601877.SH,X000100.SZ,X300124.SZ,X002008.SZ,X002508.SZ,X300136.SZ,X002085.SZ,X300003.SZ,X600089.SH,X600522.SH,X600177.SH,X600271.SH,X002294.SZ,X600487.SH,X000157.SZ,X600118.SH,X600699.SH,X600867.SH,X000981.SZ,X600566.SH,X600809.SH,X600372.SH,X002074.SZ,X000559.SZ,X000050.SZ,X002007.SZ,X000066.SZ,X300115.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,-8.67361737988404e-19,0,0.0732295737003885,0,0,0.0591277915075056,0,0,0,0,0.300573368907259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250880654807953,0.0153922179562465,0.0788599650218304,0,0,0,0,0,0,0,0,0,0,0,0.160232032235724,0,0,0,0,0,0,0,0,0,-0.00415216654496559,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.35447140943068,0,0,0,0,0,0.0972179863539712,0,0.242946065921676,0,0.0163411451807441,0,0,0,0,0,0,0,0,0,0,0,0,-0.242429101115257,0,0,0,0,0,0,0,-0.0546867987398809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167123657026458,-1.73472347597681e-18,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0920226974795425,0.118883076663371,0,0,0,0,0.0445314543733815,0.197611399402239,0,0.414445571327704,0,0,0,0,0,0,0,0,0,0,0.241609163630858,0,0,0,0,0,0,0,0,0,0,0,-0.178531487597797,0,0,0,0,0,0,-0.129596363403345,0,0,0,0,0,0,0,0.00315415558277687,0,0,0,0,0,0
X000651.SZ,0,0.0938086451768583,0,0,0.0935631372586898,0.0968784610424694,0,0,0,0,0,0,0.0492408292101276,0,0,0,0,0,0,0,0.248959956883433,0,0,0,0,0.0234665327680185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218130425009324,0,0,0.013274035679129,0,0,0,0,0,0,0,0.00250426156594934,-0.0162845387349537,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.731824065887919,0,0.0435006502710531,0,0,0,0,0,0,0.0235444788778647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130430126160141,0.00889292131805967,0,0,0,0.0462178054699,0,0,0,0,0,0.00894884847550111,4.33680868994202e-19,0,0,0,0,0,0
X000725.SZ,0,0,0.0561237468600235,0,0,0,0,0,0,0,0.081234428088102,0,0,0,0,0,0,0,0.091111106197259,0,0,0,0,0,0,0,0,0,0,0.231894817977471,0,0,0.59253287074897,0,0,0,0,0,0,0,0,0,0,0,0,0.0582891901344844,0,0,0,0,0,0.00678474070328803,0.0493253269745207,0,0,0,0,0,0
X600276.SH,0,0,0.173966816349003,0,0.0119897174865103,0,0,0.0611838656377341,0,0,0,0.0541172364980047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526038851611643,0,0,0,0,0,0,0,0,0,0,0,-0.0608151122299478,0,0,0,0,0,0,0,0,0.00897200325891159,0,0,0,0,0,0,0
X002304.SZ,0.0937215940890883,0.125771237404879,0,0,0.331810701848898,0,0,0,-0.0243110565302049,0.0318236570997753,0,0,0,0,0,0,0,0,0,0,0,0.0470600133929848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241923203885456,0,0,0,0,-0.0621457634847868,0,-0.115116349511955,0.0532312343615494,0,0.0136233547425697,-0.0588524227713899,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0371505992694588,0,0,0,0,0,0.236758827432338,0,0,0,0,0,0.041832728693522,0.0610492341255602,0,0.0702518639824203,0,0,0,0.0789520940583273,0.062248981725224,0,0,0.103390458178044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0364115543455153,0.0379187575434416,0,0,0,0,0,0
X600690.SH,0,0.171899868059226,0,0.344813720381812,0,0,0,0,0,0,0,0.181825115964658,0,0,0.0696844518396962,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0583547209246692,0,0,0,0,0,0,0.263273976848541,0,0,0,0,0,0,0,0,0,0,0,0,0.0121606569024154,-0.0427635347223913,0,0,0,0.0141080354917076,0,0,0,0,-0.0041503492206059,0,0
X600703.SH,0,0,0.0388964475854409,0,0,0.0542433698542028,0,0,0.0591362123489271,0.0344490050778347,0,0,0,0,0,0,0.02245400290753,0.274914858513497,0,0,0,0,0,0,0,0,0,0,0,0.00484772482929423,0,0,0,0,0.2191348567195,0,0,0,-0.0997113649426595,0,0,0,0,-0.025129823607277,0,0,0,0,0,0,0,0.0287538498772504,0,0,0,0,0,0,0
X600741.SH,0,0.622830812789462,0,0,0,0,0,0.0219344172515074,0.0405055208966353,0.0557778918431785,0,0,0,0,0.11537805948161,0,0,0,0,0,0,-0.0838671756969136,0,0,0,0,0,-0.00629292004866559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021012647697225,0,0,0,0,0,-0.120949062378285,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0,-1.73472347597681e-18,0.00901795573500306,0.730042689980127,0,0,0,0,-0.0647028195412087,0,0,0,0,-0.045829973678745,0.0788725053868603,0,0,0,0,0,0,0,0,0,0.0618153575643231,0.0201834095779905,0,0,0,0.0125294138299096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00524900956985543,0,0,0,0,0,0,0
X000625.SZ,0,0.140911564044215,0,0.0961197287535208,0,0,0,0,0,0,0,0.224303619542844,0,0,0,0,0.147725889478404,0,0.058723619835199,-0.213869642410142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206183167992963,0.152373492231082,0.0570400031689643,0,0,0,0,-0.0147194433460345,0,0,-0.00481366394165056,0,0,0,0,0,0,0
X002236.SZ,0,0,0.465587120362551,0,0,0,0,0,0,0,0,0,0,0,0,0.183763173333265,0,0,0,0,0,0,0,0,0.115622588790752,0.0018519652453275,0,0.0512806387263975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118992042343118,0,0,0,0,0.0633899640637452,0,0,0,0.032875787598598,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855709510690725,0,0,0.07001393835728,0,0,-0.0310645274581325,8.67361737988404e-19,0,0,0.27832731311338,0,0.284353495480372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689876557376129,0,0,0,0,0,0,0.012817538956543,-0.00722058794040692,0,0,0,0,0,0
