,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X000063.SZ,X002371.SZ,X600104.SH,X003816.SZ,X300124.SZ,X000568.SZ,X000725.SZ,X600031.SH,X000338.SZ,X000625.SZ,X002304.SZ,X002241.SZ,X000100.SZ,X600418.SH,X000596.SZ,X300014.SZ,X002463.SZ,X002179.SZ,X000977.SZ,X600183.SH,X600584.SH,X600066.SH,X000157.SZ,X002028.SZ,X600089.SH,X600703.SH,X600372.SH,X600741.SH,X002236.SZ,X002049.SZ,X601877.SH,X600522.SH,X000066.SZ,X002156.SZ,X000921.SZ,X600460.SH,X000988.SZ,X600839.SH,X002456.SZ,X002281.SZ,X600487.SH,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0719667873825714,0,0,0,0,0,0.0510703051785686,0.0388241243086873,0,0,0,0,0.235763203976001,0,0,0,0,0,0,0,0,0.136753745212709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0462816293584341,0,0,0,0,0.00459253753130218,0,0,0,0,0,0,0
X000858.SZ,0,0,0.104325466292806,0,0,0,0,0,0,0,0.0386037515706308,0,0,0.258508311318348,0,0,0,0,0,0,0,0,0.199668367236305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010668851795692,0,0,0,0,-0.0024489094309918,-4.33680868994202e-19,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.0729300324242335,0,0.0338954247199727,0,0.092788732431191,0,0,0,0,0,0,0.195118007419484,0,0,0,0.121148690881947,0,0,0,0,0,0.0661289733048143,0,0,0,0,0,0.0378505597138699,0,0,0,0,0,0,0,0,0,0.0532081316597407,0,0,0,0,0,-0.00867600210763484,0.0237340906832477,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,-0.0320913555950977,0,0.04276329596487,0.0232400145431734,0,-0.0110171467820571,0,0,0,0,0,0,0.0522489967589914,0.0608342463060328,0,0,0,0.203127486916112,0,0,0,0,0,0,0.163227017289513,0,0,0,0,0,0,0,0,0,0,0.0426014415539291,0,0,0,0,0,0,0,0,0,0,0.0165887413948431,-0.00669985373467644,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0767123403634356,0.144628183126815,0,0,0,0.0141714556787512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235715515652487,0,0,0,0,0,0,0,0,0,0,0,0.000728860052989074,0.039890071410953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.118948805332306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00864917075216297,0.0654818695073303,0,0,0,0,0.266897041427369,0,0.0125535316303583,0,0.0331048189416204,0,0,0,0,0,0,0,0,0,0,0.282917157864301,0,0,0.0628312595949593,0,-0.00949841872971973,0,0,0,-0.00147969583281824,2.16840434497101e-19,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.138608200393121,0,0,0.0369227737530936,0,0.0472709400015001,0,0,0,0,0,0,0,0,0,0,-0.112725434453561,0,0,0,0,0,0,0,0.29951116954579,0,0,0,0,0,0.0257689786356397,0,0,0,0,-0.0456131808591958,0,0,0,0.0552320216824456,0,0,0,0,0,0,0.0084950611630858,0.0123909428109761,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616717952588441,0,0,-0.0193708537733466,0,0,0,0,0,0.222376059958127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583738809112769,-0.00888542211618213,0,0,0,0,0,0,0,0,-0.00649216329270443,-0.00983591959552527,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0340346772427116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368921625549627,0.158006954660359,0.0949349900100574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191766847398897,0,-0.131429704837142,0,0.197695065740818,0,0.0436700229911791,0.0280272481491063,-0.0134009140761836,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,-0.077624417974439,0,0.154014276373302,0,0,0,0,0,0,-0.0445039534172182,0,0,0,0.169319170321711,0,0,0.185277004669861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132116213890108,0,0,0,0,-0.0269551194099774,0.0135207410679597,0,0,0,0,0,0,0,0,0,0,0
