,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600031.SH,X600276.SH,X600690.SH,X000338.SZ,X600372.SH,X000157.SZ,X002241.SZ,X600741.SH,X600089.SH,X600703.SH,X600066.SH,X600118.SH,X000100.SZ,X600271.SH,X000550.SZ,X601877.SH,X002236.SZ,X000581.SZ,X002475.SZ,X000623.SZ,X600177.SH,X300124.SZ,X600582.SH,X000568.SZ,X000800.SZ,X002294.SZ,X000400.SZ,X002129.SZ,X000559.SZ,X000869.SZ,X600839.SH,X002456.SZ,X002292.SZ,X600312.SH,X000977.SZ,X002007.SZ,X002465.SZ,X000050.SZ,X300003.SZ,X600435.SH,X002038.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.105979270814435,0,0,0,0.17248218903049,0,4.33680868994202e-19,0,0,0,0,0.242618126983572,0,0,0,0,0,0,0.131729067402703,0,0,0,0,0.0774294868020242,0,0,0,0,0.015403173481787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00991697421698502,0,0,0,0,0,0
X600519.SH,0,0,0.0404307050010956,0,0,0,0.222221124477795,0.122009599840951,0,0,0,0.172457571948174,0,0,0,0,0,0,0,0,0,0,0,0,0.0917055964429272,0,0,0,0,0,0,0,0.0774000136460631,0,0,0,0,0,0,-0.0277438561523638,0,0,-0.0384185387244309,0,0,0,0,0,0,0,0,0,0.00155512031039089,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.125367405964662,0,0,0,0,0,0,0,0,0,0,0,0.23587860612118,0,0,0,0,0,0.181884283218446,0,0,0,0,0,0,0,0,0.0247232550465151,0,0.0239867062058268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329189543360857,-0.0248689936648169,0,0,0,0,0,0
X002415.SZ,0,0,0.157928740979555,0,0,0.00752707242889952,0,0.0281714835838542,0,0,0,0,0,0,-0.0161140273696081,0,0,0,0,0,0,0,0,0.0805991421375541,0,0.356383851522816,0,0,-0.036304511137075,-0.00402048327762748,0,0,0,0,0,0.275095969342593,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177481166368739,0,0,-0.0194146045201204,-0.0175087796590582,0,0,0,0,0,0
X000725.SZ,0,0,0.0570075379839004,0,0,0,0,0,0,0,0,0,0,0,0.220264513553194,0,0,0,0,0,0,0,0.031171291297303,0,0,0,0,0,0,0.293842275352326,0,0,0.02942633747067,0,0,0,0,0,0,0,0,0,0,0,0,0.0912581922466706,0,0,0,0,0,0,-0.00427687984366397,0,0,0,0,0,0
X000625.SZ,0.411821597613622,0,0,0.00542092990347849,0,0,0,0.0556158621759393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599259427658407,0,0,0,0,0,0.104740781030268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0326349677288628,0,0,0,0,0,0,0
X000858.SZ,0,0.124949242305848,0.111719456384938,0,0,0,0,0,0.0816930403224562,0,0,0,0.218649991682304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139912075752375,0,0,0.0216308373591366,0,0,0,0,0,0.0760500099555395,0,0,0,0,0,0,0,0,0,0,0,0,-0.0062525399384972,-0.0189065336645215,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.337429382592823,0,0,0.00831212255442973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832739845040706,0,0,0,0,0,0,0,0,0,0,0,0.0139181867714031,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00155301803667129,0,0,0,0,0,0
X000063.SZ,0.000288010046115234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174859545402182,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.213058373050889,0,0,0,0,0,0,0,0.0627137302645307,0,0,0,0,0,0,0,0,0,0,0.00305216159071904,0,0,0,0,0,0,0,0,0,0
X600031.SH,0.0694507977365033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917166686237312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230901258717193,-0.00510921794874962,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.167840204444756,0,0.0249314788669875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142241815061329,0,0,0,0,0,0,0,0,0.10278879905529,0.0380011804125343,0,0,0.115957715130152,0,0,0.046834292558928,0,0,0,0,0,0,0,0.0246120039574171,0.108423115846607,0,0,0,0,0
X600690.SH,6.93889390390723e-18,0.0541531803383876,0.0334532898490156,0,0,0,0.311122225078559,0,0,0,0,0,0.133552763015631,0,0,0,0.119945604658171,0,0,0,0,0.103426505387037,0,0.000390444695205171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30143399220418e-06,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.109639663719936,0,0,0.184922645222995,0,-0.0233448245478912,0.56676321335631,0,0,0,0,0,0,0,0,0,0,0.0488306006853331,0.0164537271761401,0,0.10192047107726,0,0,0,0,0,0,0,0,0.0406621098651108,0,0,0.0253735588937863,0,0,0,0,0,0,0,0,0,0,0,0.00545899814064477,0,0,0,0,0,0
X600372.SH,0,0,0.0836176686541693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317552087041115,0,0.133830061991092,0,0,0,0,0,0,0,0.0275660650663499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160550771744395,0,0,0.199744922750903,0,0,-0.0620127007568861,0.0149765480508708,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0.36276194548243,0,0,0.261747334873084,0,0,0,0,0,0,0,0.00961370489974827,0,0,0,0,0,0,0,0,0.0225238985827328,0,0.164852226896646,0,0,0,0,0,0,0,0.0586107609090231,0.0382011805805293,0,0,0,0,0,0,0,0,0,0,-0.0508628002704093,-0.0303310634961571,0.0341596575213321,0,0,0,0,0
X002241.SZ,0,0,0.0710473261851697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809357231738802,0,0,0,0,0,0,-0.00140182905070914,0,0,0,0.320943986006427,0,0,0,0.0984199187188472,0,0,0,0,0,-0.0309405789115236,-0.0110522289253973,0,0,0,0,0,0
X600741.SH,0.107668508662346,0,0.147071571483923,0,0,0,0,0,0.0951428069354504,0,0,0,0,0,0.130526632645889,0,0,0.0647549601602627,0,0,0,0,-0.0600680822913647,0.21223546218091,0,0,0,0,0.0419371899202397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00680123026491338,0,0,0,0,0,0,0,-0.00171584919879317,0,0,0,0,0,0,0
X600089.SH,0,0,0.0328159088848427,0,0,0,0,0,0,0,0,0,0,0,0.141585347390081,0,0,0,0,0,0,0,0.000352825637601371,0,0,0.0210463169703454,0.0113595359876871,0,0,0,0.0706332742137308,0,0,0,0,0,0,0,0,0,0,0.00374658772437082,0.0464561431379724,0,0,0,0,0,0,0,0,0,-0.0277786310273814,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0.0648136755619093,0.0920890417788411,0,0,0,0,0,0,0,0,0,0,0.242276405745868,0,0,0,0,0,0,0.13889114122403,0,0,0,0,0,0,0.125231726261253,0,0,0,0,0,0,0.0025019765662224,0,0,0,0,0,0,-0.0156443751376104,0,0,0,0,0,0,0
X600066.SH,0.347957873448926,0,0.0317637863334891,0,0,0,0,0,0,0.0472109376119841,0,0,0.00978474273171724,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.106523216895829,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00257962369441024,0,0.0114601647521872,0.0574381647036336,0,0,0,0,0,-0.0177819910058649,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0782313647445955,0.40801532657945,0.29735896406283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284434169860096,0,0.146553885937362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149493307952291,0,0,0,-0.0124804127535971,0,0,0,0,0,0
X000100.SZ,0.110742631678805,0,0,0,0,0,0,0,0,0.086487002835292,0,0.10746749514732,0.00728798743026922,0,0,0,0,0,0,0,0,0,0.0102740558823315,0.0363366619787403,0,0,0,0,0.124772237164673,0,0,0,0,0,0,0,0,0,0.0485381252774872,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00842315069975672,0,0,0,0,0,0
