,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X000568.SZ,X002304.SZ,X000725.SZ,X600031.SH,X000661.SZ,X000063.SZ,X600809.SH,X003816.SZ,X600690.SH,X002241.SZ,X000596.SZ,X000338.SZ,X600703.SH,X002007.SZ,X000100.SZ,X300124.SZ,X300142.SZ,X300014.SZ,X002371.SZ,X600741.SH,X002049.SZ,X601877.SH,X002236.SZ,X300003.SZ,X000800.SZ,X000157.SZ,X002129.SZ,X002414.SZ,X600584.SH,X300136.SZ,X000625.SZ,X600183.SH,X002179.SZ,X000977.SZ,X000066.SZ,X601799.SH,X600118.SH,X002456.SZ,X002294.SZ,X002185.SZ,X000050.SZ,X002008.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0610349804420379,0,0,0,0,0,0.252145486967334,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0322257391256545,0.0372852965173662,0,0,0,0,0,0,0,0,0,0.0559167249538411,0,0,0,0,0,0,0,0.000551202210665434,0,0,0,0,0,0,0,0,0,0.0725920443892537,0,0,0,0,0,0,0.00210599644893762,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0537108166651308,0,0,0,0.175803822129551,0,0,0,0,0,0.359805637987099,0,0,8.67361737988404e-19,0.116975517329701,0,0,0,0,0,0,0,0.0203814951320994,0,0,0,0,0,0,0,0,0,0,0.0467658112901121,0,0,0,0,0,0,0,0,0,0.047526011589336,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.125560897288763,0,0,0,0.108657549772134,0,0,0,0,0,0.0144226821309922,0,0,0,0,0,0,0,0,0,0.0116014939442354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19090031817191,0,0,0,0,0,0,0.0112667485946302,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268351584401574,0,0,0.0113918735490755,0,0,0,0,0,0,0,0.00472901766400888,0,0,0,0,0,0.0310332727644141,0,0.136585796446113,0,0,0,0,0,0,0,0,0,0.124645240453207,0,0,0,0,0,0,-0.0191146432164492,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14172828547362,8.67361737988404e-19,0,0,0,0,0.00335471259658425,0,0,0.00478853037402075,0,0,0.0679383871275329,0,0.149491841258461,0,0,0,-2.71050543121376e-20,0,0,0.0264992628540852,0,0,0,0,0,0,0,0,0,0,0,0,0.102911384418531,0,0,-0.00539084220686723,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.104804860516107,0,0,0,0,0,0,0,0.143231501803208,0.00629941332507692,0,0,0,0,0.0737285517161455,0,0,0,0,0,5.42101086242752e-20,0,0.0325315939237175,0,0,0,0,0,0,0.00118385065261224,0,0,0,0,0,0,0,0.0830771837524775,0,0,0,4.33680868994202e-19,0,0,-0.0251237774787738,-0.00813380476899553,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226388650248175,0,0,0,0,-0.0202885199810664,0,0.102139530356684,0,0,0,0,0,0.0760224243258595,0,0,0,0,0,0,0.102199632566638,0,0,0,0,0,0,0,0.0630371724517899,0,0,0,0,-0.0463596802341103,0.0153166809549492,0,0,0,0,0,0
X000568.SZ,0,0.457397516137402,0,0,0,0,0,0,0.165590338748812,0,0,0,0,0.0905460598003341,0,0,0,0.0274180816342341,0,0,0,0,0,0.0394895688643478,0,0,0,0,0,0,0,0,0,0,0,0.0632109017460859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00657633698093799,0,0,0,0,0,0
X002304.SZ,0,0.141548347906192,0,0,0,0,0,0.457960107428818,0,0,0,0,0,0,0,0,0,0.00720270014188601,0,0,0,0,0,0.0300820915691832,0,0.014223385497358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320432675430039,0,0,0,0,0,0,0,0,0.0109970557912836,0.00110800130305206,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.155426629159707,0,0,0,0,0,0,0,0,0,0,0,0,0.533205672564742,0,-0.0386601411642973,0.0593756901115713,0.048030929805804,0,0,0,0.0352171628016205,0,0,0,0.0278290841570461,0,0,0,0,0.0388815653507532,0,0,0.0176536894477595,0,0,0,0,0,0,0,0,0,0,0.00675886371215015,0,0,0,0,0,0
