,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002236.SZ,X002475.SZ,X600031.SH,X300003.SZ,X000338.SZ,X601877.SH,X300124.SZ,X002008.SZ,X000625.SZ,X600867.SH,X002456.SZ,X600809.SH,X600271.SH,X600066.SH,X600487.SH,X000100.SZ,X002294.SZ,X000981.SZ,X600566.SH,X002241.SZ,X300142.SZ,X000596.SZ,X000661.SZ,X002508.SZ,X002180.SZ,X000157.SZ,X000050.SZ,X002049.SZ,X000977.SZ,X300136.SZ,X002179.SZ,X600522.SH,X002129.SZ,X002038.SZ,X600089.SH,X600498.SH,X600707.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,8.67361737988404e-19,0.321254930897806,0,0,0,0,0,0,0.0631918115913552,0,0.0223600024666008,0,0,0.00413568347890862,0,0,0,0,0,0,0,0,0,0,0,0.144142636814896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018875212328536,0.0348375404752858,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.26610877034784,0,0,0,0,0,0.0940867483116829,0,0,0,0,-0.0946415926932172,0,0.0418916312393154,0,0,0,0,0,0,0.0276583561818232,0,0,0,0,0,0,0.0215768675847012,-0.109863496885915,0,0,0,0.094941397550134,-0.118264556029614,0,0,0,0.128547943881105,0,-0.0304115425677086,-0.0309297037937199,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113149186984129,0,0,0,0,0,0,0,0,0,0,0.0255749727504596,0,0,0.373989379211296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113529217781182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.174378024825453,0,0,0,0.0778278756470845,0,0,0,0,0.0729025469373437,0.568487010847468,0,0,0.0218371274843813,0,0,0,0,0,0,0,0,-0.0308255655885386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233056263973453,0,0,0,0,0,0,0,0.0195138722595618,-0.00106058284718961,0,0,0,0,0,0
X000651.SZ,0,0,0,0.328022100204282,0,0,0,0,0,0.347639073177185,0,0,0,0,0,0,0,0.0237641236576765,0,0,0,0,0,0.0416788494443217,0,0,0,0,0,0,0,0,0,0,0,0,0.0829423172789089,0,0,0,0,-0.0313080502943767,0,0,0,0,0,0,0,0,0,-0.00621145543073968,0.0416135014005946,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0581448498017583,0,0.02947063234384,0,0.10666331715824,0,0,0,0,0,0.225125063905537,0,0,0,0,0,0,0,0.012459306258209,0,0,0.177691219026348,0,0,0,0,0,0,0,0.123865368425155,0,0,0,0,0.025631757370614,0,0,0,0,0,0.0853439491102674,0,0,0,0,-0.0636221660403609,0.00327109726742485,0,0,0,0,0,0
X002304.SZ,0,0,0.0469293015041502,0,0,0,0,0,0,0,0.187733044328395,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147938231836203,0,0,0,0,0,0,0,0,0,0,0,0.172194570006654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00590918034295595,-0.0393917082892241,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.237232825097647,0,0,0,0,0.0643279510095204,0,0,0.0483824626033564,0.148826397960373,0,0,0,0,0,0,0,0,0,0.0135772457425454,0.321198317996334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257176684739166,0,0,0,-0.0201766828480549,0.0556710936522141,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.121852546028454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356029122436131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178742717740508,0,0,0.177211535459702,0,0,0.0153165601084328,0.0317081089037132,0,0,0,0,0,0
X600690.SH,0,0,0,0.413010318966204,0,0,0.13056339226161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111808515378883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191258639801707,-0.0175138805817836,0,0,0,0,0,0
