,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600703.SH,X600741.SH,X300003.SZ,X601877.SH,X600271.SH,X002236.SZ,X002007.SZ,X300124.SZ,X002008.SZ,X600487.SH,X000100.SZ,X600498.SH,X000661.SZ,X002456.SZ,X600566.SH,X002179.SZ,X000625.SZ,X600867.SH,X300146.SZ,X000157.SZ,X600809.SH,X300142.SZ,X600177.SH,X000596.SZ,X002180.SZ,X600372.SH,X002294.SZ,X600089.SH,X600066.SH,X002506.SZ,X300136.SZ,X600522.SH,X002241.SZ,X000977.SZ,X000050.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.734677238006163,0.0951261734373139,0,0,0,-0.00956762933686398,0,0,0,0,0,0,0,0,-0.0408261879692585,0,0,0,0.0763704852158247,0,0,0,0,0,0,0,0,-0.0450703958074925,0,0,0,0,0.0889816232271288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00435674842416427,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0.00541861770088832,0,0,0.383394272574062,0.0985817497037882,0,0,0,0,0.244412940943603,0,0,0,0.0756529607035192,0,0,0,0,0,-0.0147324338997598,3.3881317890172e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00510448955625225,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0577083896311278,0,0,0,0,0,0,0,0,0,0.664314035368099,0,0,0.0819400624801505,0,0,0.0672028935936917,0,0,0,0,0.0233033323785945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015627458313341,0,0,0,0,0,0,0
X600276.SH,0,0,0.12739968592981,0,0,0,0,0,0,0.0346936229610277,0,0,0,0.100035123385628,0,0,0.41417896358077,0,0,0,0,0,0.0437934563297122,0,0,0,0,0.0152048996330946,0,0,0,0.0188717165252382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139106839433941,0,0,0,-0.0162062466991323,0.0125252865305545,0,0,0,0,0,0
X000651.SZ,0.34873889841598,0,0,0,0,0,0,0,0,0,0.0273555602633549,0,0,0.0399942878999499,0,0.0923787365754093,0.104164432279108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145032523318337,0,0,0.0423482704012893,0,0,0,0,0,0.0820082939371217,0,0,0,0,0,0,0,0,0,0,-0.00757283031264011,-0.0421281586966289,0,0,0,0,0.123421935159753,0
X000858.SZ,0.192585017826347,0.00672184390618889,0,0,0,0,0.144072116877856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365968493710422,0,0,0.113960290177102,0,0,0,0,0.0254183803495424,0,0,0,0,0,0,0,0,0.00714421810286593,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285081636931563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370651531501375,0.0395287686233312,0,0.367352556127033,0,0,0.314381461809373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294286734084146,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248149020840396,0,0,0,0.0742928628046552,0,0,0.0740564074666935,0,0,0,0,0,0,0,0.137227347617648,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235436198918212,-0.0575121427284675,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.0901812838777569,0.0772201144066822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153645052164187,0,0,0,0,0,0,0,0,0,0.0468567278750876,0,0,0,0,0,0,0,0,0,0,0.154168065747459,0,0,0,0,0.300426362018827,0,0,0,-0.0291452695431459,0,0,0,0,0,0,0
X000063.SZ,0,0,0.147093501936311,0,0,0,0,0,0,0,0.197425200860297,0,0,0,0,0,0,0,0,0,0,0,0,0.322527684815362,0,0.198567044093344,0,0.287733058540199,0,0,0,0,0,0,0,0,0,0,0.0255825779127582,0,0,0,-0.312050714674632,0,0,0,0,0,0,0,0,0.00775015071249663,-0.0638719727340279,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417393129474712,0,0,0,0,0.0772017801369771,0,0,0,0,0,0,0,0.0992557597334794,0.760727686419719,0,0,0,-0.0699678408206255,-0.040006519171946,0,0,0,0,0,0,0,0,0,0,0,0.0415043996099216,0,0,0,0,0.0924159606920214,0,0.0039612440873429,0.121014989667197,0,0,0,0,0,0
X600031.SH,0,0,0.0414279950376744,0.197153843876688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622580007038563,0.114662873205552,0,0,0,0,0,0,0,0.0834849604933184,0,0,0,0,0.0508118932862575,0,0.0779432633212896,0,0,0,0,0,0,0,0,0,0,0,-0.0259513568344333,0,0,0,0,0,0,0
X000338.SZ,0,0.113762541972988,0,0,0,0,0,0,0,0,0.0150806894363852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350808077468949,0.00968351241959348,0.00464383615587846,0,0,0,0,0.0687900036042077,0,0.0722411285520438,0,0,0,0,0,0,0,0,0,0.0314334552112501,0,0,0,0,0,0,-0.011524443177972,-0.0359162210188566,0,0,0,0,0,0
