,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600703.SH,X000568.SZ,X600066.SH,X002241.SZ,X002475.SZ,X600031.SH,X002236.SZ,X000100.SZ,X600271.SH,X002456.SZ,X002085.SZ,X000338.SZ,X600118.SH,X600177.SH,X002292.SZ,X002180.SZ,X000157.SZ,X000559.SZ,X600372.SH,X600867.SH,X002007.SZ,X300003.SZ,X300124.SZ,X002294.SZ,X002074.SZ,X002506.SZ,X002426.SZ,X600498.SH,X600522.SH,X600089.SH,X601877.SH,X002508.SZ,X002465.SZ,X000050.SZ,X000869.SZ,X600566.SH,X300115.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0916205083945708,0,0,0,0,0,0,0,0,0.0230105915831332,0,0,0.20985144089518,0,0.0800507658269654,0.0274956056064891,0,0,0,0,0,0.00999349995541849,0,0,0,0,0,0,0,0,0,0.0242748758388754,0,0,0,0,0,-0.030496737334462,0.0103996465870757,0.0592897361469463,0,0,0,0,0,0,0,0.074258285295925,0,0,0.0379269488676624,0,0,0,0,0,0,0
X600104.SH,0,0,-6.93889390390723e-18,0,0,0,0,0,0.193491574724355,0,0.0524861624418848,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.0210393683507567,0,0,0.318712037529779,0,0,0,0,0,0,-0.0298563804510171,0,0.0902495468427294,0,0,0,0,0.0662771475497869,0,0,0,0.13296060902186,0,0,0,0,0,0.122910179966198,0,0.0167159124464493,-0.0635465449193523,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143825298640541,0,0,0,0,0,0,0,0.0530029504205504,0,0.0611573327730776,0,0,0,0,0,0,0.125288563295526,0,0,0,0,0,0.00261215408206886,0,0,0,0,0.446139178755786,0,0,0.0553180325896778,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3881317890172e-21,0,-0.021216500433466,0,0.0124105136610292,0,0,0,0,0,0,0,0,0,0.045020307527274,0,0,0,0,0,0,0,0,0,0.0951135778844108,0,0.116633124948341,0,0,0.00165402540012849,0,0,0,-0.106287081298312,0.0933358959858093,-0.0908571782919973,0,0,0,0,0
X000858.SZ,0,0,0.0502230629695896,0,0,0,0,0,0,0,0.142966335835404,0,0,0.263406295903085,0,0,0,0,0,0,0,0,0,0.104527706877914,0,0,0,0,0,0,2.16840434497101e-19,0,0.103651955969313,0,0,0,0.116300518988493,0,0,0.0480962833472042,0,0,0,0,0,0,0.114945097419632,0.00433373037987529,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124072789236272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183714119931698,0.131708411024494,0,0,0,0,0,0.0551905150177134,0,0,-0.00446205384378985,0,0.114889129077368,0,0,0,-0.0205392899087687,-0.0175961470708248,-0.0498170006897413,0,0,0,0,0
X002304.SZ,0.200813580289972,0,0,-0.0191267500324869,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0448223445202592,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542488868547953,0,0.0486458324828611,0,0,0,0,0,0,0,0,0,0,0.145056587744556,0,0,0,0,0,0.119308484356335,0,0.038742607171407,0,0,0,0.0346495609604595,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149501732345281,0,0.0656243168970702,0,0.0211395717984373,0,0,0,0,0.0356210863401324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558104661685282,0,0,0,-0.0361610904039397,0,0,0,0,0.0542254025494203,0,0,-0.0717714367323732,-0.0278794672972481,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238308045530638,0,0,0,0,0,0,0,0.0186892477299374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143082967068632,0,0.0364281423021905,0,0,0,0,0,0,0,0.0867551285581176,0.0271542482566388,0,0.028272639657203,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0703419310258659,0,0,0,0,0,0,0,0,0.0259792024165991,0,0,0,0,0,0.00553091218155826,0.0638786681929131,0.0613953057271638,0,0,0,0,0,0.125465065330075,0,0,0,0,0.0217142612352115,0,0,0,0.107877159609683,0.18015496497549,0.0906479679843332,0,0.0458744503634566,0,0,0,0,0,0,0,0,0,0.00475138967486347,0,0,0,0,0,0
