,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X002371.SZ,X600104.SH,X003816.SZ,X000568.SZ,X000063.SZ,X000725.SZ,X300124.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000100.SZ,X300014.SZ,X002241.SZ,X000596.SZ,X002179.SZ,X600418.SH,X000977.SZ,X002463.SZ,X600584.SH,X600089.SH,X600703.SH,X000157.SZ,X600372.SH,X600183.SH,X002049.SZ,X002028.SZ,X600741.SH,X600066.SH,X002236.SZ,X600522.SH,X000066.SZ,X601877.SH,X600839.SH,X600460.SH,X002281.SZ,X600487.SH,X002156.SZ,X002180.SZ,X000921.SZ,X002456.SZ,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.171296037880196,0,0,0,0,0,0.0447212947267242,0,0,0,0,0,0,0,0,0,0.294020183553815,0,0,0.00468892605989331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314023241284937,0,0
X000858.SZ,0,0,0,0,0,0,0,0.251567684876895,0,0.0507234493710538,0,0.061257097674003,0,0,0,0,0.0275476485792531,0.186893618104264,0.0865648543087482,0,0,0,0,0,0,0,0,0,0,0,0.1531223131935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0.0269475679551493,0,0,0,0,0,0,0,0.149895452161581,0,0,0,0,0,0.0282233160996902,0.354074149701767,0,0,0,0.0280280210937965,0.0685745531867707,0,0,0,0,0,0.0791948921073309,0,0,0,0,0,0,-0.0107041541247668,0,0.0678784376800631,0,0,0,-0.0157346276257451,0,0,-1.0842021724855e-19,0,0,-0.0214604015607429,-0.0102955870437218,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.040132125954092,0,0,0,0,0.0165655776418609,0,0.0903458483698835,0,0.0309266605463134,0,0.220860209220077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131617795828295,0,0,0.0405546758833109,0,0,0,0,0,0,0,0,0,0,0,0,0.00768277503422746,0,0,0,-0.0589807935025182,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0235777449841532,0,0,0,0,0.0221275601992855,0,0,0,0,0,0,0,0.217190717898846,0.0110547707373925,0,0,0,0,0,0,0,0,0,0,0.0672321590313572,0,0,0,0,0,0,0.0187425124196457,0,0,0,0,0,0,0.153800302415056,0,0,0,0,0,0,0,0,0,-0.0296193396840542,0,0
X600690.SH,0,0,0.215001563815786,0,0,0,0,0.0582023193447774,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275801931035631,0,0,0,-0.0297490627640669,0,0.178523067483258,0,0,0,0,0,0,0,0,0.0119877286897375,0,0
X000651.SZ,0,0,0.13083452633757,0,0,0,0,0,0,0.0182737167841374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146495629058259,0,0,-0.00521176069039063,0,0.183727535787387,0,0,0,-0.0534465257317427,0,0,0,0,-0.0154124435519737,0,0
X600809.SH,0,0.0700996182731327,0,0,0,0,0,0,0,0,0,0.50697472810042,0,0,0,0,0,0,0,0,0.032837332302435,0,0.273349934422065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,-0.0227545038437151,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276205884698871,0,0,0,0,0,0.117980793487726,0,0,0,0,0.22854558116661,0,0,0,0,0,0,0.0418859823596804,0.0715363849562706,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.132783825143853,0,0,-0.0352279532720782,0,0,0,-0.012303831999223,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0449680244971308,0,0.0676028871935909,0,0.206618631295876,0,0,0,0,0,0,0,0.178144968165506,0,0,0,0,0,0,0,0,-0.361881437368559,0,0.656210978960466,0,0,0,0,0,0.0298567665282556,-0.0916204312609773,0,0,0,0,0,0,0.0762179912687774,0,0,0.0675797633285134,0,0,0,0.120233638177337,0,0
