,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X600690.SH,X002304.SZ,X002475.SZ,X300124.SZ,X300014.SZ,X000651.SZ,X600104.SH,X003816.SZ,X002371.SZ,X002049.SZ,X000725.SZ,X002129.SZ,X600031.SH,X000625.SZ,X000596.SZ,X002179.SZ,X000063.SZ,X600522.SH,X600089.SH,X002241.SZ,X000338.SZ,X600703.SH,X002180.SZ,X000661.SZ,X000733.SZ,X300142.SZ,X601877.SH,X002074.SZ,X000100.SZ,X600487.SH,X600741.SH,X000157.SZ,X300003.SZ,X600460.SH,X600884.SH,X600702.SH,X002414.SZ,X600563.SH,X600584.SH,X601799.SH,X600372.SH,X000799.SZ,X002236.SZ,X002025.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.216513077253613,0.358089534664414,0,0.0347757746841964,0,0.0485160813263469,0,0,0,0.0141086427690642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013547521027911,0,0,-0.0590179120318801,0,-0.143035204535559,0,0,0,0.00405739496746738,0,0.0197535948139136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284953770664752,0.0073493118680188,0,0,0,0,0,0
X000858.SZ,0,0,0.123825050026798,0,0.126403924395016,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0736386671978406,0,0,0,0,0,0.0273395742205943,0,0,0,0,0,0,0,0,0,0,0,0,0.0915038987035494,0,0,0,0,0,0,0,0.273273692302545,-0.0595666814982379,0,0,0,0,0,0,0,0,0,0.022444097085082,0,0,0,0,0,0
X600809.SH,0.0965461213767852,0.123503105020111,0,0,0.512837267369109,0,0,0,0,-0.0480715181033044,0,0,0,0,0,0,0,0,0,-0.00199452268256953,0.0328995130458987,0,0,0,0,0,0,0,0,0.0735060824781176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109187354388785,0,0,0,0,0,0,-0.00471439932880651,0,0,0,0,0,0
X002415.SZ,0,0.0627194641145444,0,0,0,0.0591254243812148,0,0,0,0,-0.136779031017343,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499506843854402,0,0,0,0,0,0,0,0.124074180214795,0.122725866737427,0,0,0,0,0,0,0,0,0,0,0,0.174176407337773,0,0,0.154283960692501,0.144735114729731,0,0.0292790799946939,0,-0.00814671356870316,0,0,0,0,0,0
X000568.SZ,0,0.165696849126014,0.451987123608202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029130667299932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141150663485721,0,0,0,0,0,0,0.0444340646835449,0,0,0,0.0205064667973279,0,0,0,0,0,0
X600276.SH,0,0.0321980818181694,0,0,0,0,0,0,0,-0.0798657654243793,-0.0266970880804078,0,0,0,0.00743360902368127,0.0525600924472603,0,0,0,-0.0680449151734648,0,0,0.226405868317756,-0.0162532660306427,0,0,0,0,0,0.0743613736674702,0,0,0,0,0,-0.0771629249993341,0,0,0.117432854233421,0,0,0,0,-0.100232010787377,0,0,0,0,0,0,0,0,-0.0289298796349526,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.379713168026565,0,0,0,0,0,0,0.207104473736197,0,0,0,0,0,0,0,0,0,0,0,0.0364398735422276,0.103099547252757,0.059745814386115,0,0,-0.0676070567996094,0,0,0,0,0,0,0,0,0,0,0,-0.0744744770151903,0,-0.0118391255583622,0,0,0,0,0,0,0,0,-0.0373949040049854,0,0,0,0,0,0,0
X002304.SZ,0,0,-6.93889390390723e-18,0,0.276964062643783,0,0,0,0.0598953268416063,0,0,0,0.138489999751396,0,0,0,0,0,0,0,0.0691941423129134,0,0,0,0,0,0,0,0,0,0,0,0,0.0521545434942151,0,-0.0155102384415238,0,0,0,0,0,0.168309864056186,-0.0693660867440272,0,0,0,0,0,0,0,0,0.0701748098834301,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.303707127393036,0.160640973372032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00473484647353635,0,0,0,0,0,0,0.0732196570686729,0,0,0,0,0,0.177266579992545,0,0,0,0.0124932154392335,0,0,0,0,0,0
X300124.SZ,0,0,-0.303624830329441,0,0,0,0,0,0.0650091128298707,0,0.0154573684907854,0,0,0,-0.0148341537800732,0,0,0,0,0.218542068917096,0,0,0,0,0,0.0614797113518529,0,0,0,0,0,0,0,0.0525916040226047,0,0,0,0,0,0,0,0,-0.113709635324775,0,0,0,0,0,0,0.0591277706325061,-0.0151457362141107,0,0,0,0,0,0,0,0
