,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X300124.SZ,X600104.SH,X000063.SZ,X000725.SZ,X003816.SZ,X000625.SZ,X002371.SZ,X600031.SH,X000596.SZ,X300014.SZ,X002129.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X002049.SZ,X000100.SZ,X002236.SZ,X000977.SZ,X600372.SH,X600741.SH,X002241.SZ,X600584.SH,X601877.SH,X000157.SZ,X000661.SZ,X600522.SH,X002180.SZ,X002074.SZ,X600702.SH,X000733.SZ,X002463.SZ,X000800.SZ,X300142.SZ,X600460.SH,X601799.SH,X000066.SZ,X002007.SZ,X002028.SZ,X000988.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.310047876690531,0.128585458326408,0,0.0392768646686875,0.038267364972232,0,0,0,0.024243335325754,0,0,-0.0454463167573218,-0.0535047073465008,0,0.0120343223946194,0,0,0,0.0456801662569305,0.000387277411113898,0,0,-0.0278805391349334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022730183457883,0,0,0,0,0,0,0,0,0,0,0.00992667722796992,0,0,0,0,0,0
X000858.SZ,0,0,0.547462943902443,0,0,0,0,0.0252209971556367,0.211504575747651,0,0,0,0,0.0222163357846256,0,0.01020482424862,0,0.00996773102439574,0,0,0,0,0,0,0,0.00734891588503506,0,0,0,0,0,0,-0.0349480242529672,0,0,0,0,0,0,0.0397595794846575,0,0,0,0,0,0,0.0285739230531885,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0.195712261770826,0.455411872122923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292116158891953,0,0.237926390528658,0,0,0,0,0,0,0,0,-0.0226222376811739,0.032998615998206,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.148237069993507,0,0,0,0,0,0,0,0,0,-0.0282269635526152,0,0,-0.00169251166094026,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.186466377971613,0,0,0,0,0,0,0,0,0,0,0,0,0.07653629928927,0,0.0612930975724015,0,0,-0.0258929303001282,0.0748366342832549,0,0.0301139468308377,0,0.208012906777847,-0.0724998257585642,0,0,0,0,0,0,0,-0.208474785228545,0.331190047155538,0,0.0236740196228283,0,0,0,0,0,0,0,0,0,0,0,0,-0.0977547267045773,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,-0.0465547324966619,0,0,0,0,0,-0.0968120843343443,0,0,0,0.0850563934244809,0,0,0.13177501450761,0,0,0,0.0213326209266719,0,0,0,0,0,0,0,0,0.157513291613152,0,0,0.0852589226541638,0,-0.137027195995016,0,0.097001963997423,0,0,0,0,0.161752938780914,0,0,0,0,0,0,0.0507397251592543,0.0374675636155843,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.171307913633969,0,0,0,0,0,0.0897926530987024,0,0,0,0,-0.0296753192470274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0953479042666293,0,0,0,0,0,0,0,0,0,-0.0502856750883545,-0.0123333805056549,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631332882548237,0,0,0,0,0,0,0,0,0,0.00649122610737303,0,0.104582401634793,0.0118655764143207,0,0,0.348547489389444,0.143883982060377,0,0,0,0,0,0,0.0178056219666203,0,0,0,0,0,0.0248898002872308,0,0,0,0,0,-0.0436620954944796,0,0,0,0,0,0,0
X600690.SH,0,0.0698719906828857,0,0,0,0,-0.00391101935190298,0,0,0.125886983866976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00762299628412025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333677634265312,0,0,0,0,0,0,0
X002304.SZ,0,0.131014699452061,0.347558306740609,0,0.0322208964285211,0,0,0,0,0,0,0,0,0.0475889359732275,0,0,0,0,0.0906926216333829,0,0,0,0,0,0,0,0,0.00570686441922898,0.00246396284562155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134813015398273,0,0,0,0,0,0,0
X000651.SZ,0,0.135552314109388,0,-0.0355967150099906,0,0,0,0.364729312494892,0,0,0,0,0,0,0,0.0897277099489569,0,0,0,0,0.0772102548060028,0,0,-0.0191731486173125,0,0,0,-0.0540107183345458,-0.0138466478532137,0,0,-0.00542527669630273,0,0,0,0,-0.0522882022687536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159012992284303,0,0,0,0,0,0,0
