,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X600276.SH,X002304.SZ,X000651.SZ,X600104.SH,X000725.SZ,X300014.SZ,X600031.SH,X002241.SZ,X002371.SZ,X300124.SZ,X003816.SZ,X000063.SZ,X002129.SZ,X000338.SZ,X002049.SZ,X600703.SH,X000596.SZ,X601877.SH,X000625.SZ,X002179.SZ,X600741.SH,X000100.SZ,X300142.SZ,X600460.SH,X600089.SH,X002180.SZ,X000661.SZ,X002074.SZ,X600702.SH,X000157.SZ,X000733.SZ,X002236.SZ,X600884.SH,X000799.SZ,X600522.SH,X600779.SH,X002414.SZ,X002008.SZ,X000977.SZ,X601799.SH,X600584.SH,X002007.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.610287734168996,0,0,0,0,0,0,0,0,0,0,0,0,0.0260079488392367,0.00314887918677809,0,0,0,0,0,0,0,0.0548156418551938,0,0,0,0,0,0,0,0,0,0,0,0.0638038140758528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146156370255913,0,0,0,0,0,0,0
X000858.SZ,0.209159489136702,0,0,0,0.0679734798813941,0,0,0,0.125001395111496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824912865884902,0.00142997636416921,0,0,0,0,0,0,0,0,0,0,0,0.0929798166268177,0,0,0,0,0.0958408025391738,-0.0389740629217769,0,0,0,0,0.10731941440743,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.087577988324553,0,0,0.280484587809725,0,0,0,0,0,0,0.0986825866028157,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,-0.0603687787987217,0,0,0.210526994414162,0.0354427230611438,0,-0.0629304747090651,0,0,0,0,0,0,0,0,0,-0.0229148158292717,0,0,0,0,-0.0241537544906763,0,0
X600809.SH,0,0.265247562098297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.262635506256335,0,0,0,0,0.0547688327957732,0,0,0,0,0.0642158392025528,0,-0.035725467195891,0,0,0.0438435269117779,0,0,0,0,0,0,0,0,0,0,-0.00189974563992156,0,0,0,0,0.0172253463133869,0,0
X000568.SZ,0.193958439019837,0,0,0,0,0,0,0,0,0.0790124062320188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267045026886506,-0.0194907667752645,0,-0.108597291462534,0,0,0,0,0,0,0.0937183722333852,0,0,0,0,0,0,0,-0.0234583773561825,0.335458687027846,-0.219648069465404,0,0,0,0,0,0,0,0,0.00312241043555934,0,0,0,0,0,0
X002475.SZ,0,0,0.0401982404254907,0,0,0,0,0,0,0,0,0,0,0,0.431209973223362,0.0374277663334414,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.046828070911267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067476926502404,0,0,0,0,0,0,0,0,0,-0.00671204576721956,0,0,0,0,0,0,0
X600690.SH,0,0.0753078666732243,0,0,0,0,0,0,0.170717426866523,0,0,0,0,0.349802023919166,0,0,0,0,0,0,0.0166395484158328,0,0,0.0420439779127,0,0,0,0,0,0,0,0,-1.32337623749717e-05,0,0,0,0.0899249436006379,0,0,0,0.0277971055860845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0.0594264586816203,0,0,0.159112865282592,0.17529634893396,0,0,0,0,0,-0.107141102711578,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148198232493064,0,0,0.110806039809648,-0.04963680596917,-0.0726050341270139,0,0.0698261878142804,-0.0559786717469617,0,0,0,0,0,0,0.0971784308145633,0,0,0,0,0,0,0,0.0302179502784691,0,-0.00673709533506998,-0.0125932765282989,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.14548079669946,0,0,0,0,0,-0.0361871510658006,0,0.0841475637908966,0.052108954949798,0,0,0,0,0,0.0350212127771173,0,0.161940859432223,0,0,0,0,0.076510596370179,0,0,0,0,0,0,0,0,0.0868243557685049,2.16840434497101e-19,0,0,-0.0829193529951137,0,0,0,0,0,0,0,0,0,0,0.0111261122004836,0,0,0,-0.00895804696092497,0,0
X000651.SZ,0,0,0,0,0.0873874542273844,0,0,0,0,0,0,0,-0.0197025887699566,0.189458237828919,0,0,0.167664597642198,0,0,0,0,0,0,0.0288553266087593,0,0,0,0,0,-0.0207646143157887,0,0,0,0,-0.0153170107918281,0,0,0,0,0,0,-0.0101666888022251,0,0,0,0,0,0,0,0,0,-0.00617446522250123,0,0,0,0,0.00703217322227738,0,0
