,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X600031.SH,X002236.SZ,X000338.SZ,X000625.SZ,X002008.SZ,X600487.SH,X601877.SH,X002241.SZ,X000100.SZ,X002456.SZ,X600066.SH,X600809.SH,X002508.SZ,X002294.SZ,X300124.SZ,X300003.SZ,X300136.SZ,X600522.SH,X600867.SH,X600271.SH,X600089.SH,X000596.SZ,X000981.SZ,X000157.SZ,X002085.SZ,X600177.SH,X600566.SH,X600498.SH,X600699.SH,X000661.SZ,X300142.SZ,X002179.SZ,X600118.SH,X002129.SZ,X600584.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.186783847734384,0,0.553121707853154,0,0,0.0927480924698021,0.0563358724096843,0,0,0,0,0,0,0,-0.0264285463044771,0,0,0,0,2.16840434497101e-19,-0.025504617055936,0,0,0,0,0.018180335543443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00838410875897657,0,0,0,0,0,0,0,0,-0.00494167240109989,0.00183785830977955,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0866445485213729,0,0,0.152083832784416,0.104625798681993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102011512733931,0,0,0,0,0,0,0,0,0,0,0.00989346491222896,0,0,0,0,0,0.0362949415357479,0,-0.0180294637682112,0.0384008522637519,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.115952968674574,0,0,0,0.058118557627068,0,0,0.259160837200996,0.218395336173609,0.0897176898105957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156006754115988,0,0,-0.0115762587665575,0,0,0,0,0,0,0
X000858.SZ,0.17919949586837,0,0,0,0.107587468841419,0,0,0.0341537581379981,0,0,0.29996557263485,0.0540792114198199,0,0,0,0,0,0,0.0441955298823453,0,0,0,0.0112848319622623,0,0,0.20377513387841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137551802266172,0,0,0,0,0,0
X000651.SZ,0,0,0,0.383557463384065,0,0.0880082492096836,0,0,0,0.0479995235497997,0,0,0,0,0,0,0,0,0,0,0,0,0.0204277432756544,0,0,0,0,0,0,0,0,0.00455000636408881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00296760002456448,0.0412780529030612,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.418368297222382,0.0268433542739734,0,0,0,0,0,0,0.037478433375961,0,0,0,0,0,0,0,0,0.0213641942706581,0,0.150251155336255,0,0.0362884023525862,0,0,0,0,0,0.196221779823371,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.0998165993896515,0,0,-0.0547102598062439,0.106637782190685,0,0,0,0,0,0
X600276.SH,0,0,0.171769641836694,0,0,0,0,0,0,0,0.225060753424509,0.145606880155417,0,0,0,-4.33680868994202e-19,0,0,0,0.0138114764973047,0,0,0,-0.168449312406947,0,0,0,0,0,0,0,0,0,0,0,0.027813565676085,0,0,0,0,0,0,0,0,0.0481764897607252,0,0,0,0,0,0,-0.0096830646249954,0.0302944698786595,0,0,0,0,0,0
X002304.SZ,0.208929077678741,0,0,0.273079481187033,0,0,0,0,0,0,0.0521463680022761,0.00430881732350554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595368669997416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101086394684144,0,0,0,0,0,0,-0.0108556270776213,0.0242702283039662,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.437159934995325,0,0,0,0,0,0.0887350467792903,0,0,0,0,0,0,0.0441289495032423,0,0,0,0,0,0,0,0,0,0,0,0,0.127276728258654,0,0.246434189616276,0,0,0,0,0,0,0,0.0424838743153549,0,0,0,0,0,0,0.269167233944218,0,0,-0.00799480525687326,-4.33680868994202e-19,0,0,0,0,0,0
X600690.SH,0,0.0853830699156873,0,0.151693177200541,0,0,0,0,0,0,0.0847928854603696,0,0.167547758915879,0,0,0,0,0,0.21952504626061,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.00660906660918212,0,0,0,0,0,0.0617704881216248,0,0,0,0,0,0,0,0,0,0.0726947166847981,0,0,0,0,0,-0.00704593534943108,0,0,0,0,0,0,0
