,X600519.SH,X002415.SZ,X600104.SH,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600703.SH,X600741.SH,X600271.SH,X601877.SH,X002236.SZ,X000100.SZ,X000661.SZ,X600776.SH,X002008.SZ,X600809.SH,X300003.SZ,X300124.SZ,X600487.SH,X000050.SZ,X000596.SZ,X002456.SZ,X000625.SZ,X600498.SH,X002007.SZ,X000977.SZ,X300142.SZ,X002371.SZ,X000157.SZ,X002241.SZ,X002179.SZ,X600522.SH,X600066.SH,X002180.SZ,X600177.SH,X300146.SZ,X600089.SH,X600566.SH,X600867.SH,X300136.SZ,X600372.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0539263461218912,0,0.0748281250103602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197519118447566,0,0,0,0,0,0.023540062852715,0,0,0,0,0,0,0.0619246919561141,0,0,0,0,0,0,0,0,0,0,0,0.0270364611077843,0,0,0,0.0430979652722625,0,0.0801647046691003,0,-0.00676619024659891,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0452549792343578,0,0,0,0.0821286059103052,0.0732678275935799,0,0.0733605880998769,0,0,0,0,0.317328089668314,0,0,0,0,0,0.0102561892782119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120723324883946,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278086017478103,0.0292912213652167,0,0,0,0,0,0
X600104.SH,0,0.0847536546391867,0,0,0,0,0,0,0,0.174124771038147,0,0,0,0,0,0.140153794028407,0,0,0.0584553360533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273613843133344,0,0,0,0,0,0,0,0,0,0,-0.0276728031448606,0,0
X000858.SZ,0,0.0515892831610883,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.32777711642158,0,0,0,0,0.0040641939680921,0,0,0.00719343653497766,0,0.1341461129374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419222549082119,0,0,0,-0.017378506339401,0,0,0,0,0,0,0
X000651.SZ,0,0.0140398041862311,0,0.223699463341071,0,0,0,0,0,0,0,0,0,0,0,0.0743868417320365,0,0,0.0687909237235364,0,0,0,0,0,0,0.0252222911056523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158398158176666,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249755759664839,0,0.130610653890942,0.461350911569753,0,0,0.0475174565704346,0.118113505009651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145988190462031,0,0.0198095428667268,0.0409626160190504,0,0,0,0,0,0
X002304.SZ,0,0,0.0953476130555036,0,0,0,0,0,0,0,0,0,0,0.127502485108909,0,0.0363657082535654,0,0,0,0,0,0,0,0,0.147292251147968,0.119289347183164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118389104774136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.069708108651374,0,0,0,0,0,0,0,0.0480019583899494,0.0912924084199394,0,0.00695877481180493,0,0,0.0701567943564937,0.0671866659256923,0,0.164910809941766,0,0.0899187505444127,0.0418978059672246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0231114711697527,0.00525792218247714,0,0,0,-0.115725074062886,0,0
X000063.SZ,0,0,0,0,0,0,0,0.0303897202759292,0,0,0,0,0,0.0461542731115127,0,0,0,0,0,0,0,0.0364844694102654,0,0,6.93889390390723e-18,0,0.0145151530904562,0,0,0,0.131078576401903,0.129325297984425,0,0.0598910102645647,0,0,0,0,0,0,0,0,0,0.0061290031445411,0,0,0.00209071684770844,0.270038350999067,0,0,0,-0.000156870380760936,0,0,0,0,0,0,0
X600690.SH,0,0,0.171060285089913,0.14737613851141,0.0696447095976763,0,0,0,0,0,0,0,0.143641533105528,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188821973293409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203603382459046,0,0,0,-0.0330326924079106,-0.00588747594418085,0,0,0,0,0,0
