,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600031.SH,X600809.SH,X002475.SZ,X000651.SZ,X002304.SZ,X600690.SH,X600104.SH,X000725.SZ,X300014.SZ,X000338.SZ,X000661.SZ,X300124.SZ,X000063.SZ,X003816.SZ,X000157.SZ,X000100.SZ,X000596.SZ,X600703.SH,X002241.SZ,X000625.SZ,X002371.SZ,X002007.SZ,X600741.SH,X002129.SZ,X002179.SZ,X300142.SZ,X601877.SH,X002049.SZ,X002236.SZ,X600584.SH,X002414.SZ,X300003.SZ,X000799.SZ,X601799.SH,X002008.SZ,X600183.SH,X000800.SZ,X002074.SZ,X600089.SH,X000066.SZ,X600779.SH,X000977.SZ,X002294.SZ,X000050.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.103680000689458,0,0,0.101301541551501,0,0.120270095436947,0,0,0.0348042393189314,0,0,0,0,0,0,0,0,0,0,0.0527226547412343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118754436387306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.359073335917655,0,0.112265056645718,0,0,0.0426096625817702,0,0,0,0,0,0.00381739931540337,0,0,0,0.00348052650076958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134720433014383,0,0,0,0,0.0139614540330378,0,0,0,0,0,0,0,0,-0.0129468617210029,-0.0093579340898316,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0404680038194762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251260470207692,0,0,0,0.0179788646431529,0.516224333138701,0,0,0,0,0,0,0,0,0.0386699835423189,0,0,0,0,0,0,0.0230547738043046,0,-0.0058334662082517,0,0,0,0,-0.0139296488025801,0,0
X600276.SH,0,0,0.196234856357368,0,0,0.0512452532401993,0,0.0100391952174656,0,0,0,0,0,0,0,0.0233955684819198,0,0,0,0.0422742517225917,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0189998742718829,0,0,0,0,-0.00321745670328734,0,0,0,0,0,0,0,0,0.0205724951373952,0,0,0,0,0,0,0,-0.00599896327960762,0,0,0,0,-0.0212578514224097,0,0
X000568.SZ,0,0,0,0,0,0,0.19320786405121,0,0,0.0384158290603254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0169061558705433,0,0,0,0,0,0,0,0,0,0,0,0,0.21405482630651,0,0,0,0,0.02301795538222,0,-0.0910016022374166,0.0895172686936505,0,0,0,0,0,0,-0.0253234561625897,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.0489167252067124,0.171053083498982,0,0,0,0,0,0,0,0,0.185759287353552,0.0414645682677002,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109352107852469,0,0,0.00688264501057946,0,0,0,0,0,-0.0264889806118411,0,0,0,0,0,0,0
X600809.SH,0,0.139125389049296,0,0,0,0.0862341619774701,0,0,0,0,0.109262232785838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034530404434614,0,0,0,0,0,0,0,0,-0.224539768707172,0,0.0809858003114469,0.0382506980704108,0,0,0,0,0,0,0,0.135563155050146,0,0,0,0,0,-0.021229745846227,-0.0274215277417451,0,0,0,0.018065662727453,0,0
X002475.SZ,0,0,0,0.174939264524166,0,0.0575841902073559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676922235791069,0.440437054425896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207647253504385,0,0,-0.147275447909656,0,0,0,0,0,0,0,-0.0190392178799804,0,0,0,0,0.00943483267550093,0,0
X000651.SZ,0,0,0,0,0.146512921349093,0,0,0,0,0,0.126791281997625,0,0,-0.0908344959572905,0,0,0,0,0,0.107238533863048,0,0,0,0,0,0,0,0,0.227512825629313,0,0.00129559643257964,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0493918795898988,0,0,-0.0468869765321309,0,0.0392600734520196,0,0.0190012951716586,-0.0309332459127664,0,0,0,-0.0130513922617939,0,0
X002304.SZ,0,0,0,0,0,0,0.280240023371529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143803564418719,0,0,-0.050619417098511,0.0488803996915018,0,0,0,0,0,0,0,0,-0.0416569390240605,0,0,0,0,0.0351521791349885,0,0
X600690.SH,0,0,0.094493868908428,0,0,0.173334170253033,0.23801110469522,0,0,0,0,0.0846272562975198,0,0,0,0,0,0,0,0,0,0,0,0,0.0520760901247336,0,0,0,0,0,-0.0240480749676087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230527164811081,0,0,0,0,0,-0.00233325567511941,0.0389618211625637,0,0,0,0,0,0
