,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X002475.SZ,X600741.SH,X000338.SZ,X600703.SH,X000568.SZ,X300003.SZ,X600271.SH,X601877.SH,X600487.SH,X002008.SZ,X300124.SZ,X002236.SZ,X600809.SH,X000661.SZ,X002456.SZ,X000100.SZ,X000596.SZ,X600867.SH,X002179.SZ,X000977.SZ,X002007.SZ,X600498.SH,X300142.SZ,X000625.SZ,X600066.SH,X600566.SH,X000157.SZ,X002294.SZ,X300136.SZ,X002241.SZ,X600372.SH,X300146.SZ,X600522.SH,X002180.SZ,X600089.SH,X600177.SH,X000869.SZ,X002506.SZ,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.221501975253593,0,0,0,0,0,0,0,0,0,0,0,0,0.0411585281488832,0,0,0,0.0780069661071658,0,0.0298127191446723,0.00295282245904065,0,0,0,8.67361737988404e-19,-8.67361737988404e-19,0,0,0,0,0.1463780784034,0,0,0,0,0,0,0.00562957248735014,0,0,0,0,0,0,0,0,0,0,0.000853804691768291,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.117538828902154,0,0.0224398509500267,0,0,0,0,0,0,0.354250694952555,0.204690886203743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505718666223464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105509675400282,0.00290449927686267,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.137867906716835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361160865136422,0,0.408649539787499,0,0,0,0,0,0,0,0.0797915846480626,0,0,0,0,0,0,0,0,0,0,-0.0749375369719709,-0.0522271700342824,0,0,0,0,0,0,0,0,0.00156753274345138,0.0218155453057598,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.248890743577918,0,0.0669543677909825,0,0,0,0,0,0,0.239071214049831,0,0,0,0,-1.73472347597681e-18,0,0.0150454730177705,0,0,0,0,0.029916287621498,0,0,0,0,0,0.0722825385855471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00910795648742643,0.00569318365926873,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120907723733199,0,0,0,0,0,0.128636867902707,0,0.372689331236287,0,0,0.140735149941958,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0419778818581983,0,0,0,0,0,0,0,0,0,0,0,0,0.0120538479228184,0.00451074335472258,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493972712607195,0,0,0,0,0.433396645422371,0,0,0.00310043828417895,0,0,0,0,0.0492212529560656,0,0,0,0,0,0,0,0,0,0,0,0,0.039542691723855,0,0.00251194953627056,0,0,0,0,0,0,0,0.013933807244058,0.0354950464914244,0,0,0,0,0,0
X002304.SZ,0,0,0,0.480172526844399,0,0,0,0,0,0,0,0,0,0,0,0.487699170333728,0.0702882545334148,0,0,0,0,0,0,0.0806117753764995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252311855577313,0,0,-0.00642972197735062,0,0,0,0,-0.0479074885149771,0.064275782615372,0,0.000712053446801606,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248100280869595,0.087141603005208,0,0,0,0.0821277497143535,0,0,0.029417470468635,0,0,0,0,0,0.125839680960779,0,0.0777906177692262,0,0.313790856808914,0,0,0,0,0,0.0917261153600034,0,0.00677378986389269,1.35525271560688e-20,0,0,0,0,0,0
X600690.SH,0,0,-4.33680868994202e-19,0.216145857873322,0,0,0,0,0,0,0,0.0635830345652857,0,0,0,0,0,0,0,0,0,0,0.0245937027755092,0,0,0,0,0,0.18218432650709,0,0,0,0,0,0,0,0,0,0,0,0,0.1335274206876,0,0,0,0,0,0,0,0,0,0.0210110243591379,0.0137872777016998,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.106040850541961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182409497816646,0,-0.0929210843393227,0,0,0.250023403697162,0,0,0,0,0,0,0.0626306911829431,-0.0189144636187936,0,0,0,0,0,0
