,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X000625.SZ,X600104.SH,X002371.SZ,X000725.SZ,X300124.SZ,X000338.SZ,X002304.SZ,X000596.SZ,X000063.SZ,X600031.SH,X000100.SZ,X000157.SZ,X300014.SZ,X600089.SH,X002179.SZ,X002236.SZ,X002463.SZ,X600703.SH,X600741.SH,X000977.SZ,X600372.SH,X600066.SH,X002241.SZ,X002028.SZ,X002049.SZ,X000921.SZ,X000661.SZ,X600584.SH,X600522.SH,X002129.SZ,X601877.SH,X000800.SZ,X601799.SH,X600566.SH,X600183.SH,X002223.SZ,X600060.SH,X002007.SZ,X600418.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0494137272897169,0.114079166672216,0,0.0113763957815788,0.14344758176241,0,0,0,0,0.0119915516630554,0,0,0,0,0,0,0.0565716060630615,0,0,0,0,0.0463571802053888,0,0,0,0,0,0,-0.0546421922686612,0,0,0,0,0,0,0,0.0634349826045405,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00297851600833116,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.369026972484487,0,0,0,0,0,0,0,0,0,0,0,0.0221504931402163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825797019275293,0,0,0.0479907782488642,0,0,0,0,0,0,0.0641083531852333,0,0,0,0,0,0,-0.0527934080266363,0,0,0,0,0,0,0
X600809.SH,0.286051651716719,0,0,0,0,0.0921069881580715,0,0,0,0,0,0,0,0,0,0,0.180168436534889,0.122697507043319,0,0,0,-0.000936378256313056,0.101887923830908,0,0,0,-0.000512122500482927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312332862548916,-0.00932734012893494,0,0,-0.035423202900115,0,0.0464052192007743,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0295496755022262,0,0,0,0,0.0801340159221053,0,0,0,0,0,0,0,0,0,0,0,0,-0.0755792130599713,0.0779231716460367,0.107634807571495,0,0,0,0,0,-0.0214375150161938,0,0,0.0313713243147887,0,0,0.0326702097853774,0,0,0,0.101031428583381,0,0,0.0192569948210764,0,0,0,0.037669268990082,0,0,-0.0201925656353326,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0461216554687686,0,0,0,0,0,0,0,0,0,0.0199665779916444,0,0.0444685339028314,0,0,0,0,0,0,0,0.120145251113814,0,0.0460540318219332,0,0,0,0,0.185377079304356,0,0,0,0,0.0672370035122823,0,0,0,0,0,0.0186755292534669,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.96736365686052,0.0540112425473449,0,0,0,0,0,0,-0.012935734465552,0,0,0,0,0,0,0,0,0,0,0.0224230936122246,0,0,0.0215151211465186,0,0,-0.124840624037236,0,0,0,0,0,0,0,0,0,0,0,0,0.126725779126401,0,0,0,0,0,0,0,0,0,0,0,0.016267100789578,0.0165784077378966,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.0665835742388612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389583138734044,0.0607026703535882,0,-0.0978319341569315,0,0,0,0,0,0,0,0,0.166137278855758,0,0,0,0,0,0,0,0,0.0187462258053756,0,0,0,0.00810194438454846,0,0,-0.00850615582542137,0,-0.0190594874418957,0,0,0,0,0
X000651.SZ,0,0,0,0,-0.075878664621895,0,0.0627652789815493,0,0.00542388495458291,0,-0.027537143409085,0,0,0,0.244384937662427,0.0759809429919871,0,0,0,0,0.115900195461338,0,0,0.0945092017172486,0,0,0,0,0,0,-0.0835778766996802,0,0,0,0,0.145563488270095,0,0,0,0,0,0,0,0,0.0214706946239852,0,0,0,-0.0922082218060246,0,0,0,0.020998236088886,0,0,0,0,0,0
X003816.SZ,0,0,-0.0671494662724912,0,0,-0.213638739418309,0,0,0,0,0,0,0,0,0,0,0,0,0.153172379513136,0,0,0.0595518334584716,0.0507520183205197,0.0561887794487535,0,-0.0742344570862329,0,0,0,0,0,0,0,0,0,0.0649849647769863,-0.0405842646613341,0,0,0,0,0,0,0.361441603362663,0,0,0.107956115824567,0,0,0,0,-0.0161548813333388,-0.0932679028249461,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.00730421431108629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014485352956036,0,0,0.376864618865935,0,0,0,0,-0.0819878430309888,0,-0.0712862251391696,0.297890052680543,0,0,0,0,0.0220284745221289,0,0,0,0,0.146139184334076,0,0.207029042241296,0,0,0,0.00672310449143726,0,0,-0.00871834377830713,0,-0.183151968190396,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769924692452859,0,0,0,0,0,0,0,0.157880132033148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373321561059835,0.0870716002852802,0.0228997613453459,0,0,0,0.440419516921393,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0179143074687346,0,0.0612718591530698,0,0.115594101759952,0,0,0,0,0,0,0,0,0,0.016529439908728,0,0.0358842806541177,0,0,0,0,0,0,0,0,0,0.0207305039449123,0,0,0.0357977642224884,0,0,0,0,0,0,0,0,0,0,0.0239342320200522,0,0,-0.0126361221493698,0,0,0,0,0,0,0
