,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600271.SH,X600066.SH,X600741.SH,X002241.SZ,X000100.SZ,X002292.SZ,X002236.SZ,X600031.SH,X600177.SH,X600118.SH,X002506.SZ,X002475.SZ,X000559.SZ,X000568.SZ,X600372.SH,X002085.SZ,X000157.SZ,X000338.SZ,X300003.SZ,X300124.SZ,X002074.SZ,X600867.SH,X002294.SZ,X600089.SH,X002007.SZ,X000050.SZ,X002456.SZ,X000869.SZ,X002426.SZ,X002180.SZ,X600498.SH,X002508.SZ,X002465.SZ,X601877.SH,X600699.SH,X002008.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.235715421256601,0.218604463528434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00507738492268881,0,-0.0222675377640178,0,0,0,-0.0373458656037902,0,0,0,-0.0862834312809993,0,0.109851900015209,0,0,0,0,-0.0352130959876496,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404430428133141,0,0.02418417034776,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.112309134832969,0,0.112079666083658,0,0,0,0.285986580635996,0,0,0,0,0,0.0437551521863294,0,-0.0606232379808774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00989521148604525,0,0,0,0,0,0,0,0,0.00422898909935597,0,0,0,-0.0110052062612533,-0.041725619408237,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0997098250695288,0,0,0,0,0.0630457683508452,0,0.0336082019086641,0,0,0,0,0.00761146393045512,0,0,0,0,0,0,0,0.0722369018512646,0,0.0417116849919924,0,0,0,0,0.0354684085662652,0.154022758542174,0,-0.129508196694475,0,0.0833444950760552,0.0758110783161526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967487710640965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109794048152665,0,0,0,0,0,0,0,0,0,0,0.0203773257905442,-0.0209456166263118,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.13474634555082,0,0,0,0.0105262945931479,0,0,0.0164956429568023,0,0,0,0,0.0808246021924025,0,0,0,0,-8.67361737988404e-19,0,0.0226532225115449,0,0,0,0,0,0,0,0,0,0,0,0,0.104424022021284,0.0207947782522107,0.0826130519337771,0,0,0,0,0,0,0,0,0,0,0.00972744485283047,0,0,0,0,0,0,0
X002304.SZ,0.109170406320633,0,0,0,0.518071278551511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395118487980749,0,0.0540213632789283,0,0,0,0,0,0,0,0,0,0,0.0240402905927918,0,0,0,0,0,0,0.0608525972956661,0,0,0,0,0,0,0,0,0,0,-0.0409518611587426,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387905207084161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159888133202945,0,0,0,0,0,0.0271583852597294,0,0.041142917481779,0,0,0,0.0657899961806368,0,0,0,0,0,0,-0.0153577968047739,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382701787494958,0,0.0866279659448353,0,0,0,0,0.124964829609021,0,0.132520088312447,0,0.0335005716995158,0,0,0,0,0,0,0,0,0,0,0.0135482455374433,0.0891622852358632,0,0,0,0.0050862499701603,0,0,0,0,0.0161059309714419,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.236567769908986,0,0,0,0,0,0.0623182497818256,0,0.00653859000154711,0,0,0,0,0.0901240704352574,0.0834131084707296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485353783362067,0,0,0,0,0,0,0.0290420330741999,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0217316519013408,0,0,0.118336871135456,0,0,0,0,0,0,0,0,0,0,0.0271557260684657,0.18373495108975,0,0,0,0.220479274851119,0,0,0,0,0,0,0,0,0,0,0,0.0101532057727077,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00558869653081877,0,0,0,0,0,0,0
