,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002236.SZ,X000568.SZ,X000100.SZ,X600271.SH,X600031.SH,X002241.SZ,X600118.SH,X600177.SH,X002292.SZ,X000338.SZ,X002007.SZ,X600372.SH,X002456.SZ,X000559.SZ,X002475.SZ,X600522.SH,X600867.SH,X000157.SZ,X300003.SZ,X002506.SZ,X002074.SZ,X002180.SZ,X002085.SZ,X002294.SZ,X002426.SZ,X300124.SZ,X600089.SH,X002508.SZ,X000869.SZ,X601877.SH,X000981.SZ,X600498.SH,X002465.SZ,X000050.SZ,X002179.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.141344939539166,0.0579342527606111,0.295396313979303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000267859286932103,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0551390555576341,0.043771911035532,0,0,0,0.0728831817069907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0.173024918636056,0,0,0,0,0,0,0.278110443096644,3.46944695195361e-18,0,0.111380580055577,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.00209593580346763,0,-0.0289048007484469,0,0,0,0,0,0,0,0,-0.0268731055386346,0,0.00283770236199539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346065388464321,0,0,0,0,0,0,0
X002415.SZ,0.0318272987195702,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00787352525191836,0,0,0,0,0,0,0,0,0.0958286535186249,0,0,0,0.0986989810317008,0,0,0,0,0,0.0355789443210185,0,0,0,0,0,0,0.0148330477024983,0.147055538381086,0,0,0.103013113047296,0,0,0,0,0,0.0276516111443345,0,0,0,0,0,0,0
X000858.SZ,0.0660271162379524,0,0.00532890598976966,0,0.307776752821737,0,0,0,0.244986597495159,0,0,0,0.0118435298029947,0,0.212905268895381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103956156291481,0,0,0,0.121415890922723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.707545409957291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771961566767252,0,0,0,0,0,0,0,0,0,0.039574040010123,0,0,0,0,0,0,0,0.0289445154588519,0,0,0,0,0,0,0,0.00692687094018706,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.009443589434802,0,0,0,0,0.158796907201131,0,0,0,0.10207691970569,0.0765269353952061,0.0248798223583669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041114235305245,0,0,0,0,0,0,0,0,0,-0.029614140802837,0,0,-0.0322643932939727,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0177560798194085,0,0,0,0,0,0.0280956450246936,0,0,0,0,0,0,0.0824379473068889,0,0,0,0,0,0,0.0635386307947426,0,0,0,0,0,0,0,0,0,-0.0422749556014341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184060748506172,0.0010338045570593,0,0,-0.0440042603753974,0,0,0,0,0,0,0
X000625.SZ,0.0227066290743308,0.199280847430939,0,0,0,0,0,0,0.00836133226193047,0,0,0,0.0983287355567054,0.0426408335689792,0,0,0.0322882237552957,0,0,0,0,0,0,0,0,0,0,0,0.0231144222360258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646905059706881,0,0,1.0842021724855e-19,-0.0595404143686887,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.12967360861381,0,0,0,0,0,0,0.0468923399978235,0,0,0,0,0,0,0,0,0,0,0,0,0.143431242406305,0,0,0,0,0.0552383687840701,0,0,0,0,0,0,0,0,0,0,0,0.00977203628977668,0,0,0,0,0,0.0907280136361484,0,0,0,-1.0842021724855e-19,0.070734040395418,0,0,0,0,0,0
X000063.SZ,0.0500613190180086,0,0,0.0546474116953281,0.00779650014756334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866127726103361,0,0,0,0,0,0.0398028604234469,0.129496322377456,0.00089317024673116,0,0.0459751861223358,0,0,0,0,0,0.0668211283823054,0,0,0,0,0,0,0,0,0.0848334432177629,0.0372897391464171,0,0.00967097234478428,0,0,0,0,0,0,0,0,0,0,0
