,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X002475.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600183.SH,X000596.SZ,X600703.SH,X002236.SZ,X000100.SZ,X601877.SH,X300003.SZ,X000157.SZ,X002463.SZ,X002007.SZ,X002241.SZ,X300142.SZ,X002179.SZ,X600271.SH,X300014.SZ,X000625.SZ,X300124.SZ,X600867.SH,X000066.SZ,X002008.SZ,X002049.SZ,X000977.SZ,X002129.SZ,X600498.SH,X600066.SH,X300136.SZ,X600177.SH,X002506.SZ,X002371.SZ,X000050.SZ,X300146.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.442371692316452,0,0,0,0,0,0,0,0,0.0724088730567488,0.0191507303445987,0,0,0,-0.087421623339298,0,0,0,0,0.0559552826476023,0.0788031486878584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219437479624797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00881358762715858,0,0,0,0.0191430022611875,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0295603967966636,0,0,0.00824146580699577,0.36930416934069,0,0,0,0,0.26699310463177,0,0,0,0,0,0,0,0,0,-0.0328772826058899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361235491091141,0,0,0,0,0,0.0572821028449274,0,0,0.00624324998249369,0,0,0.00146041934708144,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0809896146123229,0,0,0,0,0,0,0,0,0,-0.00178252899995866,0,0,0.0385080480944529,0,0,0,0,0,0.117706752703014,0,0,0,0,0.13325745636499,0,0,0,0.0470537552682753,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229118456947516,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0204680411097496,0,0,0.115655264574528,0.201061398957884,0,0,0,0.0170350299790155,0,0.0375308604944727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131721175686083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4653541303524e-05,-0.00773802954305369,0,0,0,2.16840434497101e-19,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.204969437384908,0,0,0,0,0,0,0,0,0,0,0.208984613786857,0,0,0,0,0,0,0.136628423082019,0,0,0,0,0,0,0,0,0,0.00753163000548145,0,0.0568982627915965,0.0335768147793943,0,0,0,0,0,0,0,0.0539479505376606,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033901635649995,0.260337055239884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051208744904134,0,0,0,0,0,0.0148722879411584,0,0,0,0,0,0,0,0,0,0,0,-0.00606042271840468,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108292594696584,0,0,0,0,0.123321147750816,0,0
X002304.SZ,0,0,0,0.132494470391396,0,0,0.0512376531049918,0,0,0.0524976945406669,0,0.241987072001337,0,0,0,0.0619761146990475,0,0,0,0,0,0,0,0,0,0,0,0,0.00680110591653458,0,0,0,0,0,0,0.0726031780229935,-0.0491646884036333,0.0412947181384088,0,0,-0.0195999100670861,0,0,0,0,0,0,0,0,0,0,-0.0276937544755058,0.0835100118961033,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.247636241308289,0,0,0,0,0,0,0,0,0,0,0,0.234139287536928,0,0,0,0.0613156351210927,0,0,0,0,0,0,0,0.138256480604792,0,0,0,0,0,0,0,0,0.0209990729189838,0,0,0,0,0,0,0,0,0,0.0130652961887708,0,0,0,0.00583388258382603,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,-0.0422504396620706,0,0.013376955852755,0,0.0365738447608478,0,0,0,0,0,0,0,0,0,0,0,0.0993164769165485,0,0,0,0,0,0.0331704817281112,0,0,0,0,0,0,-0.0212569206359891,0,0,0,0,0,0,0,0,0,0,0,0.379083166013979,0,0,0,-0.0197222425084982,0.0360196073509085,0,0,0,0,0,0
