,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600118.SH,X000559.SZ,X600271.SH,X000100.SZ,X600066.SH,X600372.SH,X002292.SZ,X000157.SZ,X002241.SZ,X600741.SH,X002475.SZ,X600089.SH,X002236.SZ,X000338.SZ,X300124.SZ,X002465.SZ,X300003.SZ,X002506.SZ,X600177.SH,X000568.SZ,X600839.SH,X002129.SZ,X002074.SZ,X002294.SZ,X600867.SH,X000977.SZ,X000547.SZ,X002276.SZ,X000869.SZ,X600498.SH,X002008.SZ,X000800.SZ,X300146.SZ,X600582.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162707902340397,0,0,0,0,0,0,0.370916551997645,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.0181276198118627,0.000749825459354563,0,0,0,0.00743858394612141,0.00883414256817615,0,0,0,0.208102845009916,0.0440795171048475,0,0,0,0,-0.00781667364505386,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111374323611742,0,0,0,0,0,0,0,0,0,0.235006376145564,0,0.0164697753637526,0,0,0,0,0,0,0,0,0.36244713700348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015130903624054,0,0,0.0253028763837321,0,0,0,0.325663775182322,0,0,0,0.217825909453861,0.016494623088122,0,0,0,0,0.00525406064496244,0,0,0,0,0,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113687904638138,0,0,0,0.0200573766413492,0,0,0.356331303923058,0,0,0,0,0,0,0.0643133943227117,0,0.0391171026890741,0,0,0,0.0442279516407165,0,0,0,0,0,0,0,0,0.114437197713273,0.0305751419429834,0,0,0,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0.280789826481767,0,0,0,0,0,0.104708262634711,0,0.0408303152073985,0,0,0.0960803125620985,0.0566396301008168,0,0,0,0,0.0694585077610736,0,0,0,0,0,0,0,0,0.0657410211867322,0,0,0,0,0,0,0,0,0,0,0,0,0.112379745864065,0,0,0,0,0,0,-0.00916832096746003,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0.204544711201568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142697588328089,0.194398475753809,0,0.118970112134054,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0765315183019008,0,0,0.0184334084774728,0,0,0,0,0,0,0,0.0468762241732373,0,0,0,0.0303829512422317,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302038104810759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324351790822274,0,0,0.0154039732925764,0,0,0,0.102835701916586,0,0,0,0,0.0528435008279638,0,0,0,0,0.0422679806475295,0,0,0,0,-0.0222962883141,0,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467129117013739,0,0,0,0,0,0,0.249993667745727,0,0,0.0583442621522662,0,0.247481179416438,0,0.00906504476221424,0,0,0,0,0,0,0,0,0,0,0,0.0445965342632189,0.0847451117821403,0.157299724658377,-0.161848553642283,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0.000936702061610867,0,0,0.137520997481027,0.087724762443764,0.013990533300576,0.100992362343249,0.0746641442103336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564456285101389,0,0,0,0.150463904768699,0.0308869797047499,0,0,0,0,0.0860735911349615,0,0,0,0,-0.0296716834246461,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11526491747243,0,0.101566900748307,0,0,0,0,0.335513341338005,0,0,0,0,0,0,0,0,0.295712389826973,0,0,0,0,0,0,0,0,0,0,0,0,0
