,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600276.SH,X600690.SH,X002304.SZ,X002475.SZ,X300014.SZ,X000651.SZ,X600104.SH,X300124.SZ,X002371.SZ,X000725.SZ,X003816.SZ,X002129.SZ,X002049.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X002179.SZ,X002241.SZ,X000338.SZ,X600089.SH,X600703.SH,X000661.SZ,X600522.SH,X002180.SZ,X000733.SZ,X300142.SZ,X000100.SZ,X601877.SH,X002074.SZ,X600741.SH,X000157.SZ,X300003.SZ,X600460.SH,X600884.SH,X600487.SH,X600702.SH,X601799.SH,X600584.SH,X000799.SZ,X002414.SZ,X002236.SZ,X600372.SH,X600563.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002180.SZ,0,0,0,-0.114775180278389,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.129948664070601,0,0,0,0,0,0,0,0,0,0,0,0.134556134401047,0,0.0351586433022136,0,0.102270619001086,0.0637596572086494,0,0,0,0,0,0,0,0.111333183662926,0.00517892678767867,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,-0.122539464045174,0,0,0,0,0,0,0.0917053933033782,0,0,0,0.0645641547814851,0,0,0,0,0.136249457453433,0,0,0,0.0252000335029132,0,0.0927924072746177,0,0,0.0231372940928125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00885243307488779,0,0,0,0,0,0,-0.0206495894630462,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0.237296030396206,0,0,0,0,0,0,-0.0189271220946693,-0.0466140674036379,0,0,0,0,0,0,0,0,0.0525039111795702,0,0,0,0,0,-0.216711783232671,0,0.0377341907321559,0,0,0,0,0,0,0,0,0,0,0,0,0.155192569990544,0,0.10996735265084,0,0,0,0.265048966393279,0,0,-0.0139580267381972,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0639830039893707,0.0175633424836232,0,0,0,0,0,0.220544346170662,0.0122345128075989,0,0.11996369110605,0,0,0,0,0.0325618759231745,0,0,-0.0276821190037575,0,0,0,0,0.0241615631933723,0,0,0,0,0.0993398598923868,0,0,0,0,0,0,0,0,0,0,0,0,0.0238192474665432,0,0,0,0,0,0
X601877.SH,0,0,0,0,0.291086923048159,0,0,0,0,0,-0.0891027088540028,0,0,0,0,0,0,0,0,0,-0.0670641979527812,0,0,0,0,0.193482133633628,0.0294339317868535,0,0.091998134609177,0,0,0,0,0,0.174269041497903,0.169399086779935,0,0,0,0,0,0,0,0,0,0.0375042387490319,0,0,0.117780801905105,0,0,0,0,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0.304777507291236,0,0,0,0,0,0,0,0,0,0.0461687503282141,0,0,0,0,0,0,0.0418281000140354,0,0,0,0,0,0,0,0,0,0,0,0,0.112310277355453,0,0,0,0,0,0,0,0,0.281846662321062,0,0,0.103561079592495,-0.101897185185573,0,0,0,0,0,0
X600741.SH,0,0,0,0,0.0214630961696232,0,0,0,0.0340356780230642,0,0,0,0,0,0,0,0,0,0,0.0281453456918331,0,0,0,0,0.0772714383349653,0,0,0,0.0456337318725699,0,-0.0336763124837856,0,0.025121486902171,0.122693739383713,0.0903267589524176,0,0,0,0,0,0,0,0,0,0,0.074321408184929,0,0,0,0,0,-0.0317103762465069,-0.0229848780520027,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0.051586461967982,0.00641056405123301,0,0,0,0,0,0,0,0,0.308160251285609,0.0655034209875948,0,0,0,0,0,0,0,0,0,-0.0511857217920542,0.0156221505100872,0.0774811362442475,0,0,0,0,0,0,0,0.0581067625706645,0,-0.0374375344318574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0.253736531642166,0,0,0,0.0594780701412506,0,0,0,0.0149386319539902,0,0,0,0,0,0,0,0,0,0,0,0,0.0184801647799,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10377535991745,0,0,0.0445872490473925,0.0586449371603424,0.0415834913120976,0,0,0.18122316849148,0,0,-0.0249264036328765,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168131895512435,0,0,0,0,0,0,0.0547473670788912,0,0,0.134922818146927,0,0,0,0.0565933604457871,0,0,0,0,0,0,0,0,0,0,0,0,0.082509277101998,0,0,0.214892126430525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
