,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X000661.SZ,X600741.SH,X600809.SH,X600703.SH,X000596.SZ,X002241.SZ,X000100.SZ,X002236.SZ,X300003.SZ,X601877.SH,X300124.SZ,X000625.SZ,X000157.SZ,X600183.SH,X300014.SZ,X002008.SZ,X000066.SZ,X002007.SZ,X300142.SZ,X600271.SH,X002371.SZ,X300136.SZ,X002179.SZ,X002456.SZ,X002463.SZ,X000977.SZ,X600177.SH,X000050.SZ,X002180.SZ,X600584.SH,X002129.SZ,X600487.SH,X600066.SH,X600498.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.302288009000008,0,0,0,0,0.0688193684926424,0,0,0,0,0,0,0.0722709868224794,0,0,0,0,0,0.215218467172027,0,0,0,0.0908284089508141,0,0,0,0,0,-0.0167124725748279,0,0,0,0.0897972533172283,0,0,0,0,0,-0.0489450103273683,0,0,-0.0835258701625547,0,0,0,0,0,0,0,0,-0.0438053922173818,-0.0263881207755432,0,0,0,-0.00724089087467191,0,0
X000858.SZ,0,0,0.0370839121755155,0,0,0,0.0382228231876291,0,0,0,0,0,0.0529797732347326,0.542853988776842,0,0,0,0.0252576582816267,0,0.0503422824916413,0.062326639034386,0,0,0,0,0,0,0,0,0.00187785201945513,0,0.00968101660405385,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-0.0105661504892078,4.33680868994202e-19,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0810624601052582,0,0,0,0,0,-0.120992562610699,0,0,0.156360489726203,0,0.0311060184791559,0,0,0,0,0,0,0,0,0.0707046872695718,0,0,0,0,0,0,0,0,0,0,0,0,0.0233659425217667,0,0,0,0.0765628402097517,0,0,0.000769724350167497,0,0,0,-0.0135454122670545,0,0
X600276.SH,0.171575296408944,0,0,0,0,0,0,0,0,0,0,0,0.0802132199484471,0,0,0.265116350730209,0,0,0,0.105456161352203,0,0,0,0,0,0,0.15288067386135,0,0,0,0,0,0.132023342931773,0,0,0,0,0,0,0,-0.0976125621221177,0,0,0,0,0,0,0,0,0,0,0.0151113021896284,-0.0134274681673362,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106194125774909,0,0.0516766204252991,0,0.211815310426573,0,0,0.0500430062830245,0.0197549364116506,0,0,0,0,0,0,0.0417898893525969,0,0.00689022463859217,0.130175170656066,0,0,0,0.00410293272862655,0,0,0,0,0,0,0,0,0,0,0.0451120526465215,-2.16840434497101e-19,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883716734137184,0,0,0,0,0,0,0,0,0,0,0.0820067728961512,0,0,0,0,0,0,0.118737420551647,0,0,0,0,0,0.00436124909082588,0,0,0,0,0,0,0,0,0,0,0.0436790320344341,0,0,0.00146455131719386,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322738573673641,0,0,0,0,0,0,0,0,0.0581295789599222,0.197891254903048,0.107071230715314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517438879466705,0,0,0,0.0645716282805756,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0.0750011168208814,0,0.111238368122779,0,0,0,0,0,0,0,-0.0106985546676702,0,0,0,0,0,0,0,0,-0.116549370381092,0,0,0,0,0.311152064208062,-0.0604148416361744,0.155405775071085,0,0,0.0357844662653538,0,0,0,0,0,0,0,0,0,0,0,0.000635192149750473,0.00478045587185299,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.0970366458617599,0,0,0,0,0,0,0,0,0,0,0,0.0888960890311163,-0.0172735554933099,0,0,0,0,0,0,0,0.0428445017692194,0,0,0.0150851352005423,0.22674525560897,-0.072048370934479,0,0,0,0,0,0.0170782057693854,0,0,0,0,0.0054465419744124,0,0,0,0,0,0,-0.0308277634084074,0.0169939714451458,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119530047516159,0,0,0.191401272719577,0,0,0,0,0,0,0,0.067721385549181,0,0.0608978593509012,0,0,0,0.0194447767047767,0,0,0,0.0328712831815518,0.0435118402738621,0,0,-4.33680868994202e-19,0.0460278950019768,0.0186338017717101,0,0,0,0,0,0,-0.0154922961312773,0,0,0,8.67361737988404e-19,0,0
