,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600690.SH,X600703.SH,X002236.SZ,X000625.SZ,X600741.SH,X600031.SH,X002475.SZ,X002241.SZ,X000338.SZ,X002456.SZ,X600066.SH,X000100.SZ,X601877.SH,X300124.SZ,X600809.SH,X300003.SZ,X002508.SZ,X600089.SH,X002008.SZ,X600177.SH,X000157.SZ,X002085.SZ,X600487.SH,X300136.SZ,X600271.SH,X002294.SZ,X600522.SH,X600118.SH,X000050.SZ,X600867.SH,X000981.SZ,X600372.SH,X600699.SH,X300115.SZ,X600566.SH,X000559.SZ,X002074.SZ,X000596.SZ,X002007.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0216610818062127,0,0.236172091162097,0,0.0568142087705817,0,0,0.209300902044808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423060626297097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0638241393005644,0,0,0,0,0,-0.00403867103158561,0,0,0,0,0,0
X600104.SH,0,0,0,0.00189951257616216,0,0,0,0,0,0,0.329886536020451,0,0,0,0.295648445152383,0,0,-0.0451330206322594,0,0,0.0174061811092138,0,0,0,0,0.19321121792401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0973669018853714,0,0.0604044736832123,0,0,0,0.0241733145809472,-0.0398547264803139,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.137517973223774,0,0,0,0,0,0,0,0.198083561945024,0,0.225867809328181,0,0,0,0,0,0,0,0,0,0,0,0.0975585019652442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0.112963500369799,0,0,0.156344713692489,0,0,0,0.0313309272937517,0,0.210077771265955,0,0.0118843797017751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287314770856224,0,0,0,0,0,0,0,0,0,0,0,-0.0267912411749816,0,0,0,0,0,0,0,0,0,0,0,0.152972755706463,-0.00421437554571005,-0.000174827842082987,0,0,0,0,0,0
X000858.SZ,0,0,0.101502337418174,0.125398521162775,0,0,0,0,0,0.37501003946699,0.0012634069550468,0,0.0779262631397309,0,0,0,0,0,0,0,0,0,0,0,0.0512378909926242,0.0333184220972524,0,0,-0.0210814019066751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.398082542280148,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404938410921648,0,0,0,0,0,0,0,0,-0.0784034455417568,0,0,0,0,0,0,0,0,0,0,0,0.0370232326877257,-0.0705091485612201,0,-0.0350750508677127,0,0,0,0,0.0834843511439019,0,0,0,-0.152770575041577,0.01613988140979,-0.00182987827172484,0,0,0,0,0,0
X002304.SZ,0,0.0801490140631172,0,0,0.370217423907695,0,0,0,0,0.0678220603218225,0,0.0697196141142414,0,0,0.0612429553878962,0,0,0,0,-0.0825734810519838,0,0,0,0,0,0,0,0,-0.0136631022147657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0.097305370257746,0,0,0,0,0,0.0537639674781107,0,0,0,0,0,0.0384207776915439,0,0,0,0.247128469664625,0,0,0,0,0,0,0,0,0,0,0,0,0.0933751377120252,0.219374020629676,0,0,0.010231047775568,0,0,0.0898640203025278,0,0,0,0.0738684394328458,-0.0354937968396928,0,0,0,0,0,0.0413143683324882,0,-0.00810538618992749,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0448771757257555,0.184541368857264,0,0.065064650840603,0,0,0.0166587452889322,0,0,0,0,0,0,0.0885500695662686,0,0,0,0.027393667118949,0,0,0,0.267042853466369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243465407171308,0.0578880911721623,0,0,0,0,0,0
X000568.SZ,0.319452964801961,0,0,0,0.41605587572258,0,0,0.0962290965461237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625637589627903,0,0,0,0,0,0,0,0,-0.00991604470183972,0,0,0,0.0951813241329341,0,0,0,0,0,-0.0349020424415088,0,0,0,0,0,0
