,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000625.SZ,X000725.SZ,X000596.SZ,X002371.SZ,X600031.SH,X000338.SZ,X000063.SZ,X300014.SZ,X002179.SZ,X002129.SZ,X000100.SZ,X600703.SH,X600089.SH,X002236.SZ,X600372.SH,X002049.SZ,X002241.SZ,X000661.SZ,X000157.SZ,X600741.SH,X600584.SH,X600522.SH,X601877.SH,X000977.SZ,X000800.SZ,X601799.SH,X002007.SZ,X600418.SH,X002074.SZ,X600183.SH,X002028.SZ,X002463.SZ,X600702.SH,X300142.SZ,X000066.SZ,X002180.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.232438715487412,0,0,0,0,0,0,0,0,0,0.0762556950050625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448267732034008,0,0,0,0,0,0,0.0843686757993038,0,0.0834315549168888,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.117409132319077,0,0,0.0575997973080951,0,0,0,0,0,0,0,0,0,0.160346029049359,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105428637683779,0,0,0,0,0,0,0,0,0,0.0573677144851919,0,0,0,0,0,0,0.0834011029105459,0,0.234009871712569,0,0,0,0,0,-0.00713312843497441,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,-0.0223025295824911,0,0,0,0,0,0,0,0,0,0,0.0590912915388319,0,0,0,0,0,0.0986610069861745,0,0,0,0.165046237286213,0,0,0,0,0,0,0,0,0,0.0581785334364295,0,0,0,0.0617049002037494,0,0,0,0,0.0471737370282734,0,0.0274704121729085,0,0,0,-0.00617499380942594,0,0,0,0,0,0,0
X000568.SZ,0.00344162404364053,0,0,0,0.314990655190338,0.0399983455686636,0.0429976659594991,0,0,0,0,0,0,0,0,0.285184413232843,0,0,0,0.00606720296575405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0514482677677045,0,0,0,0,0,0.00810651582652352,0.012764643562982,0,0,0,0,0,0
X600809.SH,0,0,0,0.57729439823916,0,0,0.00425767194904489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767104831408204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613819449533036,0,0,0,0,0.123065133654542,0,0,-0.142099833340433,0,0,-1.0842021724855e-19,-0.0177146364690472,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.110150785352628,0,0,0,0,0,0,-0.0771176757066889,0,0,-0.255475947836206,0,0,0.0829722961430836,0,0,0.129656260785728,0,0,0,-0.149357275699322,0,0,0,0.41220027374203,0,0,0,0,0,-0.0672902313954656,0,0,0,-0.00482963127866951,0,0,0,-0.0777533651239362,0,0,0.140297477520562,0,0,0,-0.0217286514455772,-3.46944695195361e-18,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.058983556760699,0,0,0,0,0,0,0,0.0959718648809124,0,0,0,0,0,0.0315257223623026,0,0,0,0,0,0,0.0556814878096094,0,0,0.225477517560813,0,0,0,0,0,0,0,0,0,0,0,0.00361701458647984,0,0,0.222666075707575,0,0.0217638897938307,0,0,0,0,-0.0623914597898437,0.0798412100790955,0,0,0,0,0,0
X600690.SH,0.0662663347816183,0,0,0.0886158909652956,0,0,0,0,0,0.0218836476421478,0,0,0,0.0127534165960146,0,0,0,0.230808842972667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154425386775906,0,0,0,0.0175850910586086,0.020866126965776,0,0,0,0,0,-0.000487441028629028,0,0,0,0,0,0,0
X000651.SZ,0.0931568323138578,0,-0.102917308702527,0,0,0,0.150228110411568,0,0,0,0,0.0161016502849191,0,0,0,0,0,0.144242085940946,0,0,0,0,0.0411536851043666,0,0,0,0,0,-0.0165539395235289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825135912510219,0,0,0,0,0,-0.0174347817124063,0,0,0,0,0,0
X002304.SZ,0,0.322300560790696,0,0.14414583222998,0,0,0,0,0,0,0,0,0,0.0928162638995295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075240102987321,0,0,0,0,-0.0292519247798624,0.0179409843781052,-0.0396486042591514,0,0,0,0,0,0
