,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000063.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X000725.SZ,X002371.SZ,X003816.SZ,X600031.SH,X000625.SZ,X000596.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X002049.SZ,X000100.SZ,X002236.SZ,X000977.SZ,X600372.SH,X002241.SZ,X601877.SH,X600741.SH,X000661.SZ,X000157.SZ,X600584.SH,X600522.SH,X002180.SZ,X000733.SZ,X002074.SZ,X000066.SZ,X600460.SH,X002463.SZ,X600702.SH,X300003.SZ,X300142.SZ,X002007.SZ,X000988.SZ,X000800.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.227795708507516,0,0.052536476718936,0.0607889135378205,0,0,0,0,0,0,0,0,0,0.0581168630747377,0,0,0,0.0522135372158955,0,0,0,0,-0.0561642283007566,0,0,0,-0.00896943871343481,-0.00299085136056821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000770523979622288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.104520556016674,0,0,0.349197708323145,0,0.0851253575748735,0,0,0,0,0,0,0,0,0,0,0.110331537068867,0,0,0,0,0.010466512391362,0,0,0,0,0,0,-0.0100746069637157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665821518128628,0,0,0,0,0,0,0,-0.00585881446532193,-0.0136388153818587,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0892104584860983,0,0,0,0,0,0,0,-0.100614719625604,0,0,0,0,0,0.21921047424472,0,0,0.11409060143285,0,0,0,0.167591847002154,0,0,0,0,0,0,0,0,0,0.0433888770836908,0,0,0.0679172937894826,0,-0.0177604574412478,0,0,0,0,0,0,0.0808464410601173,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.508370398700845,0,0,0,0,0,0,0,0,0.160274353515164,0,0,0,0.00178519204638331,0,0,0,0.0400888605715926,0,0,0,0,-0.0597142362331523,0,0,0,0.018889784996748,-0.0335965119780702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156092933422989,0,0,0,0,0,-0.00489585309478931,0,0,-0.0281481252479994,0,0,0,0,0,0
X600276.SH,0,0,0.149393215764613,0,0,0,0,0,0,0,0,0,0,0.0197531515156467,0,0,0,0,0,0,0,0,0,-0.11556196444006,0.0305293809131721,0.0892003374780921,0,0,0,0,0,0,0,0,0,0,0.115211109617422,0,0,0,0,0,-0.21745688267611,0,0,0,0,0.0238735563472804,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0.079566424891381,0,0,0,0,0,0,0,0,0,-0.200700417578112,0.0050194588775193,0,0,0,0,0,0,0,0,0,-0.0343115224588843,0,0,0,0,-0.00628386096660423,0,0,0,0.0933179702531034,0.130326383556178,0,0,0.0166185605716879,0,0,-0.126433940515307,-1.73472347597681e-18,0,0,0.208589432533417,-0.00032728449185197,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.0381579922733388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143296157164429,0,0,0,0.078600669733242,0,0,0.414502640268366,0,0,0,0,0.152126466467601,0,0,0,0,0,0,0,0.0297718677916655,0,0,0,0,0,0,0,-0.00971733912382295,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.124041701541486,0,0,0,0,0.24248509291395,0,0,0,0,0,0,0.142579564461474,0,0,0,0,0,0,-0.0417223816189734,0,0,0,0,0.0226810747096572,0,0,0,0,0,0,0,0,0,0,0,-0.0448248707293476,0,-0.00672945310728286,0,0,0.0389378828641699,0,-0.0262791674914391,0,0,0.10841435145395,0.0603593897973968,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0484542671227054,0,0,0.160302137694214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12007295581439,0.126942268955781,0,0,0,0,0,0,0,0.135721919574915,0,0,0,0,0,0.0107769020488621,0,0,0,0,0,0,0.0804922945726884,0,0.13263281871482,-0.17964129490885,0,0,0,0,0,0
X000651.SZ,0,0,0,0.221607876216596,0,0,0,0,0.167533953618742,0,0,0,0,0,0.0281504499726622,0,0,0,0,0,0,-0.0575284428270398,0,0,0,0,0,-0.0206514397769439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00468408574506136,0.114417308637165,0,0,0,8.67361737988404e-19,0,0,0,0.00851930054030123,0,0,0,0,0,0,0
