,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X000063.SZ,X002475.SZ,X000725.SZ,X003816.SZ,X600031.SH,X002304.SZ,X600690.SH,X000568.SZ,X000338.SZ,X000661.SZ,X600703.SH,X600741.SH,X000100.SZ,X600809.SH,X300003.SZ,X600183.SH,X002241.SZ,X300014.SZ,X000596.SZ,X002007.SZ,X002371.SZ,X002236.SZ,X601877.SH,X000977.SZ,X000625.SZ,X300124.SZ,X000157.SZ,X300142.SZ,X002463.SZ,X002456.SZ,X002129.SZ,X002414.SZ,X300136.SZ,X600271.SH,X002179.SZ,X600118.SH,X000066.SZ,X600498.SH,X002180.SZ,X600584.SH,X002008.SZ,X600487.SH,X002223.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463897123358566,0,-0.042805115477735,0,0,0,0,-0.016006197669163,0,0,0,0,0,0,0.0225038054520827,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.00582582979656584,0,0,0,-0.0196057512531594,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421617235867037,0.0327246572423974,0,0,0,0,0,0,0,0,0.0634534997185276,0,0,0,0,0,0,0.0113101934711565,0,0.0263537415179193,0,0,0,0,0,0,0,0,0,0.0145348351931515,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.00158441316890678,0,0,0,0.0227149832138904,0,0
X600276.SH,0.0188089841701927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.306181322586086,0,0,0.0651670807723831,0,0.039111459271119,0.0408498885802682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282719784105097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0187805369733041,0,0,0,0,0,0.0441546444809964,0.193898613408838,0,0,0,0,0,0,0,0,0.00205365754813542,0,0,0,0.0263598831048151,0,0,0.0579392009408149,0,0,0,0,0,0.0190248164632269,0,0,0,0,0,0,0,0.00385983742552441,0,0,0,-0.0340407750409094,0,0,0,0,0,0,0,0.0162940039982762,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121403453013833,0,0.050845435212536,0,0.0250611761084309,0.0806211204317051,0,0,0.161887406121815,0,0,0,0,0.00537489639901787,0,0,0.00348364308509686,0.168159151304396,0,0,0,0,0,0,0.0077853634129461,0,0,0,0,0,0.0161932534356918,0,0,0,0.0140612022541699,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.196239283275259,0,0,0.0255643437486832,0,0,0,0,0.0348072514201542,0,0,0,0,0,0,0,0,0,0,0.0985195063019952,0,0.265376646847835,0,0.126768853246406,0,0,-0.00122728244673614,0,0,0,0,0,0.0408311744268504,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.00918226709835706,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202337049692426,0,0,0,0,0,0.0340417725231468,0,0,0,0,0,0,0.0912867745935786,0,0,0,0,0.0495242122196146,0.230696521014792,0,0,0,0,0,0,0.13733249480761,0,0,0,0,0,0,0,0,0,0,0,0,0.0242600663566672,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.0815231079191822,0,0,0,0,0,0.052687002150059,0.0909457337779847,0,0,0,0,0,0,0.334448663125918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117758469363685,0,0,0,0,0,0,0,0.142501384525188,0,0,0,0,0,0.00514636291719837,0,0,0,0.0205451160442006,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123552575564804,0,0.413534620245789,0,0,0.0148264128873896,0,0.0694345618915452,0,0,0,0,0,0,0,0,0,0,0,0.0119326608333922,0,0,0.19966441076016,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00350132605575082,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.0477073426352769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658183907844105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109431947447069,0,0.147616201053494,0,0,0.238619450995773,0,0,0,-0.0155234742097385,0,0,0,0,0.0102424081058065,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0.212429203047858,0,0,0.0451263125300276,0,0,0,0,0,0,0,0,0,0.0220105310630385,0,0,0.0260376029435883,0,0,0,0,0.37004859424645,0,0,0,0,0,0,0,0,0,0.0233658990378161,0.0334343320968647,0,0,0,0,0,0,0,0.0143445613174288,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0.118252268594934,0,0,0.33914283471705,0.0637992256444287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00687200324852111,0,0,0,0.0138299067750794,0,0
