,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X600031.SH,X002304.SZ,X000338.SZ,X600690.SH,X000568.SZ,X000661.SZ,X600703.SH,X600741.SH,X000100.SZ,X600809.SH,X600183.SH,X002241.SZ,X300014.SZ,X300003.SZ,X002371.SZ,X000596.SZ,X002007.SZ,X002236.SZ,X601877.SH,X000977.SZ,X000625.SZ,X000157.SZ,X300124.SZ,X002456.SZ,X002129.SZ,X002463.SZ,X300136.SZ,X600271.SH,X002414.SZ,X300142.SZ,X000066.SZ,X002180.SZ,X002179.SZ,X600584.SH,X600118.SH,X002008.SZ,X600498.SH,X002185.SZ,X002049.SZ,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159755687957195,0,0,0,0,0.0442428155904197,-0.0414721625392939,0,0,0.0647822533396051,0,0.221741058664298,0,0,0,0,0,0,0,0,0,-0.0732154769212876,0,0,-0.0467835889840448,0.106663902452782,0,0,0,0,0,0,0,0,0,0,0,-0.0202190150323112,-0.019916734443416,0,0,0,-0.103283832818672,0,0
X000858.SZ,0,0,0,0,0,0.0530442528777177,0,0,0,0,0,0,0.0336919545854034,0,0.438656654073388,0,0,0,0.00641821851088724,0,0,0,0.029444364287228,0,0,0.117617728233918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936115502030093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138894929377042,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230834593749518,0,0,0,0,0,0.293586404914456,0,0.0735506932972131,0,0,-3.46944695195361e-18,0,0.0247988437385874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296944931555891,0,0,0,0,0,0,0,0.00457555514970143,0,0,0,-0.0342761209026051,0,0
X000651.SZ,0,0,0,0,0,0,0.0359975743815961,0,0,0,0,0.291492552387087,0.138100613443366,0.104317142809381,0.0562963786886174,0,0,0,0,0,0,0,0.035808390610492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117366676115735,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157337922927001,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243582903075365,0,0,0.184091416331981,0,0,0,0,0,0,0.0725843867864848,0,0,0,0,0,0,0,0.00875218382900874,0,0,0,0,0,0,0.00728036368775758,0,0,0,0.00442455480175697,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.232595444844383,0.0184321813081005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013953894135559,0.324799551055506,0.00685154578897546,0,0,0.197615886117458,0,0,-0.0168625466509123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206411799997183,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.059066722215706,0,0,0.0385064452191592,0,0,0,0,0,0.377623342061277,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848977704263579,0,0,0,0,0,0,0,0,0.168041100071124,0,0,0,0,0,0,0,0,0,0,0.0106167143850129,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404816107244406,0,0.00149164530607415,0,0.04649174063828,0,0,0,0,0,0,0,0.0802820184634702,0,0,0,0.109165602313226,0.0706742514711412,0,0,0,0,0,0,0,0,0,0,0,0.244319499666672,0,0,0,0,0,0,0,0,0.0393604139534995,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02927009733661,0,0.419305167759296,0,0.0184895166194369,0,0.0390303148971443,0,0,0,0,0,0,0,0,0,0,0.02498705014455,0,0,0.153042495314845,0,0,0.0514359931175572,0,0,0,0,0,0,0,0,0,0.0431069314680049,0,0,-0.000147880389180829,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0.0102783898772302,0,0.164044456528903,0,0,0,0,0,0.186000166901735,0,0,0,0,0,0,0,0,0,0,0.0785097747214877,0,0,0,0,0,0,0,0,0,0.0459041042846705,0,0,0,0,0.133670917818926,0.113177667859066,0,0,0,0.0261198962582956,0,0.0250642640352968,0,0,0,0,-0.00478056920536624,0,0,0,0.0466549417117041,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0.171338225611382,0.0736071326087043,0,0,0,0,0,0,0,0,0.0471193744724038,0,0,0,0.0936324615782268,0,0,0,0,0,0.37147226099338,0,0,0,0,0,0.0820315167044999,-0.00665537988729,0,0.0312863908981101,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.00679469601082428,0.00413166036724253,0,0,0,0,0,0
X002304.SZ,0,0,0,0.342211245822833,0,0.0763020018456369,0,0,0,0,0.0541585382589474,0,0.0170112101558035,0,0.109497430032218,0,0,0,0,0,0,0,0,0,0.00622648959051592,0,0,0,0,0,0,0,0,0,0,0,0,0.0101200401716597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464713438059852,0,0
X000338.SZ,0,0.288305491734267,0,0,0,0,0,0,0,0,0.203824780993286,0,0,0,0.0732558092763042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340142548075849,0,0,0,0,0,0,0,0.154958197503842,0,0.0421395373942665,0,0,0,0,0,0.0141546635203127,0,0,0,0,0,0,0,0,0.056133641999853,0,0
X600690.SH,0,0.0147218922526593,0,0,0,0,0,0,0,0,0.0679487167495614,0,0,0,0,0,0,0,0,0.0463216936517253,0,0,0.154069865537876,0,0,0.0386095736659283,0,8.67361737988404e-19,0,0,0,0.248959981275494,0,0,0,0,0,0,-0.0425533558234916,0,0.00155362007840663,0,0,0,0,0,0,0,0,0,0,0,-0.0127966729616443,0,0,0,0,0,0
