,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X000661.SZ,X000063.SZ,X000725.SZ,X600809.SH,X003816.SZ,X600690.SH,X002241.SZ,X000596.SZ,X000338.SZ,X600703.SH,X002007.SZ,X300124.SZ,X300142.SZ,X002371.SZ,X300014.SZ,X000100.SZ,X600741.SH,X002049.SZ,X601877.SH,X002236.SZ,X000157.SZ,X300003.SZ,X600584.SH,X000800.SZ,X002129.SZ,X002414.SZ,X300136.SZ,X000625.SZ,X600183.SH,X002179.SZ,X000066.SZ,X002456.SZ,X000977.SZ,X601799.SH,X600118.SH,X002185.SZ,X002008.SZ,X000050.SZ,X002508.SZ,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.149284102099068,0,0.032956854510523,0,0,0,0.105266308392922,0,0,0,0,0,0,0,0,0.0360674766822217,0.092795947966055,0,0,0,0,0,0,0,0,0,0.0216358051626282,0,0,0,0,0.0341263576843056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.261252464911742,0,0,0,0,0,0.159944619818517,0,0,0,0.163480796468867,0,0,0,0,0.00513170294977554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503981159430366,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,0,0,0,0,0,0
X600276.SH,0.00954429927596645,0,0,0,0,0,0,0.0675586390045066,0.0425937715748817,0,0.23487295037381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466567065486394,0,0,0,0,0.0208555629648188,-0.0628201061141909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132322105734053,0,0,0.00284631722301351,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264057056035348,0,0,0,0.00547395396595467,0,0,0,0,0.00400548930809254,0,0,0,0,0,0,0.154678785867899,0,0.0487490420695519,0,0,0,0,0,0,0.0407900204593825,0,0,0,0,0,0,0,0.128401094226595,0,-5.42101086242752e-20,-0.0201146521413562,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212741699817452,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0961795372291057,0,0,0,0,0,0,0.0770617429659092,0,0.050905355596183,0,0.066796424344469,0,0,0,0,0,0,0,0,0,0,0,-0.00253767764401593,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.066591548641692,0,0,0.165797709654088,0,0,-0.0462378752212224,0.0120063828692701,0,0,0,0.144678724351547,0,0,0,0,0,0,0,0,0,0.00134588882753969,0,0,0,0.0705688555040355,0,0,0,0.0976093902656899,-0.0205156579725393,0,0,0,0,0,0,0.0559944675416117,0,0,0,0,0.0408219010070619,0,0,0,0,-0.0127946629495421,-0.0055891659407074,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00613905445493585,0.101937878369536,0,0,0.140803791829127,0,0,0,0.0293688037161772,0,0.142979223522517,0,0,0,-0.0506449344463604,0.00724578023304723,0,0,0,0,0,0
X000568.SZ,0,0.372311282922147,0,0,0,0,0,0,0.0667354797780138,0,0,0,0,0.0364430866974353,0,0,0,0.176947862594183,0,0,0,0,0.026172872390065,0,0,0,0,0,0,0,0,0,0.026240853578185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031454450599789,0,0,0,0,0,0,0
X002304.SZ,0,0.119913437475872,0,0,0,0,0,0.397964895541011,0,0,0,0,0,0.0470179251308549,0,0,0,0.0675693574412531,0,0,0,0,0.0270514853141329,0.0137065762663692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121463660322697,5.42101086242752e-20,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.0959781555442563,0,0,0,0,0,0,0,0,0.0838448917768081,0.579882788661685,0,0,0,0,0,0,0,0,0.0201539897634747,0,0,0.0211719432894211,0,-0.0302424461880604,0,0,0,0.0351477014569028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00820569013935843,-0.00147860591396044,0,0,0,0,0,0
