,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600809.SH,X600690.SH,X600031.SH,X002304.SZ,X002475.SZ,X600104.SH,X000725.SZ,X000661.SZ,X300124.SZ,X000338.SZ,X003816.SZ,X300014.SZ,X000100.SZ,X000063.SZ,X000157.SZ,X000596.SZ,X600703.SH,X002241.SZ,X002129.SZ,X600741.SH,X002371.SZ,X000625.SZ,X002007.SZ,X002236.SZ,X002179.SZ,X601877.SH,X300142.SZ,X002049.SZ,X600584.SH,X002414.SZ,X000799.SZ,X600183.SH,X300003.SZ,X601799.SH,X000800.SZ,X002074.SZ,X300146.SZ,X002008.SZ,X600707.SH,X000066.SZ,X600089.SH,X000977.SZ,X600460.SH,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.161100046255066,0,0,0,0.243659429072418,0,0,0.0211609254599591,0,0,0,0,0,0,0,0,0,0,0,0.0682702393478991,0,0,0,0,0,-0.0918280663855692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222810716454071,0,0,0,-0.0125568542756981,0,0
X000858.SZ,0,0,0,0,0,0.364557522310057,0.13415141516307,0,0,0.045059837637574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135794968072637,0,0,0,0,0.0247877412979516,0,0,0,0,0,0,0,0,0,0,-0.0225386093382046,0,0,0,-0.018430557382817,0,0
X002415.SZ,0,0,0,0,0,0.104782721987484,0,0,0,0.0497543833797408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244103064017558,0.1617739007333,0,0,0,0.043075136239335,0,0.02459123311352,0,0,0,0,0,0,0.0184879253234815,0,-0.0238609332561331,0,0,0,0,0.0588797726128608,0,0.0664606466353881,0,0,0,0,-0.0246534076743007,0,0
X600276.SH,0,0,0,0,0,0.0243924025476833,0.0957101896513467,0,0,0,0,0,0,0,0,0,0,0.00303785694569628,0,0,0.0604957967480754,0,0,0,0,0,0,0,0,0,0.151922754837594,0,0,0,0,0,0,0,0,0.0301659390991457,0,0,-0.0456131523018706,0,0,0,0,0,-0.0171191597760138,0,0,0,-0.00776660564954187,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0541566444064015,0.284803802637854,0,0,0,0,0,0.0060398012329873,0.0824339454536788,0,0,0,0,0,0,0,0,0,0.129635294787948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0936299955190718,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.00293997776849028,-0.0124998200849083,0,0,0,0,-0.0141622468238976,0,0
X000568.SZ,0.181712094656502,0.455372067645291,0,0,0,0,0.0646703875159061,0,0,0.031639513681184,0,0,0,0,0,0,0,0.0574764022725511,0,0,0,0,-0.070994957557026,0,0,0,0,0,0.0925495203235452,0,0,0,0,0,0,0,0.219577913710383,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,-0.0289637720730665,0,0,0,-0.00664317975410695,0,0
X600809.SH,0,0,0,0,0,0.227169215784374,0,0,0.296914904148717,0,0,0,0,0,0.058029000508154,0,0,0.0141496974579116,0,0,0,0.169425989292083,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0743039973177673,0,0,0.0490751959721283,0,0,0,0,-0.0316375001682934,0,0,0,0,0,0,0,-0.0462206671690696,0,0,0,-0.0348618850529711,0,0
X600690.SH,0,0,0.102436079727263,0,0.119466593009442,0,0.208438008931835,0,0,0.0649966028223537,0,0,0,0.141772574802428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00383584349658595,0.155044485115394,0,0,0,0,0,0.00281206632350742,0,0,0,0,0,0,0,-0.0226361613495325,0,0,0,0,0,0,0,0.0290498462488809,0,0,0,0.0130642897006727,0,0
X600031.SH,0,0,0,0,0,0,0.176780076259896,0,0,0,0.0484873248130005,0,0,0,0.115124913147282,0,0,-0.0702361503833422,0,0,0.11675679434359,0,0.123769047479766,0,0.200639638121918,0,0,0.0126176568823823,0,0,0,0,0,0.0402936042277897,0,0,0,0,0,0.0637985803385645,0,0,0.0370602969140903,0,0,0,0,0,0,0.0220042931660508,0,-0.0392161845106524,0,0,0,0,0,0,0
X002304.SZ,0,0.232398560342809,0,0,0,0.214109374465642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101446664692023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0657051570283524,0,0.180755703900058,0,0,0,0,0,0,0,0,0,-0.0231237258827882,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.0113338572032593,0,0,0,0,0,0,0,0,0.0861250643318685,0,0,0,0,0,0.0745979346935792,0,0,0.373900253184892,0,0,0,0,0.0635375647997102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130866168544211,0,0,0,0.00562675599016994,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0317205616223418,0,0,0,0,0,0,0,0,0,-0.0330515319496442,0,0,0,0,0.0512685517786103,0,0,0,0,0,0,-0.0222390756644477,0,0,-0.00517933609808052,0,0,0,0,-0.0925325541335075,0,0
X000725.SZ,0,0,0.131051365649768,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.226348147253331,0,0,0,0.124672746702165,0,0,0,0,0,0,0,0,0,0,0,0,0.0528084947074205,0,0,0,0,0,0,0,0,0.00627847279848647,0,0,0,0,0,0,0.00914314606684308,0.000684605491607028,0,0,0,-0.0309650488345817,0,0
