,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600690.SH,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X000725.SZ,X000338.SZ,X002371.SZ,X002304.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X000100.SZ,X300014.SZ,X002179.SZ,X000157.SZ,X600089.SH,X600066.SH,X002463.SZ,X600703.SH,X600372.SH,X000977.SZ,X000921.SZ,X002241.SZ,X002236.SZ,X002028.SZ,X600741.SH,X600522.SH,X002049.SZ,X600183.SH,X600584.SH,X000661.SZ,X601877.SH,X002129.SZ,X000800.SZ,X002223.SZ,X002180.SZ,X600487.SH,X600177.SH,X601799.SH,X600566.SH,X600060.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0982953838687701,0,0,0,0.213998460935968,0,0,0,0,0,0,0,0,0.0367650511070233,0,0.0160444834694227,0.0585069979682949,0,0,0,0,0,0,0.0197965895070161,0,0,0,0,0,0,0,0,0,0,0,0,0.028768245795459,0,0,0,0,0,-0.00707148155342177,0,0,0,0,0,0,-0.00338017685347886,-0.00558340536371529,-0.0217923121021233,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.320762988943497,0,0,0,0,0,0,0,0,0.1422865388789,0,0,0,0,0,0.0370338117711035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00298832893687948,0.0621880559033346,0,0,0.0376434893828316,0,0,0,0,0,0,0,0,0,0,-0.000916313802349847,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.233343175438103,0,0,0,0,0.169039626417729,0,0,0.0395754975476682,0,0,0,0.0936620126832576,0,0,0,0,0,0,0,0,0,0,-0.0263730070558525,0,0,0,0,0,0,0,-0.0506602244281408,0,0,0,0,0,0,0.0622449480055529,0,0,0,0,0,0,-0.0848070425948334,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.155473279572409,0,0.0577616324835143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130341733052046,0,0,0,0.0368860040251136,0,0.0871077769027455,0,0,0,0.0556447863325556,0,0.0169255136310075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.140359688500378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020482617083361,0.0816132480019632,0,0,-0.0514807902899817,-0.03258612666992,0,0,-0.0470860721496122,0.184731505168517,0,0,0,0,0,0,0,0.019819284619815,0,0,0,0,0,0,0,0,0,0,0.0659661645827312,0,0,-0.010093676540512,-0.0431092789344322,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144906348416636,0,0,0,0,0,0,0,0,-0.000727753589131841,0,0,0,0,0,0,0,0.160285247971489,0,0,0.0435169240732677,0,0,0,0,0,0.0682089754277076,0.0724838923240189,0,0,0.0413936037557217,0,0,0,0,0,0,0
X000568.SZ,0,0.971991749097039,0,0,0,0,0,0.00737582667483323,0,0,0,0,0,0,0,0,0,0,0,0,0.0424107160743691,0.047310003544173,0,0,0,0,-0.0968780780443786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753680275170489,0,0,0,0,0,0,0,0,0,0.0399129743050936,0.0273828219422375,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.188612259841218,-0.0154574098769943,0.0164814479620185,0,0,0,0,0.0494951773204704,0,0.0546147807564849,0,0,0,-0.215806946294196,0.0922033203564008,0,0.106878266998071,0,0,0,0.0540951522156756,0,0,0,0,0,0.186892875136185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00742712238262176,0.0873966626469395,0,0,0,0,0
X002475.SZ,0,0,0,0.0461980886835728,0,0,0,0,0,-0.0845320502859105,0,0,0,0,0,0,0,-0.00495407820034871,0,0,0,0,0.348334326702963,0,0,0,0,0.017419059711307,0,0,0,0.423752411101291,0,0,0,0,0,0.0117602950646878,0.0631006458879068,0,0,0,0,0,0,0,0,0.0906904695617216,0,0,0,0,0,-0.0976738928230836,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.016722384588432,-0.194575853513943,0,-0.051183591381799,0,0,0,0,0,0,0,0,0,0,0.0531697571412709,0,0,0,0,0.0801313155264871,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0224615826853166,0,0,0,0,0,0,0,0,0,0.0789971449567063,0,0,-0.0842403828730389,-0.0251933690613144,0,0,0,0,0,0
