,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600066.SH,X600271.SH,X000100.SZ,X000568.SZ,X002292.SZ,X002241.SZ,X002236.SZ,X600118.SH,X600031.SH,X600372.SH,X600177.SH,X000559.SZ,X002506.SZ,X002007.SZ,X002475.SZ,X002456.SZ,X000338.SZ,X002074.SZ,X002180.SZ,X300003.SZ,X000157.SZ,X600522.SH,X002426.SZ,X000981.SZ,X000050.SZ,X601877.SH,X300124.SZ,X002085.SZ,X002294.SZ,X600867.SH,X002249.SZ,X002508.SZ,X600089.SH,X000869.SZ,X600498.SH,X002465.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.152438873792012,0,0.0866136286858352,0.11511337308159,0,0,0,0,0.252744124372889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00663428462777533,0,-0.0748526961140038,0,0.0896023050367274,0.0124584078991199,0,0,0,0,0,0,0,0.0602121920239539,0,0,0,0,0,0,0,0,0,0.0780204603364757,0,0.00960667749772029,0,0,0,0,0,0,0
X600104.SH,0.206530401288135,0,0,0,0,0,0,0.170320333563188,0,0,0,0.0613807589649407,0,0,0,0,0,0,0,0,0,0,0,0.00147774912109574,-0.0426539399268491,-0.0215460594632925,0,0,0,0,0,0,0,0,0,0,0.0226507935472468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480798888725449,0.00708733490938178,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0320417687427044,0,0,0,0,0,0,0.0683408396832716,0,0.0126918963207715,0,0,0,0,0,0,0.0709935799373913,0.0353369441640738,0.0062167314930038,0,0.0948297255424144,0.00493979622368313,0,0,0,0,0,0.0130078720311859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250764123540477,0.0340854899751559,0,0,0,0,0,0
X000858.SZ,0.117920415816211,0,0,0,0.282015456628627,0,0,0,0,0.18212521609776,0,-6.93889390390723e-18,0,0,0,0.104959214995841,0.0607916555481075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785588542495078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00654749562495508,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.695430073813761,0,0,0,0,0,0,0,0,0,-0.0360499596651223,0,0.108827369036573,0,0,0,0,0,0,0,0,0,0,0,-0.0376555021810726,0,0,-0.0718663885757838,0.167003095882496,0,0,-0.0248990418573188,0,-0.0506156497762269,0.0171253594194402,0,0,0,0,0,0,0,0,0,0,0.089124258771093,0,0.0461536035070862,0,0,0,0,0,0,0
X600276.SH,0,0,0.00819791639021454,0.0305381657114496,0,0,0,0,0,0.156409537464826,0,0,0.075324683603979,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149111965161106,0,0,0,0,0,0,0,0,0,-0.02099919717891,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00626676041158438,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.032000515037325,0,0,0,0.0968439965096078,0,0,0,0,0,0.0615143322187438,0.119414081497456,0,0,0,0,0,0,0.202331569448421,0,0,0,0,0,0,0.0558596493958182,0.060642976049637,0,0,0,0,0,0,0,0,0,0,0,0.0222350460021,0,-0.0390252702343669,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.128515375770942,0,0.204893446756889,0,0.0214729806653717,0,0,0,0.0139565428703769,0,0,0,0,0,0,0.0489225415500963,0,0,0,0,0,0,0,0,0.104324205414664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160417854992547,0.0593657362902951,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.145923389335338,0,0,0,0,0.11201623960934,0,0,0,0.0300261783405074,0,0,0.0741621216180859,0,0,0,0,0,0,0,0,0,0,0.112767900504158,0,0,0.0246373848242208,0,0,0.0273740716361335,0.0348407082731565,0.0959883665792341,0,0,0,0,0,0,0,0.0227657649856874,0,0,0,0,0,0,0,0.00316034640927397,0,0,0,0,0,0
X600690.SH,0,0,0,0.145137421454713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028971304500698,0,0,0,0,0.0660773500366865,0,0.0423376342511599,0,0,0,0.0639785827894185,0.0438990278436559,0.0139727751205791,0,0,0,0,0.101369143749582,0,0,0,0,0,0,0.0684437201623328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
