,X600519.SH,X000858.SZ,X000568.SZ,X600809.SH,X002415.SZ,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000596.SZ,X000725.SZ,X600031.SH,X000625.SZ,X002371.SZ,X000338.SZ,X300014.SZ,X002129.SZ,X002179.SZ,X600703.SH,X000100.SZ,X002049.SZ,X600089.SH,X600372.SH,X002236.SZ,X000157.SZ,X600741.SH,X000661.SZ,X002241.SZ,X600584.SH,X000977.SZ,X601877.SH,X600522.SH,X600702.SH,X000733.SZ,X601799.SH,X002074.SZ,X000800.SZ,X002007.SZ,X300142.SZ,X002028.SZ,X002463.SZ,X600183.SH,X002180.SZ,X600460.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,6.93889390390723e-18,0.275759850840947,0,0,0,0,0.0640830765259432,0,0,0,0.140888161160716,0,0,0,0,0,0,0,0,0,0,0,-0.0928540109138395,0,0,0,0,0,0,0,0,0,0,0.0247650621337796,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,-0.0459089233769864,0,-0.00147738424665232,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0669838224352163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1195017923538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236982362047329,0,0,0.278607112450908,0,0,0,0,0,0.0685743406630964,0,0.0682944459351707,0,0,0.0533340610851051,0,0,-0.00897211202595602,0,0,0,0,0,0,0
X000568.SZ,0.126925977335272,0.129676594960588,0,0.143170414144791,0,0,0,0,0,0,-0.0727496200173706,0,0,0,0.271259737606035,0,0,0,0.0146542326782217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536464222300351,0,0,0.120122019362557,0,-0.0168106066122491,0,0,0,0,0,0.00852217173765156,0,0,0,0,0,0.012592389161285,0,0,0,0,0,0,0
X600809.SH,0,0,0.155601453719647,0,0,0,0,0,0,0,0,0,0,-0.196684483015844,0,0,0,-1.73472347597681e-18,0,0,0.0984344288238328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469633486641983,0,-0.047406648817256,0,0,0,0,0,0.0566182067263389,0,-0.0354179588694214,0,0,0,-0.020980850311285,0,0,0,0,0,0,0
X002415.SZ,0,0,0.0724689360070478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00272926680882811,0,0,0,0,0,0,0.00379682780726821,0,0,0.27935096588838,0,0,0,0,0,0,0,0,0.190560773032476,0,0,0,0,0,0,0,0.0205775598053669,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,-0.202120690009719,0,0,0,0,0,0,0,0,0.0554623952615105,0,0.126647235718901,0,-0.170607333012805,0,0,0,0,0,0,0,0,0,0,-0.180376445714752,0,0,0.439804225747225,0,0.0406392088023401,0,0,0,0,0,0,0,0,0,0,0.159701337287685,0.0143002710445353,0.0733896978373931,0,0,0,0,-0.0225782238725145,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.0281628307325434,0.044896161682384,0,0,0,0,0,0,0.0930893135077447,0,0,0,0.0413307462317076,0,0,0,0,0.0985281145101457,0,0,0,0,0,0,0,0,0.00709611744673871,0,0,0.0345437260849463,0,0,0,0,0.0610345528511891,0,0,2.71050543121376e-20,0,0,0,0,0,-0.00917228215671858,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186408461238971,0,0,0,0.148495942173508,0,0,0,0,0,0,0,0.072155574478838,0,0,0.0520988664598286,0,0,0,0,0,0.00607297433268757,0,0,0,0,0,0,0,0,0.0909468448533093,0,0.0995125810227659,0,0,0,0,0,-0.00092423805282949,0.0623493796142535,0,0,0,0,0,0
X000651.SZ,0,0.167116897643607,0,0,-0.0625108046620886,0,0.293025782244012,0.0530933032238993,0,0,0,0,0,0,0,0,0,0.0966625005437158,0,0,0,0,0,0,0,0,0.0655572429424594,0,-0.0593057472892043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00725337459776181,0,0,0,0,0,-0.0216358756627777,0,0,0,0,0,0,0
X002304.SZ,0,0.460374744625016,0.00817488681688024,0.192637072329498,0,0,0,-0.0213180499426223,0,0,0,0,0,0.00832733715518572,0.0331627959510276,0,0,0.038604227400729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0299315579127308,5.42101086242752e-20,0,0,0,0,-0.0151490011011621,0,0,0,0.00515387189762873,0,0,0,0.00102999266183179,0,0.0303714048942251,0,-0.00617927616011904,0,-0.185766025776342,0,0,0,0,0
